word,is_he
",",0
אלנהי,0
אלד'י,0
נהינא,0
ען,0
תבע,0
את'אר,0
אלכפאר,0
ואלסירה,0
בסירתהם,0
ולו,0
פי,0
מלאבסהם,0
ואג'תמאעאתהם,0
פי,0
"מג'אלסהם,",0
והו,0
קולה,0
ולא,1
תלכו,1
בחקות,1
הגוי,1
אשר,1
אני,1
משלח,1
מפניכם.,1
וקד,0
תכרר,0
הד'א,0
אלנהי,0
בקולה,0
ובחקותיהם,1
לא,1
"תלכו,",1
וג'א,0
אלתפסיר,0
לא,1
אמרתי,1
אלא,1
בחקים,1
החקוקים,1
להם,1
ולאבותיהם.,1
ונץ,0
ספרא,1
ובחקותיהם,1
לא,1
תלכו,1
שלא,1
תהלכו,1
בנמוסות,1
שלהם,1
בדברים,1
החקוקים,1
להם,1
כגון,1
תרטיות,1
וקרקסיות,1
"והאסתטריות,",1
והד'ה,0
אנואע,0
מן,0
אלמג'אלס,0
כאנוא,0
יג'תמעון,0
פיהא,0
לעבאדהֿ,0
אלאצנאם.,0
ר',1
מאיר,1
אומר,1
אלו,1
דרכי,1
האמורי,1
שמנו,1
חכמים.,1
ר',1
יהודה,1
בן,1
בתירא,1
אומר,1
שלא,1
תנחור,1
ולא,1
תגדל,1
ציצית,1
ושלא,1
תספר,1
קומי.,1
ומן,0
עמל,0
שי,0
מן,0
הד'ה,0
לזמה,0
מלקות.,1
ותכרר,0
אלנהי,0
ען,0
הד'א,0
אלמעני,0
בלפט',0
אכ'ר,0
וקאל,0
השמר,1
לך,1
פן,1
תנקש,1
"אחריהם,",1
ונץ,0
ספרי,1
השמר,1
בלא,1
"תעשה,",1
פן,1
בלא,1
"תעשה,",1
תנקש,1
אחריהם,1
שמא,1
תדמה,1
להם,1
ותעשה,1
"כמעשיהם,",1
ויהיו,1
לך,1
למוקש,1
שלא,1
תאמר,1
הואיל,1
והן,1
יוצאין,1
בארגמן,1
אני,1
אצא,1
"בארגמן,",1
הואיל,1
והן,1
יוצאין,1
בתלוסין,1
אף,1
אני,1
אצא,1
בתלוסין,1
והי,0
נוע,0
מן,0
אנואע,0
זיי,0
"אלג'נד,",0
וקד,0
עלמת,0
נץ,0
כתאב,0
אלנבוה,0
ועל,1
כל,1
הלובשים,1
מלבוש,1
"נכרי,",1
הד'א,0
כלה,0
אבעאד,0
ענהם,0
ותקביח,0
לג'מיע,0
סירהם,0
ולו,0
פי,0
אללבאס.,0
וקד,0
תביינת,0
אחכאם,0
הד'ה,0
אלמצוה,0
פי,0
אלסאדס,0
מן,0
שבת,1
ופי,0
תוספת,1
שבת,1
איצ'א.,0
