word,is_he
",",0
"מאיה,",0
אלנהי,0
אלד'י,0
נהינא,0
ען,0
צ'רב,0
אלואלדין.,0
ולם,0
יתביין,0
איצ'א,0
פי,0
אלנץ,0
אזהרה,1
מכ'צוצה,0
בהד'א,0
"אלפעל,",0
לכנה,0
ד'כר,0
אלעונש,0
וקאל,0
ומכה,1
אביו,1
ואמו,1
מות,1
"יומת,",1
ותעלמנא,0
אלאזהרה,0
למכה,1
אביו,1
ואמו,1
עלי,0
נחו,0
מא,0
תעלמנא,0
למקלל,1
"אביו,",1
וד'לך,0
אנא,0
קד,0
ביינא,0
פי,0
אלמצוה,0
אלמופיה,0
ת'לאת',0
מאיה,0
אן,0
נחן,0
מוזהרין,1
עלי,0
כל,0
שכ'ץ,0
מן,0
ישראל,1
שלא,1
"להכותו,",1
ואביו,1
פי,0
אלג'מלה.,0
ונץ,0
אלמכילתא,0
מכה,1
אביו,1
ואמו,1
עונש,1
"שמענו,",1
אזהרה,1
לא,1
"שמענו,",1
תלמוד,1
לומר,1
ארבעים,1
יכנו,1
לא,1
"יוסיף,",1
והרי,1
דברים,1
קל,1
"וחומר,",1
אם,1
מי,1
שמצווה,1
להכותו,1
הרי,1
הוא,1
מוזהר,1
שלא,1
"להכותו,",1
מי,1
שמצווה,1
שלא,1
להכותו,1
דין,1
הוא,1
יהא,1
מוזהר,1
שלא,1
להכותו.,1
ואלמתעדי,0
עלי,0
הד'א,0
אלנהי,0
אעני,0
אלד'י,0
יצ'רב,0
אבאה,0
ואמה,0
במזיד,1
ויוציא,1
מהם,1
דם,1
ילזמה,0
חנק.,1
וקד,0
תביינת,0
אחכאם,0
הד'ה,0
אלמצוה,0
פי,0
אכ'ר,0
סנהדרין.,1
