word,is_he
",",0
"מאיה,",0
אלנהי,0
אלד'י,0
נהינא,0
ען,0
נכאח,0
בנת,0
זוג'הֿ,0
אלאב,0
אד'א,0
כאנת,0
"אכ'תה,",0
והו,0
קולה,0
תעאלי,0
ערות,1
בת,1
אשת,1
אביך,1
מולדת,1
אביך,1
אחותך,1
הוא,1
לא,1
תגלה,1
ערותה.,1
הד'א,0
אללאו,0
ג'א,0
ליג'על,0
בת,1
אשת,1
האב,1
ערוה,1
בפני,1
"עצמה,",1
ואלדליל,0
עלי,0
כון,0
בת,1
אשת,1
האב,1
ערוה,1
בפני,1
עצמה,1
כון,0
אלד'י,0
ינכח,0
אכ'תה,0
שקיקתה,0
חייב,1
"שתים,",1
משום,1
אחותו,1
ומשום,1
בת,1
אשת,1
"אביו,",1
כמת'ל,0
הבא,1
על,1
אמו,1
אלד'י,0
הו,0
חייב,1
שתים,1
משום,1
אמו,1
ומשום,1
אשת,1
אביו,1
כמא,0
"ביינא,",0
והד'א,0
נצהם,0
פי,0
"ד'לך,",0
קאלוא,0
פי,0
ת'אני,0
יבמות,1
תנו,1
רבנן,1
הבא,1
על,1
אחותו,1
והיא,1
לו,1
בת,1
אשת,1
אביו,1
חייב,1
משום,1
אחותו,1
וחייב,1
משום,1
בת,1
אשת,1
אביו.,1
ר',1
יוסי,1
בר',1
יהודה,1
אומר,1
אינו,1
חייב,1
אלא,1
משום,1
אחותו,1
"בלבד,",1
מאי,1
טעמיהו,1
"דרבנן,",1
אמרי,1
מכדי,1
כתיב,1
ערות,1
אחותך,1
בת,1
אביך,1
"וכו',",1
ערות,1
בת,1
אשת,1
אביך,1
מולדת,1
אביך,1
למד.,1
"לי,",1
שמע,1
מנה,1
לחייבו,1
משום,1
אחותו,1
ומשום,1
בת,1
אשת,1
אביו.,1
ואלמתעדי,0
עלי,0
הד'א,0
אלנהי,0
אעני,0
אלאכ'ת,0
אלשקיקה,0
בכרת,0
פקט,0
אן,0
כאן,0
"מזיד,",1
ובשוגג,1
יקרב,0
חטאת,1
קבועה.,1
