word,is_he
",",0
"מאיה,",0
אלנהי,0
אלד'י,0
נהי,0
אלנסא,0
אן,0
יחמלן,0
אלבהאים,0
עלי,0
"אנפסהן,",0
והו,0
קולה,0
תעאלי,0
ואשה,1
לא,1
תעמד,1
לפני,1
בהמה,1
לרבעה.,1
והד'ה,0
איצ'א,0
מצוה,1
בפני,1
עצמה,1
וליסת,0
הי,0
דאכ'לה,0
פי,0
אלמצוה,0
אלתי,0
"קבלהא,",0
לאן,0
ליס,0
בתחרימה,0
עלי,0
אלד'כור,0
אן,0
ינכח,0
אלבהאים,0
כאן,0
יחרם,0
עלי,0
אלנסא,0
אן,0
יחמלן,0
"אלבהאים,",0
לולא,0
אלנהי,0
אלמג'רד,0
אלד'י,0
ג'א,0
פי,0
ד'לך,0
ופי,0
אוול,0
כרתות,1
קאלוא,0
שלשים,1
ושש,1
כרתות,1
יש,1
בתורה,1
"ועדוהא,",0
ועדוא,0
פי,0
אלג'מלה,0
הבא,1
על,1
הבהמה,1
והאשה,1
המביאה,1
את,1
"הבהמה,",1
מע,0
כונהם,0
הנאך,0
יעדון,0
ג'מל,0
מעאני,0
כמא,0
ביינא,0
פי,0
שרחנא.,0
פקד,0
באן,0
אנהא,0
מצוה,1
בפני,1
עצמה,1
מן,0
ג'מלהֿ,0
מצות,1
לא,1
תעשה.,1
ואלמתעדיה,0
עלי,0
הד'א,0
אלנהי,0
"בסקילה,",1
ואן,0
לם,0
תסתקל,0
אלשהאדה,0
פהי,0
בכרת,0
אן,0
כאנת,0
"מזידה,",1
ואן,0
כאנת,0
שוגגת,1
פתקרב,0
חטאת,1
קבועה.,1
