word,is_he
",",0
אלנהי,0
אלד'י,0
נהי,0
כהן,1
גדול,1
ען,0
דכ'ול,0
אלמקדש,0
פי,0
כל,0
חין,0
תעט'ימא,0
לאלמקדש,0
וכ'וף,0
מן,0
"אלשכינה,",0
והו,0
קולה,0
תעאלי,0
ואל,1
יבא,1
בכל,1
עת,1
אל,1
הקדש.,1
ופי,0
הד'א,0
אלנהי,0
תקסים,0
"חדוד,",0
וד'לך,0
אן,0
כהן,1
גדול,1
נהי,0
ען,0
דכ'ול,0
קדש,1
הקדשים,1
ולו,0
פי,0
יום,1
הכפורים,1
אלא,0
פי,0
אלוקת,0
אלמעלום,0
"באלעבודה,",0
וכד'לך,0
כל,1
כהן,1
מנהי,0
ען,0
דכ'ול,0
אלהיכל,0
טול,0
אלסנה,0
איצ'א,0
אלא,0
וקת,0
"אלעבודה,",0
פיכון,0
תלכ'יץ,0
מעני,0
אלנהי,0
אן,0
כל,1
כהן,1
לא,0
ידכ'ל,0
אלמוצ'ע,0
אלד'י,0
ידכ'לה,0
פי,0
אלוקת,0
אלד'י,0
לה,0
אן,0
ידכ'לה,0
גיר,0
בשעת,1
"עבודה,",1
בין,1
כהן,1
גדול,1
בפנים,1
בין,1
כהן,1
הדיוט,1
"בחוץ,",1
פמן,0
תעדי,0
עלי,0
הד'א,0
אלנהי,0
ודכ'ל,0
שלא,1
בשעת,1
"העבודה,",1
אן,0
כאן,0
דכ'ל,0
קדש,1
הקדשים,1
פהו,0
חייב,1
"מיתה,",1
ואן,0
כאן,0
דכ'ל,0
אלהיכל,0
פהו,0
חייב,1
מלקות.,1
ונץ,0
ספרא,1
ואל,1
יבא,1
בכל,1
עת,1
זה,1
יום,1
"הכפורים,",1
אל,1
הקדש,1
לרבות,1
שאר,1
כל,1
ימות,1
"השנה,",1
מבית,1
לפרכת,1
להזהיר,1
על,1
כל,1
הבית.,1
יכול,1
על,1
כל,1
הבית,1
"במיתה,",1
תלמוד,1
לומר,1
אל,1
פני,1
הכפרת,1
אשר,1
על,1
הארון,1
ולא,1
"ימות,",1
הא,1
"כיצד,",1
אל,1
פני,1
הכפרת,1
במיתה,1
ועל,1
שאר,1
כל,1
הבית,1
באזהרה.,1
ופי,0
גמר,1
מנחות,1
קאלוא,0
בביאן,0
על,1
ההיכל,1
בארבעים.,1
