word,is_he
",",0
אלנהי,0
אלד'י,0
נהינא,0
ען,0
תקריב,0
שי,0
מן,0
אלקראבין,0
בחוץ,0
אעני,0
חוץ,1
"לעזרה,",1
והד'א,0
יתסמי,0
מעלה,1
"בחוץ,",1
והו,0
קולה,0
תעאלי,0
השמר,1
לך,1
תעלה,1
עלתיך,1
בכל,1
מקום,1
אשר,1
תראה.,1
ונץ,0
ספרי,1
אין,1
לי,1
אלא,1
"עולות,",1
שאר,1
קדשים,1
"מנין,",1
תלמוד,1
לומר,1
ושם,1
תעשה,1
כל,1
אשר,1
אנכי,1
"מצוך,",1
ועדין,1
אני,1
אומר,1
עולה,1
בעשה,1
ולא,1
תעשה,1
שאר,1
קדשים,1
לא,1
יהו,1
אלא,1
"בעשה,",1
תלמוד,1
לומר,1
ושם,1
תעלה,1
"עלתיך,",1
עולה,1
בכלל,1
"היתה,",1
ולמה,1
"יצאת,",1
להקיש,1
"אליה,",1
מה,1
עולה,1
שהיא,1
מיוחדת,1
שהיא,1
בעשה,1
ולא,1
תעשה,1
כך,1
כל,1
שהוא,1
בעשה,1
הרי,1
הוא,1
בלא,1
"תעשה,",1
ואנא,0
אשרח,0
לך,0
הד'א,0
אלנץ,0
ואן,0
כאן,0
ביין,0
חתי,0
יתצ'ח,0
"אלמעני,",0
וד'לך,0
אן,0
אלעולה,0
ג'א,0
נץ,0
באלנהי,0
ען,0
תקריבהא,0
בחוץ,0
והו,0
קולה,0
פן,1
תעלה,1
"עלתיך,",1
וג'א,0
נץ,0
אכ'ר,0
באלאמר,0
בתקריב,0
אלעולה,0
בפנים,0
והו,0
קולה,0
תעאלי,0
שם,1
תעלה,1
"עלתיך,",1
והד'ה,0
מצות,1
עשה,1
אן,0
תקריב,0
אלעולה,0
במקום,1
אשר,1
יבחר,1
"ה',",1
אמא,0
שאר,1
קדשים,1
פג'אנא,0
אלאמר,0
פקט,0
באן,0
תקרב,1
בפנים,1
והו,0
קולה,0
ושם,1
תעשה,1
כל,1
אשר,1
אנכי,1
"מצוך,",1
לכן,0
מן,0
קולה,0
שם,1
תעשה,1
יכ'רג',0
אן,0
בחוץ,0
לא,1
"תעשה,",1
ואלאצל,0
ענדנא,0
לאו,1
הבא,1
מכלל,1
עשה,1
עשה,1
"הוא,",1
והו,0
קולהם,0
הנא,0
ועדין,1
אני,1
אומר,1
שאר,1
קדשים,1
לא,1
יהו,1
אלא,1
"בעשה,",1
יעני,0
באן,0
יכון,0
אלד'י,0
יקרב,1
שאר,1
קדשים,1
בחוץ,1
יתעדי,0
עלי,0
לאו,1
הבא,1
מכלל,1
עשה,1
"פקט,",0
פלד'לך,0
קאל,0
ושם,1
תעלה,1
עלתיך,1
ליחצל,0
אלהקש,0
ויכ'ן,0
שאר,1
קרבנות,1
"כעולה,",1
כמא,0
אן,0
מקריב,1
עולה,1
בחוץ,1
בלא,1
תעשה,1
כד'לך,0
שאר,1
קרבנות,1
בלא,1
תעשה.,1
ואלמתעדי,0
עלי,0
הד'א,0
אלנהי,0
במזיד,1
ענוש,1
"כרת,",1
ובשוגג,1
תלזמה,0
חטאת,1
קבועה.,1
נץ,0
אלכרת,0
פי,0
פרשת,1
אחרי,1
מות,1
קאל,0
פי,0
מעלה,1
בחוץ,1
אשר,1
יעלה,1
עולה,1
או,1
זבח,1
ואל,1
פתח,1
אהל,1
מועד,1
לא,1
יביאנו,1
לעשות,1
אתו,1
לה',1
ונכרת,1
האיש,1
ההוא,1
מעמיו.,1
ופי,0
ספרא,1
ונכרת,1
"מעמיו,",1
עונש,1
שמענו,1
אזהרה,1
"מנין,",1
תלמוד,1
לומר,1
השמר,1
לך,1
פן,1
תעלה,1
עלתיך.,1
ונץ,0
גמר,1
זבחים,1
העלאה,1
כתיב,1
עונש,1
וכתיב,1
"אזהרה,",1
עונש,1
ואל,1
פתח,1
אהל,1
מועד,1
לא,1
יביאנו,1
"ונכרת,",1
אזהרה,1
השמר,1
לך,1
פן,1
תעלה,1
עלתיך.,1
וקד,0
תביינת,0
אחכאם,0
הד'ה,0
אלמצוה,0
פי,0
ת'אלת',0
עשר,0
מן,0
זבחים.,1
