word,is_he
,0
"א,",1
א,1
ואר/א/ה,1
מראות,1
אלהים.,1
ג'מע,0
מראה,1
הדא,0
ידל,0
באן,0
כל,0
אסם,0
יג'י,0
מן,0
אלאפעאל,0
אלמעתלה,0
אללאם,0
יג'וז,0
פיה,0
אלג'מע,0
מתל,0
מחנה,1
מחנות,1
מאפה,1
מאפות,1
מחסה,1
מחסות,1
וגירהא,0
כתיר,0
וקד,0
יג'וז,0
אן,0
יכון,0
מראה,1
פאעל,0
תקיל,0
מתל,0
מרבה,1
מעלה,1
מקלה.,1
"א,",1
כז,1
כמראה,1
אש,1
בית,1
לה,1
סביב.,1
הדא,0
עלי,0
מא,0
קלת,0
אן,0
אלעבראניון,0
יצ'יפון,0
אלי,0
אללאם,0
ואלבא,0
ואלמים,0
וקד,0
דכרתהא,0
פוק,0
הדא.,0
"ב,",1
ו,1
כי,1
סרבים,1
וסלונים,1
אותך,1
ואל,1
עקרבים,1
אתה,1
יושב.,1
אמא,0
אן,0
יכון,0
לא,0
תכפהם,0
לאנהם,0
סרבים,1
וסלו',1
ועקרבים,1
ואמא,0
אן,0
יכון,0
יריד,0
לא,0
תכפהם,0
לאני,0
אג'עלך,0
מתל,0
סרבים,1
וסלונים,1
ועקרבים,1
תודיהם,0
ותולמהם,0
אן,0
אדוך.,0
"ב,",1
י,1
קינים,1
והגה.,1
מצדר,0
מן,0
הגה,1
הגיתי,1
ומת'לה,0
הרבה,1
בכה,1
מן,0
בכה,1
בכיתי.,1
"ג,",1
ה,1
עמקי,1
שפה,1
וכבדי,1
לשון.,1
אצ'אפה,0
ג'מע,0
עמק,1
וכדלך,0
כבדי,1
אצ'אפה,0
ג'מע,0
כבד.,1
"ג,",1
ו,1
אם,1
לא,1
אל/י/הם,1
שלחתיך,1
המה,1
ישמעו,1
אליך.,1
אם,1
לא,1
פי,0
הדא,0
אלמוצע,0
גריב,0
לאנה,0
במעני,0
אם,1
לו.,1
"ג,",1
יג,1
משיקות.,1
פא,0
אלאפעל,0
מנדגם,0
פי,0
אלשין,0
אלשדידה,0
לאנה,0
מן,0
נשק.,1
"ג,",1
טו,1
משמים.,1
מת'ל,0
מרנין,1
ומתאלהמא,0
מן,0
אלצחיח,0
מכלים.,1
"ג,",1
כא,1
לבלתי,1
חטא.,1
מצדר,0
מצ'אף,0
קאים,0
בדאתה,0
מתל,0
ברא,1
ייי,1
אלהים,1
