word,is_he
אלכלאם,0
עלי,0
אלפצל,0
אלסאדס,0
ממא,0
וג'ד,0
לה,0
רצ'י,0
אללה,0
ענה,0
פי,0
תפסיר,0
בראשית,1
קולה:,0
ופי,0
תעריפנא,0
כ'לק,0
הד'ה,0
אלאצול,0
אלארבעה,0
מנאפע.,0
מנהא,0
לנמתת'ל,0
אל[שרי]עאת,0
אלתי,0
אמרנא,0
בהא,0
פי,0
אלסמא,0
ואלארץ'.,0
[וא]מא,0
פי,0
אלסמא,0
פאסתקבאל,0
ג'ההֿ,0
אלגרב,0
פי,0
וקת,0
אלצלוהֿ,0
לאן,0
מלאיכהֿ,0
אלסמא,0
כד'אך,0
תסג'ד,0
כקולה,0
וצבא,1
השמים,1
לך,1
משתחוים.,1
וכד'לך,0
משה,1
חין,0
אקאם,0
אלמשכן,0
ג'על,0
באבה,0
ג'ההֿ,0
אלשרק,0
לקולה,0
והחונים,1
לפני,1
המשכן,1
קדמה,1
לפני,1
אהל,1
מועד,1
מזרחה,1
משה,1
ואהרן,1
ובניו.,1
ואלקבלה,0
אלי,0
אלגרב,0
ופיהא,0
כאן,0
אלארון,0
והד'א,0
אלרסם,0
מהמא,0
לם,0
יכן,0
קדיס,0
פי,0
אלארץ'.,0
פאמא,0
אד'א,0
כ'ץ,0
מוצ'ע,0
פי,0
אלארץ',0
באנה,0
מקדש,1
פאלקבלה,0
כיף,0
מא,0
אסתקבלה,0
אלמכאן,0
ופי,0
כתאב,0
אלאמאנאת,0
קאל,0
אן,0
אלקבלה,0
אנמא,0
שרעת,0
אלי,0
אלארון,0
פמהמא,0
כאן,0
אלארון,0
פי,0
אלבר,0
כאנת,0
אלקבלה,0
הנאך.,0
פלמא,0
אנתקל,0
אלי,0
אלגלגל,0
ושילו,1
ונב,1
וגבעון,1
ובית,0
אלמקדס,0
תבעתה,0
אלקבלה.,0
קאל,0
מבשר:,0
קולה,0
אלאול,0
יפיד,0
אן,0
מהמא,0
כאנו,0
פי,0
אלבר,0
כאנת,0
קבלתהם,0
אלי,0
אלגרב.,0
וקולה,0
אלת'אני,0
יפיד,0
אנהא,0
כאנת,0
אלי,0
אלארון,0
ואנהם,0
פי,0
חאל,0
צלותהם,0
פי,0
אלבר,0
[כאנו],0
יסתקבלון,0
אלארון,0
מן,0
כל,0
וג'ה,0
פמן,0
כאן,0
מנהם,0
פי,0
ג'ההֿ,0
אלגרב,0
אסתדבר,0
אלגרב,0
ואסתקבל,0
אלארון,0
והד'א,0
רג'וע,0
ען,0
קולה.,0
וממא,0
וג'ד,0
לה,0
מן,0
תכ'ריג',0
גירי,0
קולה,0
פי,0
פרשהֿ,0
כי,1
תשא,1
אן,0
ויעבר,1
ייי,1
על,1
פניו,1
ויקרא,1
מענאה,0
ויקרא,1
כד'י,0
כד'י,0
אי,0
אן,0
ייי,1
אל,1
רחום,1
וחנון,1
ולהד'א,0
צאר,0
בינהמא,0
פי,0
אלטעם,0
פאסקה,0
חתי,0
ינחאז,0
אלאסם,0
אלאול,0
אלי,0
אלקריאה,0
ואלת'אני,0
אלי,0
אלאוצאף.,0
קאל,0
ומעני,0
ייי,1
אנה,0
יאכד,0
עלי,0
עבאדה,0
באנה,0
סיד,0
פאנה,0
פיפצ'ל,0
עליהם,0
ואן,0
לם,0
יסתחקו,0
ד'לך,0
