word,is_he
"ואלי""ט",0
המכיר,1
כיליו,1
וספריו,1
ביד,1
אחר.,1
והו,0
מן,0
ירי,0
ביד,0
אנסאן,0
תיאבא,0
או,0
כתבא,0
וערפהא,0
לנפסה,0
פיקול,0
אלמוגודה,0
פי,0
ידה,0
אני,0
אשתריתהא,0
מן,0
אנסאן,0
באעני,0
איאהא,0
ויקול,0
אלדי,0
ראהא,0
סרקת,0
מני,0
יגב,0
אן,0
יחלף,0
דלך,0
אלמשתרי,0
עלי,0
מקדאר,0
מא,0
וזן,0
מן,0
תמנהא,0
ויאכד,0
מן,0
צאחבהא,0
וירדהא,0
עליה,0
ויחתאג,0
פי,0
הדא,0
אלחכם,0
אלי,0
שראיט,0
ופיה,0
נצת,0
אלמשנה,0
המכיר,1
כליו,1
וספריו,1
ביד,1
אחר,1
אם,1
יצא,1
לו,1
שם,1
גניבה,1
בעיר,1
ישבע,1
כמה,1
הוציא,1
ויטול,1
ואם,1
לאו,1
לא,1
כל,1
הימנו,1
ודלך,0
עלי,0
צ'רבין,0
אלאול,0
רגל,0
לה,0
עאדה,0
בביע,0
מא,0
פי,0
מנזלה,0
ואלתאני,0
רגל,0
לא,0
רסם,0
לה,0
בביע,0
מא,0
פי,0
מנזלה.,0
ואלשראיט,0
פי,0
דלך,0
ה',1
והי,0
אן,0
כאן,0
נקב,0
וגד,0
פי,0
מנזלה,0
וקום,0
באתו,0
ענדה,0
וכרגו,0
ועלי,0
אכתאפהם,0
כאראת,0
וקאם,0
פי,0
אלליל,0
ושנע,0
באן,0
קד,0
סרק,0
מא,0
פי,0
ביתה,0
ושאע,0
פי,0
דלך,0
אלמוצ'ע,0
אן,0
תיאב,0
פלאן,0
וכתבה,0
סרקת.,0
פאול,0
דלך,0
נצת,0
פיה,0
אלמשנה,0
אם,1
יצא,1
לו,1
שם,1
גניבה,1
בעיר,1
תם,0
קאל,0
אלתלמוד,0
א',1
ר',1
יהו',1
א',1
רב,1
כגון,1
שבאו,1
בני,1
אדם,1
ולנו,1
בתוך,1
ביתו,1
ועמד,1
והגבין,1
(!),0
בלילה,1
נגנבו,1
כילי,1
נגנבו,1
<כילי>,1
תם,0
קאל,0
רב,1
כהנה,1
מסיים,1
בה,1
משמא,1
דרב,1
נחמן,1
כגין,1
(!),0
שהיתה,1
לו,1
מחתרת,1
חתורה,1
בתוך,1
ביתו,1
<ואותן,1
בני,1
אדם,1
שלנו,1
בתוך,1
ביתו>,1
יצאו,1
ואנבוקראות,1
שלכלים,1
על,1
כתפיהם,1
והכל,1
מסיחין,1
ואומרין,1
נגנבו,1
כליו,1
שלפל'.,1
[],0
והדה,0
אלשרוט,0
באסרהא,0
אנמא,0
יחתאג,0
אליהא,0
פי,0
רגל,0
מן,0
עאדתה,0
אן,0
יביע,0
אניה,0
ביתה,0
לנחכם,0
לה,0
בדלך,0
לילא,0
יכון,0
קד,0
באעהא,0
לאנסאן,0
ואשתראהא,0
הדא,0
אלמשתרי,0
מנה,0
פאדא,0
אשתהרת,0
לה,0
מתל,0
הדה,0
אלחאדתה,0
ותביינת,0
אלאתאר,0
כמא,0
קד,0
שרחתה,0
סאג,0
אן,0
יחכם,0
לה,0
בהדא,0
אלחכם.,0
פאמא,0
מן,0
לם,0
ירתסם,0
בביע,0
מא,0
[פי],0
דארה,0
פליס,0
יחתאג,0
אלי,0
גמיע,0
דלך,0
בל,0
אדא,0
כאן,0
קד,0
שאע,0
פי,0
אלמוצ'ע,0
אן,0
קד,0
סרק,0
מא,0
פי,0
ביתה,0
וערפת,0
תלך,0
אלאעלאק,0
אנהא,0
לה,0
ליס,0
יחתאג,0
אלי,0
גיר,0
דלך,0
ווגב,0
לה,0
ארתגאעהא,0
מן,0
משתריהא,0
בעד,0
אן,0
יעטיה,0
מא,0
וזן,0
מן,0
תמנהא,0
בימינה,0
לקו',0
א',1
רבא,1
לא,1
שנו,1
אלא,1
בבעל,1
הבית,1
העשוי,1
למכור,1
את,1
כליו,1
אבל,1
בעל,1
הבית,1
שאינו,1
עשוי,1
למכור,1
את,1
כיליו,1
לא,1
צריך,1
כולי,1
האיי,1
ודילמא,1
איצטריכו,1
ליה,1
<זוזי>,1
וזבין,1
א',1
ר',1
אשי,1
הרי,1
יצא,1
לו,1
שם,1
גניבה,1
בעיר.,1
וכדלך,0
איצ'א,0
אדא,0
ערף,0
אלסארק,0
יגב,0
אן,0
יעטי,0
צאחב,0
אלסרקה,0
ללמשתרי,0
מא,0
וזן,0
מן,0
אלתמן,0
ויאכד,0
אלשי,0
מנה,0
תם,0
ירגע,0
הו,0
עלי,0
אלסארק,0
ויאכד,0
מנה,0
מא,0
אכד,0
מן,0
אלמשתר[י],0
לקו',0
איתמר,1
גנב,1
ומכר,1
ואחר,1
כך,1
הוכר,1
הגנב,1
ר',1
משום,1
ר',1
חייה,1
אמ',1
הדין,1
עם,1
הראשון,1
ר',1
יוחנן,1
משום,1
ר',1
ינאיי,1
אמ',1
הדין,1
עם,1
השני,1
וליס,0
אלהלכה,0
פי,0
תפסיר,0
דלך,0
כמן,0
געלה,0
כלפא,0
פי,0
רגוע,0
אלתוב,0
בעינה,0
אלי,0
צאחבה,0
ופרק,0
בין,1
לפני,1
יאוש,1
ובין,1
לאחר,1
יאוש,1
ובין,1
יאוש,1
לפני,1
מכירה,1
ובין,1
יאוש,1
לאחר,1
מכירה,1
בל,0
כקול,0
אלחכ',0
רב,1
פפא,1
אמ',1
דכולי,1
עלמא,1
גלימא,1
למאריה,1
האדר,1
ומאי,1
הדין,1
הדין,1
דלוקח,1
והכא,1
בעשו,1
בו,1
תקנת,1
השוק,1
קא,1
מיפלגי.,1
ותפסיר,0
קולהם,0
הדין,1
דלוקח,1
הוא,0
מחאכמה,0
אלמשתרי,0
פקאל,0
אלמפסר,0
אן,0
קול,0
רב,1
הוא,1
(!),0
אן,0
מחאכמה,0
אלמשתרי,0
מע,0
אול,0
מן,0
ערף,0
מנהמא,0
והו,0
אלסארק.,0
פוגב,0
הדא,0
אלקול,0
שלא,1
עשו,1
בו,1
תקנת,1
השוק.,1
ותפסיר,0
תקנת,1
השוק,1
אן,0
כל,0
מן,0
אשתרי,0
שיא,0
מן,0
סארק,0
לא,0
יאכדה,0
מנה,0
[…],0
מה,0
אלא,0
אדא,0
וזן,0
לה,0
[מא],0
אעטי,0
מן,0
תמנה,0
אמא,0
בשהוד,0
אמא,0
בימין,0
פמן,0
קאל,0
אן,0
מחאכמה,0
אלמשתרי,0
מע,0
אלסארק,0
לא,0
ילזם,0
צאחב,0
אלסרקה,0
תקנת,1
השוק,1
וקד,0
יקול,0
ר',1
יוחנן,1
או',1
אן,0
מחאכמה,0
אלמשתרי,0
מע,0
צאחב,0
אלסרקה,0
והו,0
אלדי,0
כאן,0
תאניא,0
למן,0
ערף,0
מנהמא,0
פוגב,0
הדא,0
אלקול,0
אלזאם,0
צאחב,0
אלסרקה,0
תקנת,1
השוק,1
והו,0
אן,0
יעטי,0
אלמשתרי,0
מא,0
וזנה,0
מן,0
אלתמן,0
בשהוד,0
עלי,0
מבלגה,0
או,0
בשבועה,1
וירגע,0
הו,0
באלמטאלבה,0
בדלך,0
עלי,0
אלסארק,0
והלכה,1
כר',1
יוחנן.,1
ולגמוץ',0
קול,0
רבותינו,1
פי,0
דלך,0
מן,0
שדה,0
אכתצארהם,0
אחתגנא,0
אן,0
נפסר,0
מוצ'ע,0
אלכלף,0
ועלי,0
אני,0
קד,0
תעמדת,0
אלאיגאז.,0
וינבגי,0
אן,0
יעלם,0
אן,0
תקנת,1
השוק,1
גאיזה,0
פי,0
כל,0
שי,0
ולו,0
אנה,0
חתי,0
יסתרהן,0
רגלא,0
שיא,0
מן,0
אלסארק,0
עלי,0
מקדאר,0
קימתה,0
בגיר,0
אסתט'האר,0
באלעאדאת,0
לאלזמנא,0
צאחבה,0
אן,0
יעטיה,0
דלך,0
בימינה,0
או,0
לו,0
אנה,0
חתי,0
ישתרי,0
מא,0
יסאוי,0
ק',1
דרהם,0
במאתין,0
וט'הר,0
אללץ,0
לאוגבנא,0
אן,0
יעטא,0
מא,0
וזן,0
מן,0
אלתמן,0
לקו',0
משכנתא,1
שוי,1
חמשה,1
בארבעה,1
עשו,1
בו,1
תקנת,1
השוק,1
שווה,1
בשווה,1
אמימר,1
אמ',1
לא,1
עשו,1
בו,1
תקנת,1
השוק,1
מר,1
זוטרא,1
אמ',1
עשו,1
בו,1
תקנת,1
השוק,1
זביני,1
שוה,1
בשווה,1
עשו,1
בו,1
תקנת,1
השוק,1
שווה,1
מאה,1
במאתן,1
רב,1
ששת,1
אמ',1
לא,1
עשו,1
בו,1
תקנת,1
שוק,1
רבא,1
אמ',1
עשו,1
