word,is_he
ובעד,0
מא,0
אסתופית,0
דלך,0
בתופיק,0
אללה,0
ארי,0
אן,0
אתבע,0
מא,0
קד,0
שרחתה,0
במא,0
לא,0
בד,0
מנה.,0
ואעיד,0
מא,0
קד,0
צדרת,0
בה,0
פי,0
אול,0
הדא,0
אלכתאב,0
והו,0
אן,0
האולאי,0
אלמעדודין,0
להשבע,1
וליטול,1
הם,0
וחודהם,0
ומא,0
יתפרע,0
מנהם,0
יחלפון,0
ויאכדון,0
ומא,0
כאן,0
סואהם,0
פליס,0
להם,0
דלך,0
באלימין,0
עלי,0
אלמדעא,0
עליה,0
והו,0
אן,0
יחלף,0
ויתכלץ,0
מן,0
אלמטאלבה,0
ועלי,0
אלמדעי,0
אחצ'אר,0
אלבאינה,0
אדא,0
אראד,0
אסתכראג,0
לקו',0
המוציא,1
מחברו,1
עליו,1
הראיה,1
ואדא,0
לם,0
תכן,0
ראיה,1
פיחלף,0
כצמה,0
ויברא,0
והדא,0
אצל,0
תקאס,0
אליה,0
כל,0
חאדתה,0
ומערפה,0
אלמדעי,0
הו,0
טאלב,0
אלאסתכראג,0
ואלמדעא,0
עליה,0
הו,0
אלדי,0
בידה,0
אלמאל,0
אלגאחד,0
אלדעוי,0
וקד,0
קאלת,0
אלמשנה,0
אמ',1
לחנוני,1
תן,1
לי,1
בדינר,1
פירות,1
ונתן,1
לו,1
תן,1
לי,1
את,1
הדינר,1
אמ',1
לו,1
נתתיו,1
לך,1
והשלכתיו,1
לתוך,1
כיסך,1
ישבע,1
בעל,1
הבית,1
ונתן,1
לו,1
את,1
הדינר,1
ואמ',1
לו,1
תן,1
לי,1
את,1
הפירות,1
נתתים,1
לך,1
והולכתים,1
לתוך,1
ביתך,1
ישבע,1
חנוני.,1
פאמא,0
אן,0
כאן,0
שי,0
בין,0
נפסין,0
תקדם,0
אחדהמא,0
ואדכלה,0
מנזלה,0
פלא,0
נלזם,0
אלאכר,0
להביא,1
ראיה,1
ונעתקדה,0
מוציא,1
מחברו,1
בל,0
נלזם,0
אלדי,0
קד,0
חצלה,0
אן,0
ירדה,0
אלי,0
מא,0
כאן,0
