word,is_he
ואלתאני,0
כיפיה,0
אלאימאן,0
פנקול,0
כמא,0
קד,0
עדדנא,0
אן,0
חדוד,0
אלגזרה,0
וחמל,0
אלקאים,0
בהא,0
ספר,1
תורה,1
ושבועת,1
הסת,1
לן,0
יגב,0
פיהא,0
דלך,0
בל,0
ללכצם,0
אלתובע,0
אדא,0
וגב,0
לה,0
שבועת,1
הסת,1
עלי,0
כצמה,0
אן,0
יאכד,0
מא,0
וגב,0
לה,0
מן,0
ימין,0
כצמה,0
פי,0
יום,0
אתנין,0
או,0
יום,0
כמיס,0
וקת,0
מא,0
יכון,0
ספר,1
תורה,1
בארון,1
פאן,0
כאן,0
אלחאלף,0
תלמיד,1
חכם,1
לם,0
נלזמה,0
חמל,0
ספר,1
תורה,1
בל,0
נחמלה,0
פי,0
מוצ'עה,0
תפלין,1
לקו',0
שבועה,1
בספר,1
תורה,1
תל',1
חכ',1
לכתחלה,1
בתפלין,1
וחד,1
"ת""ח",1
ועלי,0
אן,0
לרבותי',1
פיה,0
אשיא,0
כתירה,0
פאן,0
אלחד,0
אלמסתעמל,0
ההונא,0
הו,0
קולהם,0
אי,1
זהו,1
תלמי',1
חכם,1
כל,1
שמניח,1
תפלין.,1
וינבגי,0
אן,0
נעלם,0
אן,0
אלנסא,0
אלמסתוראת,0
לא,0
נלזם,0
אשהארהם,0
פי,0
אלכנאיס,0
ענד,0
אלימין,0
ובחצ'רה,0
אלגמיע,0
לאן,0
לם,0
ילזם,0
דלך,0
גיר,0
אלשוטה,0
אלדי,0
קיל,0
פיהא,0
בקבלה,0
לכן,1
כה,1
אמר,1
"י""י",1
העלה,1
עליהן,1
קהל,1
ודלך,0
למא,0
פיה,0
מן,0
אלארתדאע,0
לקול,0
אלמשנה,0
כל,1
הרוצה,1
לראות,1
בה,1
רואה,1
שנא',1
ונוסרו,1
כל,1
הנשים.,1
פאן,0
טאלב,0
אלכצם,0
בצ'רב,0
אלבוק,0
מע,0
אלסמאת,0
אטלקנא,0
לה,0
דלך,0
לאנה,0
ידכר,0
יום,1
אלדין,0
אלדי,0
קיל,0
פיה,0
יום,1
שופר,1
ותרועה,1
וכדלך,0
אן,0
אלתמס,0
אחצ'אר,0
גנאיז,0
לאנהא,0
תדכר,0
אלמות,0
ואחצ'אר,0
אלמסוח,0
לאנהא,0
תכסר,0
אלנפס,0
וגמיע,0
מא,0
שאכל,0
הדה,0
אלאשיא,0
אן,0
אלתמסהא,0
אלכצם,0
לם,0
נמנע,0
דלך,0
מנה,0
ולא,0
יט'ן,0
פי,0
מא,0
קלנאה,0
פי,0
אלאמראה,0
אנה,0
ינאקץ',0
קול,0
אלחכמים,0
השוה,1
הכתוב,1
אשה,1
לאיש,1
לכל,1
דינין,1
שבתורה,1
לאנא,0
לא,0
נבטל,0
מנהא,0
חכמא,0
ואמא,0
צנאהא,0
כמא,0
נעמל,0
ענד,0
מעאקבתהא,0
אלרגם,0
וכמא,0
נצת,0
אלמשנה,0
האיש,1
נסקל,1
ערום,1
ואין,1
האשה,1
נסקלת,1
ערומה,1
האיש,1
נתלה,1
ואין,1
האשה,1
נתלית.,1
וינבגי,0
אן,0
יעלם,0
אן,0
אשת,1
איש,1
לא,0
נלזמהא,0
ימינא,0
עלי,0
מטאלבה,0
מן,0
יטאלבהא,0
בתה,0
לאן,0
אלימין,0
עלי,0
אלדעוי,0
הו,0
מקאם,0
תופיתה,0
כמא,0
קאל,0
שבועת,1
"י""י",1
תהיה,1
בין,1
שניהם,1
פכמא,0
לו,0
אן,0
וגב,0
עליהא,0
שי,0
לם,0
נלזמהא,0
תופיתה,0
לאן,0
לא,0
מלך,0
להא,0
לקול,0
אלמשנה,0
העבד,1
והאשה,1
פגיעתן,1
רעה,1
החובל,1
בהן,1
חייב,1
והם,1
שחבלו,1
באחרים,1
פטורים,1
כדאך,0
לא,0
נלזמהא,0
אן,0
תחלף,0
לאכננא,0
נכתב,0
למטאלבתהא,0
במא,0
יגב,0
ליטאלבהא,0
בעד,0
וקת,0
אדא,0
מלכת,0
נפסהא,0
לקולהם,0
איצ'א,0
ומשלמין,1
לאחר,1
זמן,1
נתגרשה,1
האשה,1
ונשתחרר,1
העבד,1
הרי,1
אלו,1
חייבין.,1
