word,is_he
,0
ואלה,1
תולדות,1
יצחק,1
בן,1
"אברהם,",1
למא,0
זאד,0
יקול,0
אברהם,1
הוליד,1
את,1
"יצחק,",1
לאנא,0
עלמנא,0
אנה,0
עלמה,0
וחכמה,0
חתי,0
צאר,0
מת'לה.,0
תנו,1
רבנן,1
יש,1
צדיק,1
מוליד,1
רשע,1
יש,1
לו,1
משל,1
מולדין,1
בנין,1
דלא,1
דאמו,1
להון.,1
ויש,1
לו,1
מקרא,1
תחת,1
חטה,1
יצא,1
חוח,1
ותחת,1
שעורה,1
באשה.,1
יש,1
רשע,1
מוליד,1
צדיק,1
יש,1
לו,1
משל,1
מן,1
סניא,1
נפק,1
ורדא.,1
ויש,1
לו,1
מקרא,1
תחת,1
הנעצוץ,1
יעלה,1
ברוש,1
ותחת,1
הסרפד,1
יעלה,1
הדס.,1
ויש,1
רשע,1
מוליד,1
רשע,1
יש,1
לו,1
משל,1
מא,1
ילידת,1
חפושיתא,1
בנין,1
דדאמו,1
לה.,1
ויש,1
לו,1
מקרא,1
והנה,1
קמתם,1
תחת,1
אבותיכם,1
תרבות,1
אנשים,1
חטאים.,1
ויש,1
צדיק,1
מוליד,1
צדיק,1
יש,1
לו,1
משל,1
סדנא,1
מוקים,1
שירותיה.,1
ויש,1
לו,1
מקרא,1
תחת,1
אבותיך,1
יהיו,1
"בניך,",1
כגון,1
אברהם,1
"ליצחק,",1
ויצחק,1
"ליעקב,",1
ויעקב,1
"לבניו,",1
וכיוצא,1
בהם.,1
ויהי,1
יצחק,1
בן,1
ארבעים,1
"שנה,",1
למה,1
ייחסו,1
"הכתוב,",1
להודיעך,1
ששלש,1
שנים,1
נתאבל,1
על,1
שרה,1
אמו.,1
בקחתו,1
את,1
"רבקה,",1
בת,1
ארבע,1
עשרה,1
שנה,1
היתה,1
"כשנישאת,",1
ושני,1
חייה,1
מאה,1
ושלשים,1
ושלש.,1
עשרים,1
שנה,1
היתה,1
בהן,1
עקרה.,1
ויעקב,1
בן,1
שבע,1
ושבעים,1
כשעמד,1
על,1
הבאר,1
כמו,1
שנפרש,1
"במקומו,",1
וישב,1
עם,1
לבן,1
עשרים,1
"שנה,",1
ונשתהה,1
שתי,1
שנים,1
בדרך,1
בחזירתו,1
לבית,1
"אביו,",1
ובאותו,1
פרק,1
"מתה,",1
הכל,1
מאה,1
ותשע,1
עשרה.,1
וארבע,1
עשרה,1
שנה,1
קודם,1
שתינשא.,1
אחות,1
לבן,1
"הארמי,",1
למה,1
ייחסה,1
הכתוב,1
מכל,1
"סביבותיה,",1
ללמדך,1
שגדלה,1
בין,1
שני,1
רשעים,1
ולא,1
עשת,1
מעשיהם.,1
כי,1
עקרה,1
"היא,",1
הוא,1
כתיב,1
"בואו,",1
שאף,1
יצחק,1
היה,1
עקור,1
שהרי,1
הוא,1
אומר,1
ויעתר,1
לו,1
"ה',",1
ששניהם,1
היו,1
"עקורין,",1
חזי,1
ליה,1
למימר,1
ויעתר,1
להם,1
"ה',",1
אלא,1
לפי,1
שאינו,1
דומה,1
תפלת,1
צדיק,1
בן,1
צדיק,1
לתפלת,1
צדיק,1
בן,1
רשע.,1
למה,1
חזר,1
ואמר,1
מפדן,1
"ארם,",1
אמר,1
ר',1
יצחק,1
ללמדך,1
שאביה,1
ואמה,1
"רמאין,",1
קד,0
אעלמתך,0
מפני,1
מה,1
האבות,1
עקורין,1
פי,0
וה',1
פקד,1
את,1
שרה.,1
ועוד,1
תנן,1
מפני,1
מה,1
היו,1
האמהות,1
"עקורין,",1
מפני,1
שהן,1
צדיקות,1
"וכשרות,",1
כדי,1
שלא,1
תהיינה,1
בוטחות,1
בעצמן.,1
ויתרצצו,1
"הבנים,",1
ר',1
ברכיה,1
"אומר,",1
כשהיתה,1
רבקה,1
עוברת,1
על,1
בתי,1
"ע""ז",1
היה,1
עשו,1
מפרכס,1
"לצאת,",1
ועליו,1
נאמר,1
זורו,1
רשעים,1
מרחם.,1
וכשהיתה,1
עוברת,1
על,1
בתי,1
כנסיות,1
ובתי,1
מדרשות,1
היה,1
יעקב,1
מפרכס,1
"לצאת,",1
הדא,1
היא,1
דכתיב,1
בטרם,1
אצרך,1
בבטן,1
ידעתיך.,1
תנו,1
רבנן,1
