word,is_he
,0
ולא,1
יהיה,1
עוד,1
לבית,1
ישראל,1
"סלון,",1
הו,0
אלשוך.,0
"וקוץ,",1
עוד,0
חאד.,0
ואלמעני,0
לא,0
יכון,0
להם,0
ואלי,0
"ממחוק,",0
סלון,1
"ואלי,",0
עלי,0
מת'ל,0
קולה,0
עודך,1
מסתולל,1
בעמי.,1
וכד'א,0
תרגם,1
אנקלוס,1
כבשת.,1
וממאיר,1
"מחק,",0
מת'ל,0
מארה.,1
השאטים,1
"אותם,",1
אלנאהבין,0
להם.,0
חחים,1
"בלחייך,",1
צנאניר.,0
ולא,1
יהיה,1
עוד,1
לבית,1
ישראל,1
למבטח,1
מזכיר,1
"עון,",1
מכאן,1
שבעבודת,1
יום,1
הכפורים,1
המיוחדת,1
אין,1
שם,1
בגדי,1
זהב,1
אלא,1
בגדי,1
לבן,1
"כולם,",1
ר',1
יוסי,1
בר',1
חנינה,1
אומר,1
ארבעים,1
ושתים,1
שנה,1
היה,1
הרעב,1
ראוי,1
לבוא,1
"למצרים,",1
שכן,1
פרעה,1
אומר,1
שבע,1
פרות,1
רעות,1
ושבע,1
שבלים,1
צנומות,1
דקות,1
"ראיתי,",1
הרי,1
ארבעה,1
עשר.,1
והוא,1
חוזר,1
ואומר,1
ליוסף,1
שוב,1
שבע,1
פרות,1
רעות,1
ושבע,1
שבלים,1
דקות,1
"ראיתי,",1
הרי,1
שמונה,1
ועשרים.,1
ויוסף,1
חוזר,1
ואומר,1
לו,1
ושבע,1
הפרות,1
הרקות,1
והרעות,1
העולות,1
אחריהן,1
שבע,1
שנים,1
"הנה,",1
ושבע,1
השבלים,1
הרקות,1
שדפות,1
הקדים,1
יהיו,1
שבע,1
שני,1
"רעב,",1
הרי,1
כולן,1
שתים,1
וארבעים,1
"שנה,",1
לא,1
עשה,1
שם,1
הרעב,1
בימי,1
יוסף,1
אלא,1
שתי,1
שנים,1
"בלבד,",1
דכתיב,1
כי,1
זה,1
שנתים,1
"הרעב,",1
כיון,1
