word,is_he
,0
וידבר,1
דוד,1
"לה',",1
זו,1
אחת,1
משתי,1
שירות,1
"לדוד,",1
שאחת,1
"בכתובים,",1
ואחת,1
בנביאים.,1
מכף,1
כל,1
"אויביו,",1
מכאן,1
למדנו,1
שכל,1
הקבוע,1
כמחצה,1
על,1
מחצה.,1
"סלעי,",1
קלעתי.,0
"ומצודתי,",1
"חצני,",0
אליה,0
יכון,0
אלמהזום,0
לאהתזאם,0
אלהארב,0
אלי,0
ד'לך,0
"פינגא,",0
פמת'ל,0
פיה.,0
ומפלטי,1
"לי,",1
מפלתני,0
מן,0
פליט.,1
"משגבי,",1
מת'ל,0
"מבטחי,",1
והו,0
מעני,0
אלאתכאל.,0
"אפפוני,",1
אחאטו,0
בי.,0
"יבעתוני,",1
אבהתוני.,0
משברי,1
"מות,",1
אלכסר.,0
מוקשי,1
"מות,",1
מעאת'ר.,0
ויתגעש,1
ותרעש,1
"הארץ,",1
זה,1
יום,1
קריעת,1
ים,1
סוף.,1
ויט,1
שמים,1
"וירד,",1
זה,1
יום,1
"המעמד,",1
מלמד,1
שהרכין,1
"הקב""ה",1
שמי,1
השמים,1
העליונים,1
ודבר,1
עמהם.,1
"ערפל,",1
אלצ'באב.,0
"ויעף,",1
אלכרוב,0
אלד'י,0
"עף,",1
ואלקצד,0
בד'לך,0
סרעה,0
חלול,0
אלג'צ'ב.,0
חשרת,1
"מים,",1
אלכת'יר,0
אלג'זיר,0
"מנה,",0
וגא,0
נץ,0
אכ'ר,0
חשכת,1
"מים,",1
והו,0
תראכם,0
אלסחאב,0
חתי,0
יציר,0
צ'לאם,0
משתק,0
מן,0
חשך.,1
אמרת,1
ה',1
"צרופה,",1
מכ'לצה,0
מת'ל,0
וצרפתים,1
כצרף,1
את,1
הכסף.,1
כי,1
כל,1
משפטיו,1
"לנגדי,",1
"נתגאה,",1
ויצאת,1
בת,1
קול,1
ואמרה,1
חייך,1
שאתה,1
טועה,1
בדבר,1
שתינוקות,1
שלבית,1
רבם,1
יודעין,1
"אותו,",1
והוא,1
שנשא,1
הארון,1
על,1
העגלה.,1
ואת,1
עם,1
עני,1
"תושיע,",1
אמר,1
ר',1
יוחנן,1
אם,1
ראית,1
דור,1
שצרות,1
רבות,1
באות,1
עליו,1
ומתמעט,1
והולך,1
חכה,1
"לו,",1
שנ',1
ואת,1
עם,1
עני,1
תושיע.,1
תרחיב,1
צעדי,1
"תחתני,",1
תנו,1
רבנן,1
כשנכנס,1
דוד,1
לארץ,1
פלשתים,1
מצאו,1
אחי,1
גלית,1
ואמר,1
הוא,1
דין,1
דקטל,1
"אחי,",1
קמטיה,1
ואותביה,1
"תחותיה,",1
אמר,1
אכול,1
ואשתי,1
ואיטלל,1
ביה,1
כד,1
בעינא,1
לעין,1
שמשא,1
והדר,1
"אבלעיה,",1
שמע,1
דוד,1
ותלה,1
שם,1
המפורש,1
ויצא,1
"מתחתיו,",1
כל,1
אלף,1
פסיעה,1
שמהלך,1
דוד,1
יכול,1
לעשות,1
פסיעה,1
"אחת,",1
מה,1
עשה,1
"הקב""ה",1
החליף,1
פסיעות,1
אחי,1
גלית,1
לדוד,1
ושלדוד,1
לאחי,1
"גלית,",1
וכן,1
תרגם,1
אסגיתא,1
פסעתי,1
קדמי.,1
ולא,1
מעדו,1
"קרסלי,",1
לם,0
תנפך,0
רכבתיה,0
מן,0
כ'תר,0
אלמסיר.,0
ר',1
אבהו,1
אומר,1
ותזריני,1
חיל.,1
וכתיב,1
ותאזריני,1
"חיל,",1
אמר,1
דוד,1
לפני,1
"הקב""ה",1
רבונו,1
שלעולם,1
אתה,1
הוא,1
שזיריתני,1
וזירזתני.,1
"אדקם,",1
ארכצ'הם.,0
"ארקעם,",1
ארפסהם.,0
"יבולו,",1
יכד'בון.,0
"ויחגרו,",1
יערגו,0
מן,0
חגר.,1
"ממסגרותם,",1
"כבול,",0
והי,0
אלקיוד.,0
"מגדל,",1
זה,1
מגדל,1
דוד,1
שהוא,1
עומד,1
על,1
תליו.,1
אלף,1
המגן,1
תלוי,1
"עליו,",1
מלשון,1
הגדלה,1
"למשיחו,",1
כמו,1
שתרגם,1
יונתן,1
עליו,1
השלום.,1
