word,is_he
,0
ויהי,1
ביום,1
"השמיני,",1
איני,1
יודע,1
אם,1
שמיני,1
למנין,1
אם,1
שמיני,1
לראש,1
"חדש,",1
כשהוא,1
אומר,1
כי,1
שבעת,1
ימים,1
ימלא,1
את,1
"ידכם,",1
וסמיך,1
ליה,1
ויהי,1
ביום,1
"השמיני,",1
הוי,1
שמיני,1
"למנין,",1
לא,1
שמיני,1
לראש,1
חדש.,1
והוא,1
ראש,1
חדש,1
ניסן,1
של,1
שנה,1
שניה.,1
קח,1
לך,1
"עגל,",1
אמרו,1
רבותינו,1
אמר,1
משה,1
"לאהרן,",1
"אחי,",1
"אע""פ",1
שנתרצה,1
לך,1
"הקב""ה",1
צריך,1
אתה,1
דורון,1
לתוך,1
פיו,1
"שלשטן,",1
כדי,1
שלא,1
ישנא,1
אותך,1
בביאתך,1
"למקדש,",1
יבוא,1
עגל,1
ויכפר,1
על,1
מעשה,1
"עגל,",1
יבוא,1
שעיר,1
ויכפר,1
על,1
מעשה,1
"שעיר,",1
הדא,1
היא,1
דכתיב,1
כי,1
אעלה,1
ארכה,1
לך,1
וממכותיך,1
ארפאך.,1
קח,1
לך,1
עגל,1
אמר,1
ר',1
יודן,1
כהונה,1
נתפוקקה,1
על,1
ידי,1
"עגל,",1
ועל,1
ידי,1
עגל,1
נתבוססה.,1
פירוש,1
"נתפוקקה,",1
צ'עיפה,0
מתחרכה.,0
"ונתבוססה,",1
ת'אבתה,0
מתמכנה.,0
"אעלם,",0
אן,0
אלקצד,0
בד'לך,0
אמאתת,0
אלמואד,0
אלחסייה,0
"ואלכ'יאלייה,",0
ולא,1
יכון,0
יתבע,0
כ'יאלה,0
"וחואסה,",0
ולא,1
תתורו,1
אחרי,1
לבבכם,1
ואחרי,1
"עיניכם,",1
אלד'י,0
הו,0
סבב,0
עשיית,1
העגל.,1
ולא,1
ימנע,1
נפסה,0
מן,0
אלצ'רורי,0
אלד'י,0
פיה,0
קואם,0
"מאדתה,",0
והו,0
"אלדורון,",0
וינתקל,0
מן,0
אלמחסוסאת,0
ומן,0
"אלכ'יאלאת,",0
חתי,0
אד'א,0
אנתקל,0
אלי,0
אמור,0
שריפה,0
והו,0
מעני,0
אלחכמים,0
הנא,0
בביאתך,1
"למקדש,",1
אד',0
ליס,0
כלאם,0
אלחכמים,0
הנא,0
עלי,0
"צ'אהרה,",0
וכאן,0
קרבנו,1
"עגל,",1
לאן,0
אלעקובה,0
מן,0
נוע,0
"אלמעציה,",0
תן,1
לחכם,1
ויחכם.,1
ושור,1
ואיל,1
"לשלמים,",1
לפי,1
שנדמית,1
עברה,1
שעשו,1
