word,is_he
,0
ויפתח,1
הגלעדי,1
וכו',1
והוא,1
בן,1
אשה,1
"זונה,",1
פסרהא,0
בן,1
גנאח,1
"זצ""ל",1
נקילה,0
אי,0
ליס,0
הי,0
מן,0
ד'לך,0
אלמכאן,0
אלא,0
מן,0
בלאד,0
"אכ'רא,",0
והד'א,0
אלמעני,0
משתק,0
מן,0
זנה,1
אלד'י,0
הו,0
"אלזנא,",0
לאן,0
אלזנא,0
הו,0
אלנקול,0
ואלנזוע,0
אלי,0
ד'לך,0
אלמד'הב.,0
לא,1
תנחל,1
בית,1
"אבינו,",1
וקד,0
עלמת,0
אין,1
ביתו,1
אלא,1
"אשתו,",1
וכאן,0
אלממון,0
"לאמהם,",0
והכניסה,1
אותו,1
"לגלעד,",1
ולד'לך,0
קאלו,0
לה,0
כי,1
בן,1
אשה,1
אחרת,1
"אתה,",1
לפי,1
שמתנאיי,1
כתובה,1
שיהיו,1
הבנים,1
הזכרים,1
יורשין,1
כתובת,1
אמם.,1
"ולקצין,",1
מדבר,0
פי,0
אלחרב,0
הנא.,0
וקד,0
יקאל,0
קצינים,1
עלי,0
אלכבאראת,0
פי,0
כל,0
שי.,0
וידר,1
יפתח,1
"נדר,",1
ארבעה,1
הן,1
"שנדרו,",1
שנים,1
נדרו,1
"והפסידו,",1
ושנים,1
נדרו,1
"ונשתכרו,",1
ואלו,1
"הן,",1
יעקב,1
ויפתח,1
וישראל,1
"וחנה,",1
ביעקב,1
כתיב,1
וידר,1
יעקב,1
נדר,1
לאמר,1
אם,1
יהיה,1
אליהם,1
"עמדי,",1
כיון,1
שקיים,1
לו,1
"הקב""ה",1
כל,1
מה,1
ששאל,1
ובא,1
לו,1
לארם,1
"נהרים,",1
ולא,1
שילם,1
"נדרו,",1
והיה,1
לוקה,1
ולא,1
היה,1
"יודע,",1
בא,1
עשו,1
הרשע,1
ונתגרה,1
בו,1
ונתן,1
לו,1
כל,1
אותו,1
"הדורון,",1
ובאת,1
צרת,1
"בתו,",1
ומתה,1
רחל,1
"אשתו,",1
אמר,1
"הקב""ה",1
לא,1
יהיה,1
זה,1
נלקה,1
ואינו,1
יודע,1
על,1
מה,1
הוא,1
"נלקה,",1
אלא,1
אני,1
אודיענו.,1
אמר,1
לו,1
"הקב""ה",1
קום,1
עלה,1
בית,1
אל,1
ושב,1
שם.,1
אמר,1
ר',1
איבו,1
מהולתך,1
טרשא,1
אקיש,1
"עלה,",1
כך,1
אמר,1
לו,1
"הקב""ה",1
לא,1
הגיעוך,1
כל,1
הצרות,1
האלו,1
אלא,1
על,1
שאיחרת,1
את,1
"נדרך,",1
הוי,1
יעקב,1
נדר,1
"והפסיד,",1
ביפתח,1
כתוב,1
וידר,1
יפתח,1
וכו',1
והיה,1
היוצא,1
אשר,1
יצא,1
מדלתי,1
ביתי,1
לקראתי,1
והיה,1
לה',1
והעליתיהו,1
"עולה,",1
אמר,1
לו,1
"הקב""ה",1
הרי,1
שיצא,1
לקראתך,1
כלב,1
או,1
חזיר,1
היית,1
מקריבו,1
"לפני,",1
מה,1
עשה,1
"הקב""ה",1
זימן,1
לו,1
בתו.,1
ויהי,1
כראותו,1
אתה,1
ויקרע,1
את,1
"בגדיו,",1
והלא,1
היה,1
