word,is_he
,0
וזאת,1
"הברכה,",1
למה,1
נאמר,1
וזאת,1
הברכה,1
ולא,1
נאמר,1
זאת,1
"הברכה,",1
אלא,1
מוסיף,1
על,1
שלש,1
ברכות,1
שכבר,1
בירכם,1
ואלו,1
"הן,",1
אחת,1
בשעה,1
שגמרו,1
המשכן,1
שנ',1
וירא,1
משה,1
את,1
כל,1
המלאכה,1
וכו',1
ויברך,1
אותם,1
משה,1
אמר,1
להם,1
תשרה,1
שכינה,1
במעשה,1
ידיכם.,1
ואחת,1
ביום,1
שמיני,1
למלואים,1
שנ',1
ויבא,1
משה,1
ואהרן,1
אל,1
אהל,1
מועד,1
ויצאו,1
ויברכו,1
את,1
העם,1
ומה,1
ברכה,1
בירכום,1
אמרו,1
להם,1
יהי,1
רצון,1
שיפתח,1
לבבכם,1
לתלמוד,1
תורה.,1
ואחת,1
היא,1
שאמר,1
ה',1
אלהי,1
אבותיכם,1
יסף,1
עליכם,1
ככם,1
ויברך,1
אתכם,1
כאשר,1
דבר,1
לכם.,1
"ד""א",1
וזאת,1
הברכה,1
זו,1
ברכה,1
מוספת,1
על,1
הברכה,1
שבירכם,1
יעקב,1
אביהם,1
דכתיב,1
וזאת,1
אשר,1
דבר,1
להם,1
אביהם,1
ויברך,1
אותם.,1
נמצאנו,1
למדין,1
שממקום,1
שסיים,1
יעקב,1
אבינו,1
לברך,1
את,1
ישראל,1
משם,1
התחיל,1
משה,1
רבינו,1
מברך,1
וזאת,1
הברכה,1
אשר,1
ברך,1
משה,1
איש,1
"האלהים,",1
זה,1
אחד,1
מעשרה,1
שנקראו,1
איש,1
האלהים.,1
שנ',1
ויבא,1
איש,1
האלהים,1
אל,1
עלי,1
זה,1
אלקנה.,1
שמואל,1
שנ',1
הנה,1
נא,1
איש,1
אלהים,1
בעיר,1
הזאת.,1
דוד,1
שנ',1
במצות,1
דוד,1
איש,1
האלהים.,1
שמעיה,1
שנ',1
ויהי,1
דבר,1
ה',1
אל,1
שמעיה,1
איש,1
האלהים.,1
ועוד,1
שנ',1
הנה,1
איש,1
אלהים,1
בא,1
מיהודה,1
אליהו,1
שנ',1
תיקר,1
נא,1
נפשי,1
בעיניך,1
איש,1
האלהים,1
קדוש,1
הוא.,1
מיכה,1
שנ',1
ויגש,1
מיכה,1
איש,1
האלהים,1
אל,1
מלך,1
ישראל,1
אמוץ,1
שנ',1
ואיש,1
האלהים,1
בא,1
אליו.,1
וזאת,1
ליהודה,1
ויאמר,1
שמע,1
ה',1
קול,1
יהודה,1
ואין,1
שמע,1
אלא,1
"שמעון,",1
היך,1
דכתיב,1
כי,1
שמע,1
ה',1
כי,1
שנואה,1
אנכי.,1
לפני,1
"מותו,",1
וכי,1
יעלה,1
על,1
דעתך,1
שלאחר,1
מותו,1
"בירכם,",1
אלא,1
סמוך,1
למיתתו.,1
אמר,1
ר',1
אבון,1
את,1
מוצא,1
שכל,1
ימיו,1
של,1
משה,1
היה,1
מבקש,1
לברך,1
את,1
ישראל,1
ולא,1
היה,1
מלאך,1
המות,1
מניחו,1
לברך,1
"אותם,",1
מה,1
"עשה,",1
נטלו,1
וכפתו,1
והניחו,1
תחת,1
כפות,1
רגליו,1
"ובירכם,",1
הדא,1
היא,1
דכתיב,1
וזאת,1
הברכה,1
אשר,1
ברך,1
משה,1
איש,1
האלהים,1
את,1
בני,1
ישראל,1
לפני,1
מותו,1
לפני,1
זה,1
שהוא,1
כפות,1
ומושלך,1
תחת,1
כפות,1
רגליו.,1
ומה,1
"היא,",1
ברכה,1
שבירכם,1
הושיעה,1
את,1
עמך,1
וכו'.,1
לפני,1
מותו,1
למה,1
היו,1
הצדיקים,1
מברכין,1
לפני,1
"מיתתם,",1
ד'לך,0
לאן,0
קד,0
כלת,0
גמיע,0
קואהם,0
אלגסמאנייה,0
עלי,0
מא,0
ביינא,0
פי,0
פרשת,1
ואלה,1
תולדות,1
יצחק.,1
ויאמר,1
ה',1
מסיני,1
"בא,",1
התחיל,1
משה,1
בשבחו,1
שלהק'ב'ה',1
ואחר,1
כך,1
פתח,1
בצרכם,1
"שלישראל,",1
וזאת,1
"ליהודה,",1
וללוי,1
"אמר,",1
וחזר,1
בשבחו,1
שלהק'ב'ה',1
אין,1
כאל,1
ישורון.,1
ויאמר,1
ה',1
מסיני,1
בא,1
אעלם,0
אן,0
למא,0
אראד,0
אללה,0
תכמלנא,0
וחצול,0
אלפיץ',0
עלי,0
ישראל,1
פאסתרסל,0
אלנור,0
קלילא,0
קלילא,0
ללא,0
תפות,0
עקולהם,0
ותטפא,0
אבצארהם,0
מן,0
שדה,0
אלנור,0
אלד'י,0
ליס,0
הם,0
מבאשרין,0
לה,0
פאבתדי,0
אלנור,0
אוולא,0
ימיניהם,0
ושמאלהם,0
והו,0
קולה,0
ה',1
מסיני,1
בא,1
וזרח,1
משעיר,1
למו.,1
ותסלסל,0
ואסתרסל,0
חתי,0
חל,1
עליהם,1
אלד'י,0
הם,0
ריבבות,1
קדש.,1
ותאמל,0
כיף,0
קולה,0
ה',1
מסיני,1
"בא,",1
עבר,0
ענה,0
בא,1
אד',0
הם,0
"פיה,",0
ואלד'י,0
הו,0
אבעד,0
מנה,0
"שעיר,",1
פקאל,0
זרח.,1
ואלד'י,0
הו,0
אבעד,0
מנה,0
הו,0
"פארן,",1
קאל,0
פיה,0
הופיע.,1
ולטעם,1
המדרש,1
ה',1
מסיני,1
בא,1
מלמד,1
כשנתגלה,1
הק'ב'ה',1
ליתן,1
תורה,1
לישראל,1
לא,1
נתנה,1
להם,1
בלשון,1
אחת,1
אלא,1
בארבעה,1
לשונות,1
שנ',1
ה',1
מסיני,1
בא,1
לזה,1
לשון,1
"הקדש,",1
וזרח,1
משעיר,1
למו,1
זה,1
לשון,1
"רומי,",1
הופיע,1
מהר,1
פארן,1
זה,1
לשון,1
ערבי.,1
ואתה,1
מריבבות,1
קדש,1
זה,1
לשון,1
יוני.,1
"ד""א",1
ה',1
מסיני,1
בא.,1
בא,1
לא,1
על,1
ישראל,1
בלבד,1
נגלה,1
אלא,1
אף,1
על,1
האומות.,1
הלך,1
אצל,1
בני,1
עשו,1
אמר,1
להם,1
מקבלין,1
אתם,1
את,1
"התורה,",1
אמרו,1
ומה,1
כתוב,1
בה,1
אמר,1
לא,1
"תרצח,",1
אמרו,1
לו,1
כל,1
עצמו,1
של,1
אותן,1
האנשים,1
לא,1
הבטיחן,1
אביהן,1
אלא,1
על,1
החרב,1
שנ',1
ועל,1
חרבך,1
תחיה,1
היאך,1
אנו,1
יכולין,1
לקבל,1
את,1
התורה,1
ולא,1
רצו,1
לקבל.,1
הלך,1
אצל,1
בני,1
עמון,1
ומואב,1
אמרו,1
לו,1
ומה,1
כתוב,1
בה,1
אמר,1
להם,1
לא,1
"תנאף,",1
אמרו,1
עיקרינו,1
"מזנות,",1
ולא,1
רצו,1
לקבל.,1
הלך,1
אצל,1
בני,1
ישמעאל,1
אמרו,1
לו,1
מה,1
כתוב,1
בה,1
אמר,1
לא,1
תגנוב,1
אמרו,1
אבינו,1
ליסטיס,1
היה,1
וכתיב,1
והוא,1
יהיה,1
פרא,1
אדם,1
וכו',1
ולא,1
הניח,1
הק'ב'ה',1
אומה,1
עד,1
שדפק,1
עליה,1
שנ',1
יודוך,1
ה',1
כל,1
מלכי,1
ארץ,1
כיון,1
שבא,1
אצל,1
ישראל,1
מימינו,1
אש,1
דת,1
למו,1
פתחו,1
כולם,1
פיהן,1
ואמרו,1
כל,1
אשר,1
דבר,1
ה',1
נעשה,1
ונשמע.,1
מימינו,1
אש,1
דת,1
למו,1
מלמד,1
שכשהיה,1
הדבר,1
יוצא,1
מפי,1
הגבורה,1
היה,1
יוצא,1
מימינו,1
של,1
הק'ב'ה',1
לשמאלם.,1
ועוקב,1
את,1
מחנה,1
ישראל,1
שנים,1
עשר,1
מיל,1
על,1
שנים,1
עשר,1
מיל,1
וחוזר,1
ובא,1
מימינם,1
שלישראל,1
לשמאלם,1
שלישראל,1
והק'ב'ה',1
מקבלו,1
