word,is_he
,0
אלמסאלה,0
אלחאדיהֿ,0
עשר.,0
מא,0
מעני,0
קול,0
אלחכמים,0
"ז""ל",1
פי,0
שרח,0
קולה,0
ורגליהם,1
רגל,1
ישרה,1
קאלו,0
מלמד,1
שאין,1
ישיבה,1
למעלה.,1
אלג'ואב.,0
אעלם,0
אן,0
אלחרכה,0
אלפלכיה,0
ליס,0
להא,0
"סכון,",0
לאן,0
ליס,0
הי,0
הרב,0
מן,0
מכ'אלף,0
ולא,0
טלב,0
"מואלף,",0
פהי,0
לא,0
תסכן,0
אבדא.,0
ואיצ'א,0
הי,0
כרייה,0
לד'לך,0
כאנהֿ,0
חרכתהא,0
סרמדיה,0
לא,0
סכון,0
להא.,0
ואיצ'א,0
בחסב,0
אלצורה,0
אלתי,0
להא,0
אלתי,0
ליסת,0
הי,0
כצורהֿ,0
אלאנסאן,0
אלד'י,0
הו,0
מרכב,0
מן,0
מאדה,0
כת'יפה,0
וצורה,0
"שריפה,",0
פבאלתפאתה,0
אלי,0
אלמאדה,0
ינקטע,0
ענה,0
ד'לך,0
"אלאדראך,",0
ווקת,0
מא,0
הו,0
מתג'ה,0
נחו,0
אלצורה,0
פאלוצלה,0
"חאצלה,",0
פאעלמך,0
אן,0
תלך,0
אלוצלה,0
אעני,0
אדראך,0
אלפלך,0
לא,0
ינקטע,0
אבדא,0
אלא,0
חרכה,0
סרמדיה,0
"אבדיה,",0
לאן,0
ליס,0
להא,0
עאיק,0
ימנעהא,0
מן,0
"אלאתצאל,",0
והו,0
מעני,0
שאין,1
ישיבה,1
"למעלה,",1
אמא,0
תסמיתה,0
ללחיות,0
כרובים,1
פמענאה,0
מן,0
ג'ההֿ,0
אדראכהא,0
למא,0
תדרך.,0
