word,is_he
ונקול,0
אן,0
קאל,0
קאיל,0
אד',0
כאן,0
אללה,0
אלאהא,0
לאן,0
אוגד,0
מאלוהא,0
[פכ]אנה,0
כאן,0
לא,0
אלאהא,0
קבל,0
אן,0
אוגד,0
מאלוהא,0
קיל,0
כ[א]ן,0
קד,0
[כאן],0
אלאהא,0
באלקוהֿ,0
ואלקדרהֿ,0
ת'ם,0
צאר,0
אלאהא,0
באלפעל,0
ענד,0
איגאד,0
אלפעל,0
פאן,0
קאל,0
ולאית,0
עלהֿ,0
קלתם,0
אן,0
אללה,0
לם,0
יזל,0
קלנא,0
<לאנה>,0
לא,0
[א]בתדי,0
לה,0
פאנה,0
לא,0
עלהֿ,0
לה,0
פי,0
ד'לך,0
לאנה,0
ג'יר,0
מעלול,0
ואנמא,0
אלעלהֿ,0
ללמחדת',0
<אלד'י,0
לם,0
יכן>,0
ת'ם,0
כאן,0
כמא,0
כאן,0
פאמא,0
אלקדים,0
פלא,0
עלהֿ,0
<לה>,0
פי,0
ד'לך,0
ולא,0
סבב,0
בל,0
הו,0
אלעלהֿ,0
ואלסבב.,0
פאן,0
קאל,0
ולאית,0
עלהֿ,0
לא,0
יזאל,0
קלנא,0
לאנה,0
לא,0
אבתדי,0
לה,0
וליס,0
לה,0
פי,0
ד'לך,0
עדאל,0
ד'אתה,0
ד'את,0
לם,0
תזל,0
ולא,0
תזאל.,0
תמת,0
אלמקאלהֿ,0
אלחאדי,0
עשר.,0
