word,is_he
ת'ם,0
קלת,0
לה,0
אד'א,0
כאן,0
מן,0
והב,0
לך,0
ומן,0
סרק,0
מנך,0
אנמא,0
פעל,0
בך,0
כ'יר,0
או,0
באנפסהמא,0
פלא,0
מעני,0
לקול,0
אלנאס,0
אסא,0
ואחסן,0
וקביח,0
וחסן,0
ואטאע,0
ועצא,0
ולא,0
מעני,0
ללבג'צ'הֿ,0
ואלמחבהֿ,0
פי,0
אלנפס,0
ולא,0
מעני,0
ללעדאוהֿ,0
ואלמואלאהֿ,0
ואד'א,0
כאן,0
לא,0
מעני,0
להא,0
כלהא,0
פלא,0
מעני,0
איצ'א,0
ללצדק,0
ואלכד'ב,0
פי,0
אללפט',0
ולא,0
מעני,0
איצ'א,0
ללחק,0
ואלבאטל,0
פי,0
אלכלאם,0
וקד,0
ינבג'י,0
אן,0
נמדח,0
אלכד'ב,0
כמא,0
נמדח,0
אלחק,0
ונמדח,0
אלבאטל,0
כמא,0
נמדח,0
אלצ[ד]ק,0
פמא,0
אתא,0
פי,0
ד'לך,0
בפרק,0
ולא,0
עלהֿ,0
ולא,0
חגהֿ.,0
