word,is_he
והד'א,0
מא,0
לא,0
אעלם,0
אן,0
אחד,0
[קאל],0
בה,0
לאנה,0
אד'א,0
אקר,0
אחד,0
אן,0
שי,0
מן,0
אלאשיא,0
פי[ה],0
באלקווהֿ,0
פגאיז,0
אן,0
יציר,0
באלפעל,0
וליס,0
מחאל,0
כונה,0
[באל]פעל,0
כאלטפל,0
ימכן,0
אן,0
יציר,0
כאתבא,0
ונגארא,0
ובאניא,0
וד'לך,0
לה,0
פיה,0
באלקווהֿ.,0
וליס,0
מחאל,0
אן,0
יציר,0
[מ]א,0
הו,0
פיה,0
באלקווהֿ,0
אלי,0
אלפעל,0
ולד'לך,0
קיל,0
אנה,0
פיה,0
[באלקווהֿ],0
פאמא,0
מא,0
ליס,0
פיה,0
אלשי,0
באלקווהֿ,0
פהו,0
מח[אל,0
אן,0
יציר,0
וי]כון,0
וט'הור,0
מא,0
ליס,0
פיה,0
מנה,0
כקולנא,0
אן,0
ה[ד'א,0
אלטפל],0
ליס,0
פיה,0
באלקוהֿ,0
אן,0
יכון,0
כתאב,0
ולד'לך,0
[לא,0
נגי]ז,0
א[יגאד],0
אלכתאביהֿ,0
מנה,0
ופי,0
ד'לך,0
בטלא[ן,0
דעוא,0
כל,0
מן],0
אדעא,0
אן,0
אלאעראץ',0
לם,0
תזל,0
באל[קווהֿ,0
ולא],0
תזל,0
באקיהֿ,0
באלקווהֿ.,0
