word,is_he
ואן,0
קאל,0
אן,0
אלגוהרין,0
מתפקין,0
פי,0
חד,0
אלגוהר,0
כאן,0
מת'ל,0
אלקאיל,0
אן,0
אלנארין,0
מתפקין,0
פי,0
חד,0
אלנאר,0
ת'ם,0
יקאל,0
לה,0
פאן,0
כאן,0
אלגוהר,0
אלחדית',0
מואפק,0
ללגוהר,0
אלקדים,0
פי,0
אנה,0
גוהר,0
אעני,0
פי,0
חד,0
אלגוהר,0
יגוז,0
אן,0
יכון,0
אחדהמא,0
קדים,0
לם,0
יזל,0
ואלאכ'ר,0
חדית',0
לם,0
יכון,0
והמא,0
מתפקין,0
פי,0
אלחד,0
אעני,0
פי,0
חד,0
אלגוהר,0
והל,0
בין,0
הד'א,0
אלקול,0
פרק,0
ובין,0
מן,0
זעם,0
אן,0
נאר,0
קדימהֿ,0
לם,0
תזל,0
ונאר,0
חדית'הֿ,0
לם,0
תכון,0
והמא,0
מתפקאן,0
פי,0
חד,0
אלנאר,0
או,0
בין,0
מן,0
זעם,0
אן,0
אנסאן,0
קדים,0
לם,0
יזל,0
ואכ'ר,0
חדית',0
לם,0
יכון,0
והמא,0
מתפקין,0
פי,0
חד,0
אלאנסאניהֿ.,0
