word,is_he
ודליל,0
אכ'ר,0
עלי,0
אן,0
פאעל,0
אלעאלם,0
ואחד,0
נקול,0
אנה,0
למא,0
כאן,0
כל,0
מא,0
פי,0
אלעאלם,0
בעץ',0
בעצ'א,0
בעצ'א,0
ולא,0
ת'באת,0
לכליתה,0
אלא,0
בת'באת,0
כל,0
בעץ',0
פיה,0
אעני,0
אנה,0
לא,0
ת'באת,0
לארצ'ה,0
אלא,0
במאה,0
ולא,0
ל[מ]אה,0
אלא,0
בהואה,0
ולא,0
להואה,0
אלא,0
בסמאה,0
ולא,0
ת'באת,0
נבא[ת]ה,0
אלא,0
בהד'ה,0
ולא,0
לחיואנה,0
אלא,0
בנבאתה,0
כאלאנסאן,0
אלד'י,0
לא,0
ת'באת,0
לעט'מה,0
אלא,0
בלחמה,0
ולא,0
ללחמה,0
אלא,0
בעט'מה,0
ולא,0
ת'באת,0
לראסה,0
אלא,0
בקלבה,0
ולא,0
ג'יר,0
ד'לך,0
מן,0
אגזאה,0
אלא,0
בעצ'הא,0
בבעץ',0
כאן,0
ד'לך,0
דלילא,0
עלי,0
כ'אלקה,0
ופאעלה.,0
