word,is_he
יתלוהא,0
מסכת,1
מעשר,1
ראשון,1
קאל,0
אלמפסר,0
ארא,0
אן,0
אקדם,0
מקדמאת,0
קבל,0
תפסיר,0
שייא,0
מן,0
אלפאץ',0
הד'ה,0
אלמסכה,0
והו,0
אלתרתיב,0
לאכ'ראג,0
חקוק,0
אללה,0
מן,0
אלחבוב,0
ואקול,0
אעלם,0
עלמך,0
אללה,0
תע',0
אן,0
אלאוול,0
מן,0
אלחקוק,0
אלבכורים.,0
כקו'ל,0
בכורי,1
כל,1
אשר,1
בארצם.,1
פאלד'י,0
יגב,0
אכ'ראג,0
אלבכורים,0
מנה,0
סבעה,0
אנואע,0
אלמקוו'לה,0
פי,0
ארץ,1
חטה,1
ושעורה.,1
מנהא,0
נועין,0
יגב,1
יגב,0
עלי',0
אלצבור,0
אחצ'ארה,0
מן,0
שעיר,0
וחנטה.,0
אמא,0
מן,0
שעיר,0
פהו,0
עומר,1
בפסח,1
כקול',0
והבאתם,1
את,1
עומר,1
ראשית,1
וגו'.,1
ואלת'אני,0
מן,0
אלחנטה,0
ליעמל,0
מנה,0
שתי,1
הלחם,1
כקו'ל,0
ממושבותיכם,1
תביאו,1
לחם,1
וגו'.,1
ואלבאקי,0
יגב,0
עלי',0
כל,0
ואחד,0
מן,0
אלאצנאף,0
בד'אתה,0
אד'א,0
תבכר,0
כקולהם,0
כיצד,1
מפרישין,1
בכורים,1
וכו'.,1
ובעד,0
ד'אלך,0
אי,0
אנסאן,0
חצד,0
צ'יעתה,0
פאליבק,0
מנה,0
ט'רה,0
והי,0
אלפיאה,0
אלתי,0
קיל,0
פיהא,0
את,1
פאת,1
שדך,1
לא,1
תכלה.,1
פאד'א,0
חצדו,0
אלזרע,0
אלי',0
אלגורנות,0
צאר,0
אסמה,0
טבל,1
חתי',0
יכ'רג,0
מנה,0
חקוק,0
אלכהנים,0
ואללויים.,0
פאלאוול,0
ד'אלך,0
תרומה,1
לאלכהנים.,0
והי,0
גז,0
מן,0
כ'מסין,0
ג'ז.,0
וד'אלך,0
תסמי',0
תרומה,1
גדולה.,1
הד'ה,0
אלחקוק,0
אלדאימה,0
פי,0
כל,0
סנה,0
סוי',0
אלשביעית,0
ואליובל.,0
ואמא,0
אלמעשרות,0
פמכ'תלפה,0
וד'אלך,0
אנהא,0
מעשר,1
ראשון,1
ומעשר,1
שני,1
ומעשר,1
עני.,1
ואת'נין,0
מנהם,0
יכ'תלפא,0
עלי',0
מא,0
נשרח.,0
וד'אלך,0
אן,0
פי,0
אוול,0
סנה,0
מן,0
אלאסבוע,0
יגב,0
אן,0
יכ'רג,0
לאלוים,0
ע'ש'ר,0
והו,0
גז,0
מן,0
עשרה.,0
כקו'ל,0
עז,0
וגל,0
ולבני,1
לוי,1
הנה,1
נתתי,1
את,1
כל,1
מעשר,1
בישראל.,1
פאן,0
כאן,0
חב,0
מוצ'וע,0
קד,0
אכ'רג,0
מנה,0
תרומה,1
גדולה,1
ולם,0
יעלם,0
הל,0
אכ'רג,0
מנה,0
מעשרות,1
אם,1
"לא,",1
פהו,0
יסמי,0
דמאי,1
פואגב,0
אן,0
יעשר.,1
וע'שרה,0
יסמא,0
תרומה,1
שלדמאי,1
והו,0
גז,0
מן,0
ק',1
עלי',0
מא,0
קדמנא,0
פי,0
תרומות,1
פאן,0
אכ'רג,0
מנה,0
תרומה,1
ולם,0
יכ'רג,0
מנה,0
מעשר,1
אצלא,0
פהו,0
י'סמא,0
ודאי,1
כקו'ל,0
פי,0
שבת,1
אין,1
מעשרין,1
את,1
הודאי.,1
פאמי',0
פי,0
אלסנה,0
אלב',0
מן,0
אלאסבוע,0
ואלסנה,0
אלאולי',0
איצ'א,0
פי'כ'רג,0
מן,0
ק',1
י',1
ידפע,0
אלי',0
בני,1
לוי,1
דאימא,0
פי,0
כ'ל,0
אלסנין,0
אלא,0
אלסנה,0
אלז',0
ויכ'רג,0
מן,0
"אלצ""ט",0
פי,0
אלסנה,0
אלאולי,0
ואלב',0
מעשר,1
שני,1
יחמל,0
אלי',0
מדינה,0
אלסלאם,0
ינפק,0
פי,0
אלחג,0
כקו'ל,0
עכשר,1
תעשר,1
ואכלת,1
לפני,1
ייי,1
אלה'.,1
ואלסנה,0
אלג',0
פי'פראק,0
עלי',0
אלמסאכין,0
באלבלאדאן,0
כקו'ל,0
מקצה,1
שלש,1
שנים,1
תוציא,1
את,1
כל,1
מעשר,1
תבואתך.,1
ויכון,0
נפקה,0
פי,0
אלחג,0
פי,0
תלך,0
אלסנה,0
מן,0
אלחאצלה.,0
וחכם,0
אלסנה,0
אלד',0
ואלהֿ,0
כאלאולי',0
ואלב',0
ואלסאדסה,0
כאלג',0
ואלסאבעה,0
לא,0
דכ'ל,0
לאחד,0
בהא.,0
והד'א,0
תפסיר,0
אלאלפאץ',0
הבאושים.,1
שהאלוג.,0
משימסו.,1
מן,0
חין,0
ירכ'י',0
פיחבס,0
אלמא.,0
משיטילו,1
שאור.,1
מנד',0
יבדי,0
ידכ'לה,0
אלמיאה,0
כעאדהֿ,0
אלתמר,0
יבדא,0
מן,0
ת'ם,0
ויתלוון.,0
וקיל,0
מנד',0
יכ'תמר,0
ויריד,0
בה,0
אן,0
אלתמר,0
אד'א,0
נצ'ג,0
יסתרכ'י,0
יריד,0
חיניד',0
ישבה,0
אלכ'מיר,0
יסתרכ'י,0
וינתפך'.,0
משיקרחו.,1
ינגרחו,0
מן,0
אלזג'ב.,0
משיפקס.,1
יסקט,0
אלזג'ב,0
אלד'י,0
עליה,0
מן,0
קו'ל,0
פי,0
שבת,1
משנטל,1
הפקס,1
שלהם.,1
אבטיח,1
משישליק.,1
אלבטיך',0
אד'א,0
אצפר,0
וצאר,0
כלון,0
אלשי,0
אלמסלוק.,0
פקד,0
טאב,0
ולזמה,0
אלמעשר.,0
עראי.,1
גאיז,0
אן,0
יאכל,0
מנהא,0
קבל,0
אן,0
יכ'רג,0
מנהא,0
שי,0
מן,0
ואגבאת,0
אלמעשר.,0
הפרד.,1
חב,0
אלר'מאן,0
אלמנשוף.,0
ילזמה,0
אלמעשר,0
מן,0
וקת,0
וקים,0
ערימה,1
וידרס.,1
הבצל,1
משיפקל.,1
אלבצל,0
מן,0
וקת,0
יחוי,0
קשר.,0
וקיל,0
יפצל,0
אלאצול.,0
משימרחו,1
כולם.,1
הקוטעים.,1
מן,0
אלמכאן,0
אלמנקטע.,0
משיקפה.,1
ירגי.,0
לעוקה.,1
חפרהֿ,0
אלזית.,0
קולט,1
מן,1
הצנור.,1
יקלע,0
מן,0
מיזאב,0
אלמעצרה.,0
העקל.,1
אלצ'רף,0
אלד'י,0
יגעל,0
פיה,0
אלזיתון,0
אלמדקוק,0
וי'עצר.,0
והי,0
קפף,0
מדוורה.,0
הממל.,1
י'קאל,0
אלערסייה.,0
ומבין,1
הפצים.,1
מן,0
בין,0
חגרי,0
אלמטחן.,0
תמחוי.,1
אלמכפייה,0
אלד'י,0
תנטבק,0
ואחד,0
עלי',0
אלאכ'ר.,0
העיגול,1
משיחליקם.,1
קאולב,0
אלתין,0
מן,0
חין,0
ימלס'ה,0
וי'תמם,0
תדוירה.,0
הרוכלים.,1
אלעטארין,0
אלד'ין,0
ידורון,0
עלי',0
אלמנאזל.,0
סופת,1
ואוכל.,1
יחסי,0
לאן,0
הכד'א,0
יוכל,0
אלב'טיך'.,0
לקצות.,1
יטבק,0
אלתין,0
אליאבס,0
מת'ל,0
לקצוע,1
קציעה,1
תטביק,0
אלתין,0
והו,0
כבסה,0
אד'א,0
כבס,0
בעצ'ה,0
מע,0
בעץ'.,0
הבלסים.,1
תין,0
דני,0
יערף,0
באלבלס.,0
אם,1
צירף.,1
אן,0
אכ'לט.,0
יקרטם.,1
יקטף,0
והו,0
יקטע,0
ורקה,0
ורקה,0
ויאכ'ל.,0
חצר,1
הצורית.,1
דרק,0
לטיפה,0
מסתכ'רג,0
מן,0
צור.,1
ומת'לה,0
סולם,1
הצורית.,1
אכסדרה,1
מגובהֿ,0
מגארי.,0
מרפסת.,1
קאעה,0
מפתוחה,0
פי,0
אלעלו,0
אליה,0
עדהֿ,0
ביות,0
וגמיע,0
אלי',0
אמכאן,0
ימשון,0
פיהא,0
ויסתכ'דמון,0
אלקאעה.,0
סוכת,1
גניסר.,1
מוצ'ע,0
מערוף,0
פי,0
אלשאם,0
פיה,0
זיתון,0
וכרום.,0
הצריפין.,1
אלכ'וץ.,0
והאלקטיות.,1
ביות,0
תעמל,0
פי,0
אלציף,0
מן,0
תרג',0
וקור,1
וחום,1
וקיץ,1
וחורף.,1
וקיטא,1
וסתוא.,1
מגרגר,1
ואוכל.,1
יכ'צל.,0
סופת,1
ואוכל,1
באבטיח.,1
יוסף,0
מן,0
שאן,0
אלבטיך',0
יוכל,0
בקשר'ה.,0
מקרטם.,1
יקטע.,0
המנמר.,1
אלד'י,0
ידפן,0
פי,0
אלארץ',0
יעני,0
אלזיתון,0
ליטיב,0
ויאכ'לה,0
פטור,1
מן,1
המעשר.,1
המטבל.,1
אלד'י,0
יג'מס,0
אלזיתון,0
פי,0
אלמלח,0
ויאכלה,0
פי,0
אלצחרי',0
פטור,1
מן,1
המעשר.,1
ד'אלך,0
קבל,0
חמ'לה,0
אלי',0
אלדאר.,0
השרף.,1
אלצמג'.,0
המקפה,1
לתבשיל.,1
אלד'י,0
יוצפי,0
מן,0
אלמעצרה,0
שי,0
מן,0
אלענב,0
ליטבך',0
ב'ה,0
קבל,0
אן,0
יזול,0
טעמ'ה.,0
המעטן,0
אלד'י,0
ילין,0
ב'ה,0
אלזיתון,0
ליסיל,0
דהנ'ה,0
ואשתק'ה,0
צאחב,0
אלערוך,0
"ז""ל",1
מן,1
עטיניו,1
מלאו,1
חלב.,1
זירין.,1
אכאליל.,0
מן,1
זר,1
זהב.,1
וכד'אלך,0
סביל,0
אלשבת,0
אן,0
יעמל.,0
תמרות,1
של,1
תלתן.,1
נואר,0
אלחלבה,0
צורתה,0
קבל,0
אן,0
יצ'הר,0
מת'ל,0
אלתמרה.,0
על,1
הקוטעים,1
ועל,1
הצדדים.,1
מן,0
מוצ'ע,0
אלמקטוע,0
ומן,0
אלגואנב.,0
וקיל,0
הקוטעים,1
אלקרסד.,0
התמד.,1
אלד'י,0
יצב,0
אלמא,0
עלי',0
אלד'רדי.,0
שום,1
בעל,1
בכי.,1
ת'ום,0
יבכי,0
מן,0
יאכל'ה,0
יעני,0
פח.,0
שלרכפה.,1
בצל,0
יחרק,0
מן,0
יאכלה,0
חתי,0
תדמע,0
עינה.,0
תרג',0
חשרת,1
מים.,1
מרכפת,1
דמיין.,1
הגריסין.,1
אלפול,0
אלמפלק.,0
לוף,1
יערף,0
בהד'א,0
אלאסם.,0
קאל,0
צאחב,0
אלשריאע,0
"ז""ל",1
יגב,0
אכ'ראג,0
עשר,0
אלמטעמאת,0
מנהא,0
אלתי,0
הי,0
נוע,0
אלת'מר,0
פי,0
נהאיהֿ,0
בלוג'הא.,0
פאמא,0
אן,0
כאנת,0
אלת'מרה,0
מפצלה,0
פי,0
אבתדאיהא,0
ופי,0
נהאיתהא,0
פילזם,0
תעשירהא,0
מתא,0
אגתנת,0
פי,0
אלחאלין.,0
פאמא,0
באקי,0
אלג'לאת,0
מן,0
אלחבוב,0
פענד,0
נהאיתהא,0
לא,0
קבל,0
ד'אלך,0
לקולהם,0
ועוד,1
כלל,1
אחר,1
אמ',1
כל,1
שתחלתו,1
אוכל,1
וסופו,1
אוכל,1
חייב,1
קטן,1
וגדול.,1
וכל,1
שאין,1
תחלתו,1
אוכל,1
אבל,1
סופו,1
אוכל,1
אינו,1
חייב,1
עד,1
שיעשה,1
אוכל.,1
ואלנבאת,0
מן,0
אלג'לאת,0
פי,0
צדח,0
לא,0
ע'ש'ר,0
עליה,0
לקולהם,0
הגגות,1
פטורים,1
"ואע""פ",1
שהו,1
שלחצר,1
החייבת.,1
ואלאעשאר,0
פאנהא,0
תגב,0
פי,0
ארץ,1
ישראל,1
לא,0
ג'ירהא.,0
פאן,0
כאן,0
אצל,0
אלשגרה,0
פי,0
ארץ,1
יש',1
ואג'צאנהא,0
מאילה,0
אלי',0
כ'ארג,0
פיגב,0
אכ'ראג,0
ע'ש'ר,0
ת'מרהא.,0
פאמא,0
אן,0
כאן,0
אלאצל,0
כ'ארג,0
ארץ,1
יש',1
ואלאג'צאן,0
אלחאמלה,0
לאלת'מר,0
דאכ'ל,0
אלחד,0
לא,0
יגב,0
אכ'ראג,0
עשר,0
ת'מרהא,0
לקול,0
עומדת,1
בארץ,1
ונופה,1
נוטה,1
לארץ,1
הכל,1
הולך,1
אחר,1
העיקר.,1
ואמא,0
קול,0
פי,0
אכ'ר,0
אלהל',0
ופי,0
ירוש',1
הכל,1
הולך,1
אחר,1
הנוף,1
הו,0
אן,0
אלקדשים,0
לא,0
יגוז,0
אן,0
תוכל,0
כ'ארג,0
אלמדינה.,0
פאן,0
כאן,0
שגרה,0
לזק,0
אלחומה,0
פי,0
ירושלם,1
ותעלק,0
בהא,0
אנסאן,0
ואכל,1
קדשים.,1
וכאן,0
תעלקה,0
באג'צאנהא,0
והי,0
מאילה,0
אלי',0
אלמדינה,0
פלא,0
גנח,0
עליה.,0
ואן,0
כאן,0
בצ'ד,0
ד'אלך,0
פקד,0
אכ'טא.,0
ובערי,1
מקלט,1
הכל,1
הולך,1
אחר,1
העיקר.,1
ומן,0
קתל,0
אנסאן,0
סהוא,0
והרב,0
אלי',0
מקלט,1
וכאן,0
פי,0
אלחד,0
שגרה,0
ותעלק,0
בהא.,0
וקתלה,0
ולי,0
אלדם.,0
פאן,0
כאן,0
אצלהא,0
פי,0
ערי,1
מקלט,1
פלא,0
תבל.,0
ואן,0
כאן,0
בצ'ד,0
ד'אלך,0
פלא,0
תבל,0
לה.,0
סליקא,0
מסכתא.,0
