word,is_he
יק,0
פרקא.,0
פרק,0
שנים,0
עשר,0
הבונה,1
כמה,1
יבנה.,1
המסתת.,1
ינחת,0
אלחגאר,0
או,0
יקשהא.,0
בפטיש.,1
פנטאס,0
אלד'י,0
יכסר,0
פיה,0
אלחגאר,0
והו,0
אלמעול.,0
במעצד.,1
אלקרנאס,0
והו,0
מעול,0
לטיף.,0
הקודח.,1
יתקב.,0
בקורנס.,1
מטרקה.,0
על,1
הסדן.,1
ז'ברה.,0
המנכש.,1
אלד'י,0
יחפר,0
אלארץ'.,0
המקרסם.,1
יקצ'ב,0
והו,0
אלד'י,0
יקטע,0
אלוקק,0
ואלקצ'באן,0
ויתרך,0
אלאצל.,0
המזרד.,1
אלד'י,0
ינקי,0
אלשוך,0
וקצ'באן,0
אלעשב,0
מן,0
אלזרע.,0
לתקן.,1
אן,0
כאן,0
ג'רצ'ה,0
יצלח,0
אלחקל,0
בתנקיהֿ,0
אלעשב,0
ובתקשיש,0
אלחטב,0
פלו,0
גמע,0
ישיר,0
חייב.,1
שתי,1
אותות,1
בין,1
משם,1
אחד.,1
חרפין,0
בצורה,0
ואחדה,0
ות'קרא,0
מת'ל,0
קולך,0
חח,1
"ונזם,",1
רר,1
"בשרו,",1
תת,1
"לפניך,",1
גג.,1
בין,1
משני,1
שמות.,1
אב.,1
גב,1
זע.,1
רב.,1
צורת,0
אלחרפין,0
ותקרא.,0
כתב,1
במשקין.,1
מת'ל,0
אלמא,0
ואלעסל,0
ואללבן.,0
במי,1
פירות.,1
מא,0
אלר'מאן,0
ואלת'פאח,0
וג'ירהם.,0
כתב,1
אות,1
אחת,1
סמוך,1
לכתב.,1
כאנה,0
וגד,0
נ',1
פכתאב,0
קדאמה,0
ח',1
פצאר,0
אלגמיע,0
נח.,1
כתב,1
על,1
גבי,1
כתב.,1
וגד,0
חרפין,0
מכתובין,0
פכתב,0
פוק,0
אלכתאב,0
כתב,0
עלי',0
אלמכתוב.,0
סמיונות.,1
עלאמאת,0
צורתין,0
ליס,0
הי,0
אחרף,0
ת'קרא.,0
בדיו,1
חבר.,1
בן,0
זוגו,0
(?),0
טרידה.,0
בסקרא.,1
מג'רה.,0
סם.,1
אלעאקיר,0
וקיל,0
אלצמג'.,0
בקומוס.,1
אלזאג.,0
ואמא,0
קלקנת,0
בקלקנתוס,1
פסרה,0
אלתלמוד,0
אלאשראס,0
וקיל,0
אלצמג',0
לאלאסכאפה,0
וקיל,0
אלזאג.,0
לוחי,1
פינקס.,1
אללוחין,0
אלד'י,0
יכתב,0
פיהמא,0
אלחסאב,0
מת'ל,0
הד'ה,0
אלתי,0
תעמל,0
פי,0
זמאננא,0
אבנוס.,1
ואין,1
נהגין,1
זה,1
עם,1
זה.,1
וליס,0
ת'קרא,0
הד'ה,0
מע,0
הד'ה.,0
אעני,0
ליס,0
המא,0
מתחאד'יין,0
ממא,0
לו,0
תקארבא,0
לק'ריא,0
בל,0
אלחרף,0
אלואחד,0
פי,0
אלחאיט,0
אלואחד,0
מכתוב,0
פוק,0
ואלחרף,0
אלת'אני,0
פי,0
אלחאיט,0
אלת'אני,0
מכתוב,0
אספל,0
פלו,0
תקרארבא,0
אלחרפין,0
גא,0
אחדהם,0
פוק,0
אלאכ'ר,0
פלם,0
יקרו,0
פי,0
וקת,0
ואחד,0
אד',0
ליס,0
ה'ם,0
מתחאד'יין,0
פי,0
סטר.,0
המסרט.,1
יכ'דש.,0
באבק,1
דרכים.,1
ג'באר,0
אלט'ר'ק,0
מן,0
יכתב,0
בה.,0
וקאל,0
אלגאון,0
"ז""ל",1
מן,0
יכתב,0
פיה,0
חייב.,1
באבק,1
ספרים.,1
אלג'באר,0
אלד'י,0
יתרבו,0
בה,0
אלכתאב.,0
וקאל,0
אלגאון,0
"ז""ל",1
אד'א,0
דק,0
אלכתאב,0
חואיג,0
אלחבר,0
וטאר,0
אלג'באר,0
עלי',0
אלארץ',0
וצוור,0
פיה,0
כתבה,0
באצבעה.,0
בקורה.,1
ראכבהֿ,0
אלסקף.,0
נוטריקון,1
רמז.,1
כלמה,0
יכון,0
כל,0
חרף,0
מנהא,0
אבתדא,0
כלמה,0
פתכון,0
במנזלהֿ,0
סימן.,1
כקולה,0
אברהם,1
אב,1
המון.,1
אנכי.,1
אנא,1
נפשי,1
כתבית,1
יהבית.,1
נמרצת.,1
נואף,1
מואבי,1
רוצח,1
צרוע,1
תועבה.,1
נצטדק.,1
נבונים,1
צדיקים,1
טהורים,1
דיינים,1
קדושים.,1
ואמא,0
גימטריא,1
קרוב,1
לזה.,1
כגון,1
שכותבין,1
מנין,1
כותבין,1
א',1
מקום,1
אחד.,1
י',1
מקום,1
עשרה.,1
ק',1
מקום,1
מאה.,1
סליק,1
פרקא.,1
