word,is_he
תה,0
צודה,0
נפשי,0
לקחתה.,0
פרק,0
שני,0
פרקא,1
תניינא,1
ומשקלקלו,1
המינים.,1
מנד',0
אלחדו,0
אלכפאר,0
וקאלו,0
אנהם,0
כ'דעו,0
אלרסול,0
ווהבו,0
לה,0
דראהם,0
ושהד,0
בג'יר,0
אלצחיח.,0
משיאין,1
משואות.,1
ישעל,0
אשעאלאת.,0
כלונסות.,1
כ'שב.,0
ארז.,1
טואל.,0
ונעורת,1
שלפשתן.,1
ומשאקת,0
אלכתאן.,0
וכורך,1
במשיחה.,1
ילוי,0
עליה,0
כ'יט,0
קרמז.,0
כמדורת,1
האש.,1
מת'ל,0
שעלת,0
אלנאר.,0
ד'כר,0
ר',1
סעדיה,1
"ז""ל",1
אן,0
אלעלה,0
פי,0
נצ'ר,0
אלהלאל,0
פי,0
זמאן,0
אלק'דמא,0
כמא,0
פי,0
הד'ה,0
אלמסכה,0
ואלחאגה,0
אלד'י,0
אחוגתהם,0
אלי',0
בעת',0
אלר'ס'ל,0
ליכ'ברו,0
הו,0
קיאס,0
צדוק,1
וביתוס,1
ותלאמד'תהם,0
פי,0
בית,1
שני,1
וכאנו,0
יעארצ'ו,0
אלרבאניין,0
פי,0
חסאב,0
אלעבור,0
ויקולו,0
אלעיד,0
עלי',0
אלנצ'ר,0
לא,0
עלי',0
אלחסאב,0
פאראדו,0
"רז""ל",1
יוצ'חו,0
להם,0
אן,0
חסאבהם,0
יואפק,0
אלנצ'ר,0
פארסלו,0
אלר'ס'ל,0
וענד,0
וצולהם,0
באלשהאדה,0
עלי',0
נצ'ר,0
אלהלאל,0
יקולו,0
אלרבאניין,0
צח,0
אלחסאב,0
כקו'ל,0
וכל,1
העם,1
אומ',1
מקודש,1
מקודש,1
פלם,0
יזאלו,0
עלי',0
ד'אלך,0
חתי',0
אנטחד'ת,0
חגהֿ,0
אלצדוקייה,0
וזאלת,0
ורגעו,0
אלקום,0
אלי',0
אלעמל,0
באלחסאב,0
וקטעו,0
אלעמל,0
באלנצ'ר.,0
בזמנו.,1
לילהֿ,0
ל'.,0
ובלילי,1
עבורו.,1
לילהֿ,0
"ל""א.",1
ולד'אלך,0
עגב,0
ר',1
דוסא,1
בן,1
הרכינס,1
וקאל,0
כיף,0
ישהדו,0
עלי',0
אמראה,0
אנהא,0
ולדת,0
ונגדהא,0
פי,0
בטנהא,0
חאמל.,0
נטל,1
מקלו,1
ומעותיו,1
בידו.,1
אכ'ד',0
עצאה,0
ודראהמה,0
בידה,0
לחתי',0
לא,0
יעתקד,0
אן,0
ום,0
יום,1
קודש.,1
פרק,0
שלישי,0
פרקא,1
תליתאה.,1
הרי,1
זה,1
מעובר.,1
יעני,0
יעיידו,0
