word,is_he
.,0
סליק,0
מסכתא.,0
מסכת,1
נדרים,1
מסכת,1
נדרים,1
כאימרא.,1
מת'ל,0
כבש,1
אלתמיד.,0
כדירים,1
כדיר,1
שלבהמות.,1
ופי,0
ד'אלך,0
פי',0
צאחב,0
אלערו',0
"ז""ל",1
כאימרא,1
ככבש,1
שלתמיד.,1
כדירים,1
שלבהמות,1
הקרבן.,1
בעצים,1
כעצי,1
המערכה.,1
פותחין,1
לו,1
פתח,1
ממקום,1
אחר.,1
יעני,0
יחלו,0
נד'רה,0
מן,0
מוצ'ע,0
אכ'ר.,0
שלא,1
יקל,1
ראשו.,1
לא,0
יעתאד.,0
הרי,1
עלי,1
כבשר,1
מליח,1
יעני,1
זבחי,1
שלמים.,1
הרי,1
עלי,1
כחרם,1
אם,1
כחרם,1
שלשמים,1
נדר,1
אסור,1
ואם,1
שלכהנים,1
מותר,1
ואם,1
סתם,1
אסור,1
אעלם,0
אן,0
אלחרם,0
ינקסם,0
עלי',0
ת'לאת'ה,0
אקסאם,0
מנה,0
צאפיה,0
כקו'ל,0
כל,1
חרם,1
בישראל,1
לך,1
יהיה,1
ומא,0
תלף,0
לא,0
יפתדא,0
והוא,0
מן,0
וגב,0
עליה,0
מיתת,1
בית,1
דין,1
כקו'ל,0
כל,1
חרם,1
אשר,1
יחרם,1
האדם,1
לא,1
יפדה,1
מות,1
יומת.,1
וחרם,1
סתם,1
הו,0
יגב,0
לאלכהנים.,0
כתרומה,1
וחרם,1
לשמים,1
או,1
לבדק,1
הבית,1
הרי,1
הוא,1
הקדש,1
וליס,0
לאלכהנים.,0
חרמו,1
שלים,1
שבכהֿ,0
אלבחר.,0
נדרי,1
זירוזין.,1
אלתחפץ',0
ואלאחתפאל.,0
הבאי.,1
אלמבאלג'ה.,0
לפרש.,1
יסבח.,0
ומרפאהו,1
רפואת,1
נפש.,1
יט'ב,0
נפסה,0
אבל,1
לא,1
רפואת,1
ממון.,1
ולא,0
יטב,0
מאלה,0
מת'ל,0
בהאימה.,0
באמבטי,1
גדולה.,1
חוץ',0
חמאם,0
כביר.,0
חוכך,1
בה,1
להחמיר.,1
יסתקצ'י,0
בהד'א,0
לאלתת'קיל.,0
תפושת,1
יד,1
מלך.,1
בביצת,0
טרמיטה.,0
קיל,0
ביצ'ה,0
סלקת,0
אלף,0
מדה,0
וקיל,0
נמרשת.,1
ובדלעת,1
הרמוצה.,1
אלקרע,0
אלמ'ר,0
אלד'י,0
יחתאג,0
אן,0
ירמץ',0
באלנאר.,0
המוריס,1
אלמרי.,0
טרית,1
טרופה,1
חות,0
מצ'רוב.,0
בקוס,1
באללבא.,0
ובקופה,1
אלאכ'לאט,0
אלד'י,0
תכון,0
בין,0
אללחם.,0
מסתוניות,1
תין,0
חאמץ',0
שתוי.,0
כל,1
ששם,1
תולדתו,1
כ'ל,0
מא,0
כאן,0
אסם,0
פרע'ה.,0
הכרישים,1
אלכראת',0
אלשאמי.,0
שם,1
לווי,1
אסם,0
מצ'אף,0
אליה.,0
הכרוב,1
אלכלם.,0
האספרגס,1
מא,0
אלסלק.,0
במקפה,1
מרק,0
אלפיסאר,0
והו,0
נוע,0
מן,0
אלגריסים.,0
באשישים,1
קאל,0
צאחב,0
אלמפתאח,0
"ז""ל",1
פי,0
תפסירה,0
לוקחין,1
עדשים,1
וקולין,1
אותם,1
וטוחנין,1
אותם,1
ומטגנין,1
להם,1
בדובשא,1
ונקרין,1
אשישים.,1
ובחמילה,1
אלכ'מלה.,0
באניצי,1
פשתן,1
קטע,0
מן,0
כתאן,0
ג'יר,0
מנפוץ'.,0
טען,1
והזיע,1
חמל,0
וערק.,0
בדרגש,1
סריר,0
לטיף.,0
בחילופיהם,1
מא,0
אכ'לפת.,0
בדבר,1
שזרעו,1
כלה,1
מת'ל,0
אלחבוב,0
לאנהא,0
אן,0
זרעת,0
וחצדת,0
לא,0
תכ'לף,0
מת'ל,0
אלשעיר,0
ואלבר.,0
ודבר,1
שאין,1
זרעו,1
כולה,1
מת'ל,0
אלת'ום,0
ואלבצל,0
לאנ'ה,0
אן,0
זרע,0
יבקא,0
אצלה,0
פי,0
אלארץ',0
ויכ'לף.,0
עד,1
שיכפלו,1
המקצועות,1
אלי',0
אן,0
יצ'אעפו,0
אלתין,0
אלמכבוס.,0
האומרת,1
טמאה,1
אני,1
לך,1
אי,0
קד,0
וצלת,0
אלי',0
ג'ירך,0
כאלמגאמעה.,0
ושמים,1
ביני,1
לבינך,1
תדעי,0
עליה,0
בדעוי,0
בינה,0
ובינהא,0
לא,0
יעלמה,0
אלא,0
רב,0
אלסמא,0
והו,0
אן,0
תקול,0
לה,0
ליס,0
הו,0
יוצל,0
אלמני,0
אלי',0
מוצ'ע,0
אלולד,0
ופיה,0
יקולו,0
פי,0
אלתלמוד,0
כל,1
שאינו,1
יורה,1
כחץ.,1
ונטולה,1
אני,1
מן,1
היהודים,1
אי,0
קד,0
חלפת,0
לא,0
יטאהא,0
אחד,0
מן,0
רק,0
ראשון,0
מסכת,1
גטים,1
