word,is_he
א.,0
פרק,0
רביעי,0
השולח,1
גט,1
לאשתו,1
והגיע,1
בשליח,1
או,1
ששלח,1
אחריו,1
שליח,1
ואמר,1
לו,1
גט,1
ששלחתי,1
לך,1
בטל.,1
הרי,1
זה,1
בטל,1
קאל,0
אלתל',0
אם,1
אמר,1
פסול,1
לא,1
אמר,1
כלום,1
שר',1
אליעזר,1
אומר,1
פסול,1
כל,1
שיהיה,1
מזויף,1
מתוכו,1
ואם,1
אמר,1
בטל,1
דבריו,1
קיימין.,1
והעידים,1
חותמין,1
על,1
הגט,1
מפני,1
תקון,1
העולם,1
שאם,1
הלכו,1
העדים,1
למדינת,1
הים,1
או,1
שמתו,1
נשתיירו,1
חותמותיהן,1
ראיה.,1
הפתיקי,1
וקף.,0
שורת,1
הדין,1
מן,0
מוגב,0
אלחק.,0
המוכר,1
את,1
עבדו,1
לגוים,1
או,1
לחוצה,1
לארץ,1
יצא,1
בן,1
חורין.,1
פ',1
מפני,1
שאמרו,1
חכמים,1
חייב,1
אדם,1
תחלה,1
לגלגל,1
עם,1
עבדו,1
"י""ב",1
חדש,1
אם,1
קבל,1
עליו,1
להתגייר,1
מוטב,1
וכרו.,0
סליק,0
פירקא.,0
פרק,0
חמישי,0
