word,is_he
רבן,1
יוחנן,1
בן,1
זכאי,1
קבל,1
מהלל,1
ומשמאי.,1
הוא,1
היה,1
"אומר,",1
אם,1
למדת,1
תורה,1
"הרבה,",1
אל,1
תחזיק,1
טובה,1
"לעצמך,",1
כי,1
לכך,1
נוצרת,1
האד'א,0
אלאוסתאד',0
רבן,1
יוחנן,1
בן,1
זכאי,1
מא,0
כ'לא,0
מן,0
עלום,0
שי,0
אלא,0
וחאזהו,0
מת'ל,0
מא,0
קדמנא,0
וקבל,0
אלתורה,0
מן,0
הלל,1
ומן,0
שמאי.,1
פמן,0
אקואלהי,0
אלצחיחה,0
וקולהי,0
יא,0
אנסאן,0
אד'א,0
תעלמת,0
כת'יר,0
לא,0
תכבר,0
נפסך,0
ותתעט'ם.,0
לאן,0
אלעולמא,0
קאלו,0
קבל,0
מא,0
יוכ'לק,0
אלאנסאן,0
בארבעין,0
יום,0
יוקצ'א,0
עליהי,0
אן,0
יכון,0
חכ'ם,0
או,0
טפש.,1
ג'באר,0
או,0
כ'סיע.,0
גני,0
או,0
פקיר,0
לאג'ל,0
ד'אלך,0
קאל,0
רבן,1
יוחנן,1
בן,1
זכאי.,1
יא,0
אנסאן,0
אד'א,0
אדרכת,0
אלעלם,0
לא,0
תתכבר,0
לאנהו,0
מא,0
אחד,0
אדרך,0
עלם,0
אלתורה,0
וג'מיע,0
עלום,0
אלדוניא,0
קדר,0
שלמה,1
המלך,1
"ע""ה",1
לאנהו,0
מא,0
כאן,0
יוקף,0
קודאמהו,0
אלף,0
רג'ול,0
וידעו,0
דעוותהם,0
ג'ומלת.,0
וכאן,0
מן,0
כות'ר,0
וסע,0
עלמהי,0
יעיד,0
לכל,0
ואחד,0
דעוותהו,0
וילזם,0
אלחייב,0
ויזכי,0
אלזכאי,0
ומע,0
כל,0
ד'אלך,0
קאל,0
עליהי,0
אלנביא,0
ירמיה,1
"ע""ה",1
לא,0
יפתכ'ר,0
אלעאלם,0
בעלמהי,0
ולו,0
כאן,0
עאלם,0
מת'ל,0
אלסייד,0
שלמה,1
המלך,1
"ע""ה",1
עלא,0
האד'א,0
אוצא,0
רבן,1
יוחנן,1
בן,1
זכאי,1
וקאל,0
יא,0
אנסאן,0
אד'א,0
אתעלמת,0
תורה,1
לא,0
תפתכ'ר,0
בנפסך,0
לאן,0
להאד'א,0
כ'ולוקת,0
"כ""ק",0
כי,1
לכך,1
נוצרת,1
איצ'א,0
קאלו,0
סאדאתנא,0
"ע""ה",1
פי,0
קולהם,0
אם,1
למדת,1
תורה,1
הרבה,1
אל,1
תחזיק,1
טובה,1
לעצמך,1
יעני,0
אד'א,0
קרית,0
פי,0
אלתורה,0
כת'יר,0
ואסתפדת,0
מנהא,0
כת'יר,0
אל,1
תחזיק,1
טובה,1
לעצמך.,1
יעני,0
לא,0
תקול,0
יכפי,0
מא,0
קרית,0
פי,0
אלתורה,0
אנא,0
לד'את,0
נפסי,0
ומא,0
עליי,0
אלתזאם,0
באן,0
אעלמהא,0
לגירי,0
לא,0
תקול,0
כד'אלך,0
אלא,0
מלזום,0
אלאנסאן,0
אד'א,0
אעטאהו,0
אללה,0
עלם,0
פי,0
אלתורה,0
יעלמהא,0
לל,0
גיר,0
תצד'יקן,0
לקול,0
אלפסוק,0
יפוצו,1
מעינותיך,1
חוצה,1
לאן,0
לכך,1
נוצרת,1
יעני,0
עלא,0
האד'א,0
אלשרט,0
כ'ולק,0
אלאנסאן,0
איי,0
ללמוד,1
וללמד,1
יעני,0
יתעלם,0
ויעלם,0
ומלזום,0
אנת,0
יא,0
אנסאן,0
בד'אלך,0
תצדיקן,0
לקולהי,0
כי,1
לכך,1
נוצרת,1
