word,is_he
רבי,1
עקיבא,1
"אומר,",1
שחוק,1
וקלות,1
"ראש,",1
מרגילין,1
לערוה,1
אלסייד,0
רבי,1
עקיבא,1
"ע""ה",1
כאן,0
ראס,0
חכ'מי,1
ישראל,1
וכאן,0
תלמיד',0
רבי,1
אליעזר,1
הגדול,1
ועאש,0
מאיה,0
ועשרין,0
סנה,0
וכאן,0
להו,0
ארבעה,0
ועשרין,0
אלף,0
תלמיד'.,0
ופי,0
בעץ',0
אלאיאם,0
אעתאז,0
מאייתין,0
דינאר,0
ליפרקהא,0
עלא,0
תלאמיד'הי,0
פאקתרץ',0
מן,0
ואחד,0
גני,0
האד'א,0
אלמבלג.,0
ואשהד,0
עלא,0
נפסהי,0
אלחק,0
"ס""ו",0
ואלבחר.,0
ולמא,0
צאר,0
זמאן,0
אלופא,0
צ'עף,0
רבי,1
עקיבא,1
ומא,0
קדר,0
אן,0
יופי,0
לאל,0
גני,0
דראהמהו.,0
פראח,0
ד'אלך,0
אלרג'ול,0
לל,0
בחר,0
וקאל,0
יא,0
בחר,0
אופי,0
לי,0
צ'מאנתך.,0
ופי,0
אלוקת,0
אתפק,0
אן,0
ג'אאת,0
בנת,0
אלמלך,0
קיסר,1
וחמלת,0
צנדוק,0
אבוהא,0
אלד'י,0
כאן,0
מלאן,0
ג'ואהר,0
ומעאדן,0
ואלמאס,0
ויאקות,0
וארמתהו,0
פי,0
קלב,0
אלבחר.,0
פקד'פהו,0
אלמוג',0
חתא,0
אוצלהו,0
ענד,0
ד'אלך,0
אלעשיר,0
אלד'י,0
אקתרץ',0
מנהו,0
רבי,1
עקיבא,1
פאכ'ד'הו,0
ואראח,0
בהי,0
לביתהי.,0
ולמא,0
חצל,0
אלשפא,0
לרבי,1
עקיבא,1
"ע""ה",1
מן,0
מרצ'הי,0
אחצ'ר,0
אלקרצ'ה,0
אלתי,0
עליהי,0
לד'אלך,0
אלגני.,0
פקאם,0
ד'אלך,0
אלגני,0
ודפע,0
לרבי,1
עקיבא,1
אלמאל,0
ואלכיראת,0
אלתי,0
פי,0
אלצנדוק,0
אלד'י,0
ג'אבהו,0
אלבחר,0
ומן,0
ד'אלך,0
אלמאל,0
סעד,0
(נד),0
רבי,1
עקיבא,1
"ע""ה.",1
והוא,1
"ע""ה",1
קאל,0
האד'הי,0
אלאקואל,0
אלג'ואהר,0
והיא,0
שחוק,1
וקלות,1
ראש,1
מרגילין,1
את,1
האדם,1
לערוה,1
יעני,0
כת'רת,0
אלצ'חך,0
וזיאדה,0
אלאסתכ'פאף,0
וכ'פיית,0
אלראס,0
ידרג'ו,0
אלאנסאן,0
פי,0
אלערוה,0
יעני,0
יג'יבוה,0
לל,0
פסאר,0
ואלזנא.,0
וקאלו,0
אלחוכמא,0
כת'רת,0
אלצ'חך,0
תמוות,0
אלקלב,0
ען,0
אלעבאדה,0
ומן,0
כת'רת,0
צ'חכהי,0
תקל,0
היבתהו,0
ענד,0
אלנאס.,0
וקיל,0
ת'לאת'ה,0
לא,0
יג'ב,0
עליהם,0
אן,0
יכת'רו,0
אלצ'חך,0
והם,0
חאכם,0
ג'איר.,0
ונאסך,0
עאבד.,0
ועאלם,0
מושאר,0
אליהי.,0
לד'אלך,0
אוצא,0
ד'אלך,0
אלאוסתאד',0
בקלת,0
אלצ'חך,0
לאן,0
כות'רת,0
אלצ'חך,0
תכ'פף,0
אלדמאג,0
ותג'ר,0
אלאנסאן,0
אלא,0
פעל,0
אלפאחשה,0
"כ""ק",0
מרגילין,1
את,1
האדם,1
לערוה,1
