word,is_he
הוא,1
היה,1
"אומר,",1
כל,1
שחכמתו,1
מרבה,1
"ממעשיו,",1
למה,1
הוא,1
"דומה,",1
לאילן,1
שענפיו,1
מרבין,1
ושרשיו,1
"מעטין,",1
והרוח,1
באה,1
ועוקרתו,1
והופכתו,1
על,1
"פניו,",1
שנאמר,1
והיה,1
כערער,1
בערבה,1
ולא,1
יראה,1
כי,1
יבוא,1
טוב,1
ושכן,1
חררים,1
במדבר,1
ארץ,1
מלחה,1
ולא,1
תשב.,1
אבל,1
כל,1
שמעשיו,1
מרבין,1
"מחכמתו,",1
למה,1
הוא,1
"דומה,",1
לאילן,1
שענפיו,1
מעטין,1
ושרשיו,1
"מרבין,",1
שאפלו,1
כל,1
הרוחות,1
שבעולם,1
באות,1
ונושבות,1
בו,1
אין,1
מזיזין,1
אותו,1
"ממקומו,",1
שנאמר,1
והיה,1
כעץ,1
שתול,1
על,1
מים,1
ועל,1
יובל,1
ישלח,1
שרשיו,1
ולא,1
יראה,1
כי,1
יבא,1
"חם,",1
והיה,1
עלהו,1
"רענן,",1
ובשנת,1
בצרת,1
(נז,0
"ע""ב)",0
לא,1
"ידאג,",1
ולא,1
ימיש,1
מעשות,1
פרי,1
איצ'א,0
האד'א,0
אלאוסתאד',0
רבי,1
אליעזר,1
יקול,0
כל,0
מן,0
יכון,0
עלמהו,0
אכת'ר,0
מן,0
אפעאלהי,0
אלטייבה,0
פהוא,0
ישבה,0
שג'רה,0
גצונהא,0
כת'ירה,0
וג'ד'רהא,0
קליל.,0
פלמא,0
יהב,0
אלהווא,0
יקלעהא,0
וירמיהא,0
עלא,0
וג'ההא.,0
וכל,0
מן,0
אפעאלהו,0
אלטייבה,0
אכת'ר,0
מן,0
עלמהי.,0
ישבה,0
אלשג'רה,0
אלתי,0
גצונהא,0
קלילה,0
וג'דרהא,0
כת'ירה,0
פמהמא,0
הבית,0
עליהא,0
מן,0
אלאריאח,0
לא,0
תקדר,0
אן,0
תזחזחהא,0
מן,0
מכאנהא,0
ופי,0
סנת,0
אלקחט,0
לא,0
תגרמהא,0
ולא,0
תכ'לא,0
מן,0
את'מארהא,0
"כ""ק",0
ולא,1
ימיש,1
מעשות,1
פרי.,1
והאד'א,0
צ'רב,0
מת'ל,0
עלא,0
אלאנסאן,0
אלד'י,0
אפעאלהו,0
טייבה,0
וכת'ירה,0
פהוא,0
ת'אבת,0
מוסתקאם,0
ולא,0
יקדרו,0
אלמקטרגין,0
אן,0
יתכלמו,0
פיהי,0
באל,0
באטל,0
אוו,0
יקט'רגו,0
עליהי,0
פי,0
אלסמא,0
ענד,0
אללה,0
תע',0
ולו,0
חכם,0
פי,0
זמאנהי,0
גלא,0
פלא,0
תתצ'עצ'ע,0
חאלהו,0
ולא,0
תקצר,0
ידהו,0
מן,0
פעל,0
אלצדקות.,0
"כ""ק",0
ולא,1
ימיש,1
מעשות,1
פרי,1
