word,is_he
רבי,1
אלעזר,1
איש,1
ברתותא,1
"אומר,",1
תן,1
לו,1
"משלו,",1
שאתה,1
ושלך,1
שלו.,1
וכן,1
בדוד,1
הוא,1
אומר,1
כי,1
ממך,1
הכל,1
ומידך,1
נתנו,1
לך,1
רבי,1
אלעזר,1
איש,1
ברתותא,1
יקול.,0
אוציך,0
יא,0
אנסאן,0
אן,0
תתצדק,0
עלא,0
אלפוקרא,0
ואלאראמל,0
ואלאיתאם,0
ותייקן,0
ותחקק,0
אן,0
עטייתך,0
להם,0
מא,0
היא,0
מן,0
כיסך,0
אלא,0
מן,0
מאל,0
כ'אלקך,0
ג'ל,0
ג'לאלהו,0
אלד'י,0
רזקך,0
בהי,0
פאנת,0
תעטיהי,0
מן,0
ענד,0
אללה,0
תע',0
לאן,0
אלעולמא,0
קאלו,0
אן,0
כל,0
מן,0
יחן,0
עלא,0
אלמכסור,0
אלכ'אטר,0
יסבב,0
חנייה,0
עליהי,0
ועלא,0
אלעאלם,0
כלהי.,0
כמא,0
וג'דנא,0
פי,0
זמאן,0
רבי,1
תנחומא,1
"ע""ה",1
אן,0
כל,0
אלעולם,0
כאן,0
מחתאג',0
בוקתהא,0
לל,0
מטר,0
וגזר,0
אול,0
תענית,1
ות'אני,0
תענית,1
ות'אלת',0
תענית,1
ומא,0
תג'אוב,0
אלצבור.,0
קאם,0
רבי,1
תנחומא,1
"ע""ה",1
דרש,1
וקאל,0
יא,0
ישראל,1
כל,0
מן,0
יקדר,0
יעמל,0
צדקה,1
ליעמל,0
עסא,0
בזכותו,1
ינזל,0
לנא,0
אלמטר.,0
פכאן,0
רג'ול,0
טלק,0
זוג'תהו,0
ומן,0
וקת,0
מא,0
טלקהא,0
נזל,0
בהא,0
אלזמאן,0
וצארת,0
תשחד,0
ותטלב,0
צדקה,1
עלא,0
קאדעת,0
אלטריק.,0
פעדא,0
עליהא,0
זוג'הא,0
אלד'י,0
טלקהא.,0
ולמא,0
נט'רתהו,0
בכית,0
ואנכסר,0
קלבהא,0
עלא,0
חאלהא,0
וקאלת,0
להו,0
תצדק,0
וחן,0
עליי,0
פמן,0
יום,0
טלקתני,0
מא,0
ראית,0
כ'יר.,0
פי,0
אלחין,0
אנכסר,0
קלבהו,0
עליהא,0
ואעטאהא,0
צדקה,1
כת'ירת.,0
פשאפוהו,0
אלנאס,0
יעטיהא,0
דראהם,0
מן,0
ידהי,0
לידהא,0
וראחו,0
ושכוהו,0
לחכם,0
רבי,1
תנחומא,1
וקאלו,0
להו,0
הל,0
יג'וז,0
יא,0
סידנא,0
אן,0
מן,0
טלק,0
זוג'תהו,0
יעטיהא,0
דראהם,0
מן,0
ידהי,0
לידהא.,0
פי,0
אלחין,0
ארסל,0
וראהו,0
וקאל,0
(מז),0
להו,0
יא,0
ולדי,0
אלעולם,0
פי,0
צער,1
וכיף,0
תעטי,0
לזוג'תך,0
אלד'י,0
טלקתהא,0
דראהם,0
מן,0
ידך,0
לידהא.,0
פקאל,0
להו,0
יא,0
סידנא,0
וקת,0
מא,0
אוציתנא,0
אן,0
כל,0
מן,0
הוא,0
קאדר,0
אן,0
יתצדק,0
יקום,0
ויתצדק.,0
ראית,0
זוג'תי,0
אלתי,0
כאנת,0
פי,0
עז,0
פי,0
ביתי,0
אן,0
אלזמאן,0
נזל,0
בהא,0
וצארת,0
תשחד,0
ותטלב,0
צדקה,1
פחן,0
קלבי,0
עליהא,0
ואעטיתהא,0
בתורת,1
צדקה.,1
פי,0
אלחין,0
וקף,0
ר',1
נחוניא,1
בין,0
ידין,0
אללה,0
תע',0
וקאל,0
יא,0
סייד,0
אלעאלם,0
האד'א,0
אלרג'ול,0
חן,0
עלא,0
זוג'תהי,0
אלתי,0
טלקהא,0
ואנעתק,0
מן,0
קותחא,0
ונחן,0
אולאדך,0
חן,0
עלינא,0
פי,0
אלחין,0
נזל,0
אלמטר.,0
פאנט'ר,0
יא,0
אנסאן,0
אלא,0
עט'ם,0
קדר,0
אלצדקה,0
אלתי,0
מן,0
בעד,0
פצ'אילהא,0
תג'לב,0
אלנפע,0
לל,0
צבור,0
ולל,0
עולם,0
וליס,0
עטייתך,0
מן,0
כיסך,0
בל,0
אלרזק,0
מן,0
אללה,0
ומן,0
אליקין,0
אנך,0
אד'א,0
תצדקת,0
ולו,0
בג'מיע,0
מא,0
מעך,0
פאל,0
חק,0
תע',0
קאדר,0
ירזקך,0
באצ'עאף,0
מא,0
תצדקת,0
"בהי""",0
וממא,0
ג'רא,0
מן,0
עג'איב,0
אלאמור,0
אן,0
רג'ול,0
כאן,0
יטלע,0
כל,0
יום,0
מן,0
ביתהי,0
ליתסבב,0
פי,0
רזקהי,0
מן,0
אוול,0
אלצבאח,0
לנצף,0
אלנהאר,0
וירג'ע,0
אלא,0
ביתהי,0
פתוקף,0
אמראתהו,0
פי,0
כ'דמתהי,0
למא,0
יכ'פף,0
מא,0
עליהי,0
מן,0
אלת'ייאב,0
ויתשטף,0
ויג'לס,0
פי,0
צדר,0
אלליואן.,0
פתוצ'ע,0
זוג'תהו,0
אלמאידה,0
בין,0
ידיהי,0
ותקדם,0
להו,0
דג'אג'ה,0
מטבוכ'ה,0
כל,0
יום,0
עלא,0
שכל,0
מן,0
אלאשכאל,0
והאכד'א,0
עלא,0
ממר,0
אלאיאם,0
וכל,0
יום,0
עלא,0
האד'א,0
אלחאל.,0
פיאכל,0
וינבצט,0
וינעס,0
ויאכ'וד',0
צפאהו,0
עלא,0
אתם,0
מא,0
יכון.,0
פיום,0
מן,0
ד'את,0
אלאיאם,0
קאם,0
מן,0
מנאמהי,0
ולבס,0
ת'יאבהו,0
וכ'רג',0
לאל,0
סוק,0
באע,0
ואשתרא,0
לקרב,0
אלט'הר,0
ורג'ע,0
אלא,0
אלבית,0
עלא,0
ג'ארי,0
עאדתהי.,0
פוקפת,0
זוג'תהו,0
פי,0
כ'דמתהי,0
ווצ'עת,0
בין,0
ידיהי,0
אלמאידה,0
וקדמת,0
להו,0
אלדג'אג'ה,0
אלמעהודה,0
ומא,0
אבתדא,0
יאכל,0
מנהא,0
אלא,0
ואלבאב,0
טרק,0
פסאל,0
מן,0
טרק,0
אלבאב,0
פקאל,0
רג'ול,0
סאיל,0
מוסתחק,0
וקאצד,0
מן,0
פצ'לך,0
צדקה,0
לאן,0
עבדך,0
אלפקיר,0
יא,0
סידי,0
מוסתחק,0
קוי,0
פלא,0
תרדני,0
כ'איב.,0
פקאל,0
להו,0
אלרג'ול,0
יתחנן,0
עליך,0
אללה.,0
קאל,0
אלפקיר,0
יא,0
סיידי,0
אנני,0
מן,0
יום,0
אמס,0
מן,0
מתל,0
האד'י,0
אלסאעה,0
מא,0
ד'קת,0
אלזאד,0
ורוחי,0
תסכ'סכ'ת,0
פתצדק,0
עליי,0
ולו,0
בלוקמת,0
עיש,0
וקליל,0
מא,0
לתרד,0
רוחי.,0
פג'צ'ב,0
אלרג'ול,0
אלג'צ'ב,0
אלשדיד,0
וקאם,0
מן,0
