word,is_he
רבי,1
אלעזר,1
בן,1
שמוע,1
"אומר,",1
יהי,1
כבוד,1
תלמידך,1
חביב,1
עליך,1
"כשלך,",1
וכבוד,1
חברך,1
כמורא,1
"רבך,",1
ומורא,1
רבך,1
כמורא,1
שמים,1
אחב,0
האד'א,0
אלסייד,0
רבי,1
אלעזר,1
בן,1
שמוע,1
אן,0
יעלמנא,0
פי,0
האד'י,0
אלמשנה,0
אלסלוך,0
באדב,0
ואלקיאם,0
במקאם,0
אלנאס,0
כל,0
ואחד,0
עלא,0
מא,0
יסתחק,0
פמן,0
תבע,0
קולהו,0
ועמל,0
בוצייתהי,0
יתסמא,0
אנסאן,0
פקאל,0
אוולן,0
יהי,1
כבוד,1
תלמידך,1
חביב,1
עליך,1
כשלך,1
יעני,0
כ'לי,0
מקאם,0
תלמיד'ך,0
עזיז,0
עליך,0
כמקאמך,0
לאן,0
כל,0
מא,0
זאדת,0
מחבתהו,0
ושכרתהו,0
כל,0
מא,0
זאד,0
חיאאן,0
מנך,0
וזאד,0
פי,0
אלעלם,0
ואנפתח,0
קלבהו,0
ואנג'לת,0
בצירתהו,0
פי,0
אלאדב,0
ופרח,0
בנפסהי,0
ועלם,0
אן,0
להו,0
ענד,0
אסתאד'הי,0
מקאם,0
ואעתבאר,0
(סז,0
"ע""ב)",0
פיזיד,0
עלם,0
וחד'אקה.,0
ובאל,0
צ'ד,0
מן,0
יבהדל,0
תלמיד'הו,0
וימקתהו,0
דאימן,0
וידל,0
כ'אטרהו,0
באל,0
כלאם,0
אלסוו,0
פתראהו,0
דאימן,0
לא,0
ירכן,0
לשי,0
וכל,0
מא,0
אשתגל,0
בשי,0
יוערצ'הו,0
עלא,0
מעלמהי,0
פיתפל,0
עליהי,0
או,0
ירמיהי,0
פי,0
וג'ההי,0
ויוג'ע,0
קלבהו,0
באל,0
כלאם,0
אלג'ארח,0
אן,0
אשתגל,0
מליח,0
או,0
רדי.,0
ואד'א,0
סאלתהו,0
ען,0
ד'אלך,0
יקול,0
לאג'ל,0
אן,0
יפתח,0
עינהו,0
ויתעלם,0
אחסן.,0
ואלחקיקה,0
ליס,0
כד'אלך,0
לאנהו,0
יטמס,0
בצירתהו,0
ויעמי,0
קלבהו.,0
פאל,0
ואג'ב,0
עלא,0
אלמעלם,0
אד'א,0
ערץ',0
אלמתעלם,0
עליהי,0
שוגלהו,0
אן,0
יצ'חך,0
פי,0
וג'ההי,0
ויקול,0
להו,0
עאפאך,0
עאפאך,0
קוי,0
מליח,0
אחסנת,0
יא,0
שאטר,0
אג'תהד,0
אן,0
תתשטר,0
אכת'ר.,0
ואן,0
כאן,0
פיהי,0
עיב,0
או,0
כ'לל,0
יקאנעהו,0
בלטף,0
ויקול,0
להו,0
ברואק,0
קדם,0
די,0
ואכ'ר,0
די,0
או,0
קצר,0
די,0
ואכ'ר,0
די.,0
ת'ום,0
יקול,0
להו,0
כ'לי,0
באלך,0
למא,0
תוצל,0
להאד'א,0
אלמוצ'ע,0
אן,0
תפעל,0
האד'א,0
ולא,0
תפעל,0
האד'י,0
ויטוול,0
רוחהו,0
עליהי,0
ויכלמהו,0
בוג'ה,0
סמוח,0
פיפתח,0
קלב,0
אלמתעלם,0
וישתגל,0
פי,0
אלתאלי,0
אחסן,0
מן,0
אלאוול,0
ולא,0
יזאל,0
בהי,0
עלא,0
האד'י,0
אלטריקה,0
חתא,0
יציר,0
מעלם,0
והאד'א,0
הוא,0
מענא,0
קולהי,0
הב,0
להו,0
מא,0
תחב,0
לנפסך.,0
פהל,0
תחב,0
לנפסך,0
מן,0
יבהדלך,0
וימקתך,0
ויצ'ייק,0
רוחהו,0
עליך.,0
פלד'אלך,0
יג'ב,0
עליך,0
אן,0
תראעי,0
מקאמאת,0
אלנאס,0
כל,0
ואחד,0
עלא,0
קדר,0
מא,0
יסתחק.,0
כמא,0
וג'דנא,0
פי,0
אלסייד,0
אלעט'ים,0
משה,1
רבינו,1
"ע""ה",1
אלנביא,0
אלמוכרם,0
פאנהו,0
למא,0
כ'בר,0
יהושע,1
בן,1
נון,1
"ע""ה",1
וקאל,0
להו,0
בחר,1
לנו,1
אנשים,1
יעני,0
אכ'תאר,0
לנא,0
רג'אל,0
סאוא,0
קימת,0
תלמיד'הי,0
כקימת,0
נפסהי,0
אלמשרפה.,0
וקולהו,0
וכבוד,1
חבירך,1
כמורא,1
רבך,1
פאן,0
אלתלמידים,0
אלד'ין,0
כאנו,0
פי,0
בגדאד,0
כאנו,0
יוקפו,0
לבעצ'הם,0
אלבעץ'.,0
ואהרן,1
הכהן,1
"ע""ה",1
כאן,0
אכבר,0
מן,0
אכ'יהי,0
וכאן,0
יקול,0
להו,0
אדוני,1
יעני,0
יא,0
סיידי,0
ופי,0
האד'א,0
נפע,0
עט'ים,0
לאנהו,0
יעלם,0
דפיקהו,0
אלאדב,0
אד'א,0
כ'שאה,0
וחאפט',0
עלא,0
מקאמהי,0
מת'ל,0
מא,0
יחאפט',0
עלא,0
מקאם,0
אסתאד'הי,0
"כ""ק",0
כמורא,1
רבך,1
ומנהא,0
יתעלם,0
אן,0
יעמל,0
קימת,0
אלנאס,0
באל,0
טבע,0
ואלעאדה,0
האד'א,0
אנהא,0
תזיד,0
מחבת,0
רפיקהי,0
ענדהו,0
פתציר,0
ענדהם,0
מחבה,0
זאידה,0
בינהם.,0
ואד'א,0
כאן,0
צ'עיף,0
אלעלם,0
וג'אתת,0
לידהי,0
רד'ילה,0
או,0
כלאם,0
פאחש,0
ומסך,0
נפסהו,0
ענהא,0
ולם,0
ינטק,0
אלא,0
בכלאם,0
כאמל,0
ואג'תהד,0
פי,0
פעל,0
אלצאלח.,0
פאוולן,0
יחצל,0
מחבה,0
בינהו,0
ובין,0
צאחבהי,0
ות'אניין,0
יכון,0
אכתסב,0
מחבה,0
אלנאס,0
להו,0
פעלא,0
סאיר,0
אלוג'וה,0
יחצל,0
להו,0
(סח),0
בד'אלך,0
פעל,0
כ'יר,0
וקולהו,0
ומורא,1
רבך,1
כמורא,1
שמים,1
אי,0
אנהו,0
יג'ב,0
עליך,0
תראעי,0
מקאם,0
אסתאד'ך,0
אלד'י,0
תעב,0
עליך,0
ועלמך,0
אלעלם,0
ותכ'שא,0
מנהו,0
מת'ל,0
מא,0
תכ'שא,0
מן,0
אלחק,0
"ס""ו",0
לאן,0
אסתאד'ך,0
הוא,0
אלד'י,0
ג'על,0
לך,0
מקאם,0
פי,0
אלדוניא,0
ואלאכ'רה,0
וכסבת,0
מנהו,0
אלחיאה,0
אלדאימה,0
ועלמך,0
אמור,0
אלשריעה,0
ואלחלאל,0
ואלחראם,0
לתנאל,0
בהם,0
חיי,1
עולם,1
הבא,1
פיכון,0
קד,0
נפעך,0
דוניא,0
ואכ'רה.,0
וכמא,0
קאלו,0
אסיאדנא,0
ען,0
מקאם,0
אלאסתאד',0
אלד'י,0
יכסב,0
אלאנסאן,0
מנהו,0
אלעלם,0
מן,0
צג'רהי,0
אלא,0
כברהי.,0
