word,is_he
ארבע,1
מדות,1
בהולכי,1
לבית,1
המדרש.,1
הולך,1
ואינו,1
"עושה,",1
שכר,1
הליכה,1
בידו.,1
עושה,1
ואינו,1
"הולך,",1
שכר,1
מעשה,1
בידו.,1
הולך,1
"ועושה,",1
חסיד.,1
לא,1
הולך,1
ולא,1
"עושה,",1
רשע,1
ארבעת,1
טבאיע,0
באלד'ין,0
יתווג'הו,0
לבית,1
המדרש.,1
מנהם,0
מן,0
ירוח,0
לבית,1
המדרש,1
ולא,0
יתעלם,0
פהוא,0
כסב,0
אג'רה,0
אלמשי,0
פקט,0
לאן,0
אלד'י,0
יתעלם,0
יכסב.,0
פאד'א,0
מת'לא,0
קרי,0
פי,0
ביתהי,0
פקד,0
כסב,0
אג'ר,0
אלקראיה,0
לאן,0
אלמשי,0
לבית,0
אלמדרש,0
להו,0
אג'ר,0
קאים,0
בד'אתהי.,0
ואלד'י,0
ימשי,0
לבית,1
המדרש,1
ויקרא,0
פי,0
אלתורה,0
פלהו,0
אג'רין,0
אג'ר,0
אלמשי,0
ואג'ר,0
אלקראיה,0
והוא,0
מן,0
אלצאלחין,0
אלמכ'תארין,0
ויוקאל,0
פי,0
חקהי,0
חסיד.,1
ואלד'י,0
לא,0
ימשי,0
לבית,1
המדרש,1
ולא,0
יקרא,0
פי,0
אלתורה,0
פי,0
ביתהי,0
פהו,0
מחרום,0
אלאג'ר,0
באל,0
כליה,0
מן,0
ג'יהתין,0
ויוקאל,0
פי,0
חקהי,0
רשע,1
כמא,0
קאל,0
לא,1
הולך,1
ולא,1
עושה,1
רשע,1
נה,0
כב,0
ארבע,1
מדות,1
ביושבים,1
לפני,1
חכמים.,1
"ספוג,",1
"ומשפך,",1
"משמרת,",1
ונפה.,1
"ספוג,",1
שהוא,1
סופג,1
את,1
הכל.,1
"משפך,",1
שמכניס,1
בזו,1
ומוציא,1
בזו.,1
"משמרת,",1
שמוציאה,1
את,1
היין,1
וקולטת,1
את,1
השמרים.,1
"ונפה,",1
שמוציאה,1
את,1
הקמח,1
וקולטת,1
את,1
הסלת,1
