word,is_he
ותג'עלו,0
פי,0
כנאיסכם,0
אלמותא,0
ותסתשפון,0
בהא,0
אנתם,0
ומרצ'אכם,0
ותרך,0
אלתזויג',0
ואלתרהב,0
ואשבאה,0
ד'לך,0
כת'יר,0
ממא,0
הו,0
מחרם,0
פי,0
אלתוראהֿ,0
פקד,0
כ'אלפתם,0
אללה,0
ותוראת,0
מוסי.,0
פאן,0
קלתם:,0
כאן,0
יסוס,1
לא,0
יעמל,0
בהד'ה,0
"אלסנהֿ,",0
"כד'בתם,",0
לאנה,0
לם,0
יזל,0
יחלל,0
חלאל,0
בני,0
אסראיל,0
ויחרם,0
חרמהם.,0
פאן,0
קלתם:,0
כאן,0
יעמל,0
בסנן,0
"מוסי,",0
ת'ם,0
ג'או,0
רסלא,0
מן,0
בעדה,0
ואמרוכם,0
בגיר,0
אלד'י,0
כאן,0
"יעמל,",0
פאד'א,0
יסוס,1
כאן,0
יעמל,0
"באלבאטל,",0
וג'או,0
רסלא,0
ואמרוכם,0
"באלחק,",0
פאד'ן,0
רסלה,0
אפצ'ל,0
מנה.,0
