word,is_he
פאכ'ד',0
אלשיטאן,0
יסוס,1
וצירה,0
מהזיה,0
יולעב,0
בה.,0
ואנת,0
תזעם,0
אן,0
יסוס,1
הו,0
"אללה,",0
כמא,0
קאל,0
לפליפוס:,1
מן,0
נט'ר,0
אלי,0
פקד,0
נט'ר,0
אלי,0
אבי,0
ואנא,0
ואבי,0
"סוא,",0
ואן,0
כאן,0
יסוס,1
צאדק,0
אנה,0
ואבוה,0
ואחד,0
ואן,0
כ'לקהמא,0
ואחד,0
פאן,0
אלשיטאן,0
מן,0
ד'לך,0
"אלכ'לק,",0
פכאן,0
ינבגי,0
אן,0
תפו[ק],0
קדרהֿ,0
יסוס,1
עליה,0
וסלטאנה.,0
אוף,0
להד'א,0
"אלכלאם,",0
מא,0
אקבחה.,0
חין,0
תג'על,0
אלאהך,0
מהזיא,0
לאשר,0
כ'לקה.,0
והד'א,0
כלה,0
מכתוב,0
פי,0
כתאב,0
לוקא,1
אלאנג'ילי.,0
