word,is_he
והו,0
פי,0
צלאתה,0
"חיניד',",0
ג'ו,0
אליה,0
אליהוד,1
צבאח,0
יום,0
"אלג'מעהֿ,",0
אכ'רג'וה,0
מן,0
אלסג'ן,0
ועד'בוה,0
ואהאנוה,0
באנואע,0
אלעד'אב,0
וג'עלו,0
עלי,0
רקבתה,0
אלחבל,0
ורבטוה,0
בה,0
וג'רצוה,0
פי,0
אלבלד,0
ועלי,0
ראסה,0
אכליל,0
מן,0
אלשוך,0
ואלעוסג',0
"ואלקנדול,",0
וגטו,0
ראסה,0
בד'ילה,0
וצארו,0
ילטמוה,0
עלי,0
ראסה,0
ויקולו,0
לה:,0
אן,0
כנת,0
אלאה,0
ערפנא,0
מן,0
הוד'א,0
יצ'רבך?,0
והו,0
יצ'ג',0
ויציח,0
ולא,0
אחד,0
יפרג',0
ענה.,0
ואלכ'אלק,0
יעלם,0
והו,0
אלשאהד,0
עלי,0
רוחי,0
אני,0
למקבח,0
עלי,0
נפסי,0
ד'כר,0
שי,0
מן,0
הד'ה,0
אלאמור,0
אלקביחהֿ,0
אלד'י,0
בהא,0
יתדנס,0
לסאני,0
ותנג'ס,0
שפתיי.,0
