word,is_he
ואנא,0
אעתקד,0
ואשהד,0
קדאם,0
אללה,0
תע',0
באנכם,0
לא,0
דין,0
לכם,0
ולא,0
עקל,0
"איצ'א,",0
ואן,0
תעבדו,0
אדמי,0
מת'לכם,0
ירי,0
בין,0
"אלמכ'לוקין,",0
מן,0
עואם,0
"אלנאס,",0
לא,0
מן,0
"כ'ואצהם,",0
תג'עלוה,0
רב,0
מעבוד.,0
ת'ם,0
תעודו,0
תשהדו,0
באנה,0
אהין,0
ועד'ב,0
וצלב,0
וברח,0
בה,0
אלתבאריח,0
אלקביחהֿ.,0
וקד,0
כאן,0
ינבגי,0
לכם,0
אן,0
תכ'מדו,0
ניראנכם,0
ותגטו,0
פצ'יחתכם,0
ולא,1
תתורו,1
עליכם,0
זאיד,0
באן,0
מנד',0
תכונו,0
קדאם,0
אללה,0
בשריעתכם,0
אלגיר,0
"צחיחהֿ,",0
תגצ'בוה,0
ותסכ'טו,0
מלאיכתה,0
ואנביאה,0
ורסלה,0
ולא,0
תפכרו,0
פי,0
אלעקאב.,0
