word,is_he
ואמא,0
זעמכם:,0
בדימאר,0
אללאהות,0
ודימאר,0
"אלנא[סו]ת,",0
ואנה,0
צעד,0
אלי,0
אלסמא,0
בדימאר,0
אלנאסות,0
"וא[ללאהות,",0
תא]מין,0
גיר,0
"נאקצין,",0
פאסתוא,0
בד'לך,0
מע,0
אלאב,0
עלי,0
"אלער[ש],",0
פאד'א,0
כאן,0
אלאמר,0
כד'לך,0
פקד,0
אסתוא,0
עלי,0
אלערש,0
אלכ'וף,0
ואלפזע,0
ואלהול,0
ואלג'זע,0
ואלנום,0
ואלג'וע,0
ואלעטש,0
"ואלתג[ויט],",0
לאן,0
דימאר,0
אלנאסות,0
ליס,0
לה,0
קיאם,0
אלא,0
באלטעאם,0
ואלשראב,0
ואלתגויט.,0
אכ'ברני:,0
הו,0
כאן,0
פי,0
"אלסמא,",0
אן,0
כאן,0
יג'יה,0
אלטעאם,0
וירמי,0
תגויטה?,0
פיאהלך,0
מן,0
תלך,0
אלפצ'יחהֿ,0
אלעט'ימהֿ.,0
