word,is_he
מן,0
אלבטן,0
ומן,0
אחשא,0
אמי,0
אכ'[ר]ג'ני,0
ודעא[ני],0
באסמי,0
וקאל,0
לי,0
אנת,0
עבדי,0
ונבי,0
ו[אבנ]י.,0
וקאל,0
אלמסיח:,0
חקא,0
אן,0
דיני,0
מע[.,0
.,0
.],0
בין,0
ידי,0
אללה,0
רבי,0
וסיידי.,0
וקאל,0
אלמס[יח,0
אי]צ'א:,0
הד'א,0
מא,0
קאל,0
אללה,0
אלד'י,0
כ'לקני,0
[פי,0
אל]בטן,0
לה,0
עבדא,0
ואקבל,0
בשעב,0
יעקב,1
ובקיהֿ,0
בני,0
אסראיל,0
אן,0
אקץ,0
עליהם,0
אן,0
א[לל]ה,0
רבי,0
ואלאהי,0
והו,0
עזי,0
וגברותי.,0
פאנתם,0
[לי]ס,0
מן,0
שעב,0
יעקב,1
ולא,0
מן,0
ד'ריהֿ,0
בקי[הֿ],0
אסראיל,0
[לאנכם],0
תרכתם,0
אמרה,0
ועמל[ה.,0
.,0
.],0
צפיא,0
תת'בת,0
קבאיל,0
יעקוב,0
ותקבל,0
בקאיא,0
בני,0
אסראיל,0
אני,0
קד,0
צנעתך,0
נורא,0
והדא,0
להדא,0
ג'מיע,0
אלשעוב.,0
אלעג'ב,0
ת'ם,0
אלעג'ב,0
כיף,0
לא,0
תכ'זון,0
במא,0
פעלתם,0
פי,0
באב,0
אלמסיח.,0
כד'בתם,0
כלאמה,0
ובטלתם,0
אקואלה,0
וכד'בתם,0
אלתורה,0
ואלזבור,0
וגיירתם,0
סנן,0
מוסי,0
"עאל""ס",0
אלמפרוצ'הֿ,0
עלי,0
טור,0
סיני.,1
