word,is_he
פאול,0
מא,0
נקול,0
אן,0
אלפאט',0
אלסריאניה,0
אלמוג'ודה,0
פי,0
אלמקרא,0
רבמא,0
כאנת,0
מפרדה,0
לא,0
נט'יר,0
להא,0
ולא,0
שביה,0
פי,0
אללגה,0
מתל,0
מדהבה:,1
כי,1
סרבים:,1
ולא,1
סדרים:,1
יסגד,1
לו:,1
הן,1
יקטלני,1
ורבמא,0
כאנת,0
מתשאבהה,0
בג'ירהא,0
מן,0
אלעבראני,0
פי,0
אלמנטק,0
מכתלפה,0
פי,0
אלמעני,0
ומנפצלה,0
באלסריאני,0
מן,0
אלעבראני,0
בכ'רוג'הא,0
מן,0
ג'נס,0
אלעבראני,0
ואנתסאבהא,0
אלי,0
אלסריאני,0
ודלך,0
מתל,0
נצדו,1
עריהם,1
מתשאבהה,0
בצדה,1
וצדה,1
וצד,1
ההר:,1
והי,0
מנפצלה,0
באלמעני,0
מנסובה,0
אלי,0
אלסריאני,0
משתקה,0
מן,0
תרגום,1
שממה,1
צדיא,1
ושממו,1
עליה,1
איביכם,1
ויצדון,1
עלה:,1
נשמו,1
פנותם,1
נצדו,1
עריהם:,1
פאפהם,0
הדה,0
אלאצול,0
נפע,0
אללה,0
עז,0
וג'ל,0
בהא,0
טאלבהא,0
ואקר,0
בהא,0
עין,0
נאט'רהא,0
ואג'בט,0
בהא,0
מסתפידהא,0
ומקתבסהא:,0
