word,is_he
,0
ויכהו,1
קבל,1
עם,1
קתלוה,0
קבאלה,0
אלעאמה,0
ט'אהרא,0
ומנה,0
מקבילת,1
הלולאת,1
מתקאבלאת.,0
ומחי,1
קבלו,1
אלמנג'ניק,0
אלדי,0
תסתקבל,0
בה,0
אלחצון.,0
אל,1
הקבה,1
ואת,1
האשה,1
אל,1
קבתה,1
אלקבאה,0
וקבאהא,0
מן,0
אלאחשא:,0
קדחה,1
באפי.,1
כקדח,1
אש,1
המסים:,1
קדחי,1
אש,1
כלהא,0
קדח,0
אלנאר,0
ואנקדאחהא:,0
קום,1
לך:,1
קומו,1
צאו:,1
קומו,0
אכרג'ו:,0
והנה,1
קמתם,1
קמתם:,0
וקיקלון,1
קיא,1
צואה,1
קי:,0
על,1
קאו,1
עלי,0
קיה:,0
ויקאל,0
עלי,0
קיאה:,0
והקאתו,1
ותתקיאה:,0
וזיוה,1
יתיר,1
קאם,1
לקבלך,1
קאים,0
קבאלתך:,0
קלוי,1
באש,1
מקלו,0
באלנאר:,0
ומנה,0
אשר,1
קלם,1
מלך,1
בבל,1
באש,1
אלדין,0
קלאהמא,0
ומנה,0
כי,1
כסלי,1
מלאו,1
נקלה,1
אן,0
אחשאיי,0
תקלת,0
באג'מעהא,0
ותקול,0
אמתלת,0
תקליא,0
אחתראקא,0
ולא,0
ישבה,0
איש,1
רש,1
ונקלה,1
חקיר,0
מהין:,0
ויקלע,1
וקלע,0
באלוט'ף:,0
לקשש,1
קש,1
ליתקשש,0
קש:,0
ולא,0
ינסב,0
אלי,0
התקששו,1
וקשו,1
אלדי,0
הו,0
אקתאסו,0
וקיסו,0
מן,0
לשון,1
משנה,1
קמח,1
סלת,1
סמד,0
אלקמח:,0
אשר,1
קמטו.,1
אלדי,0
קמטו.,0
ותקמטני,1
וקמטתני:,0
קנה,1
לך,1
אקתני,0
לך:,0
קונה,1
קאני:,0
מאלך,0
אלסמאואת,0
ואלארץ':,0
ונקנה,1
השדה:,1
ויקתנא,0
אלפדאן:,0
גם,1
קפוד,1
איצ'א,0
קנפד:,0
ויקצב,1
עץ,1
וקצב,0
יסמא,0
אלגזאר,0
קצאב:,0
ומנה,0
מדה,1
אחת,1
וקצב,1
אחד,1
קיאסן,0
ואחד,0
ותקטיען,0
ואחד:,0
מן,1
הקצה,1
אלי,1
הקצה,1
מן,0
אלאקצא,0
אלי,0
אלאקצא:,0
קצר,1
ימים,1
קציר,0
אלעמר:,0
ומנה,0
הן,1
לא,1
קצרה,1
יד,1
ייי:,1
לם,0
תקצר,0
קדרה,0
אללה,0
ען,0
אלגות,0
ואלפרג':,0
קר,1
וחם,1
אלקר,0
אלשתא,0
ואלרביע,0
אלדפי:,0
יעני,0
חארא,0
רטבא:,0
ומתלה,0
ואין,1
כסות,1
בקרה:,1
פי,0
אלקר,0
פי,0
אלברד:,0
לפני,1
קרתו,1
מי,1
יעמד:,1
ומנה,0
קאל,0
אלערב,0
קדת,0
אלעין,0
וסכ'נת,0
אלעין,0
יקול,0
אלשאער,0
יא,0
קריר,0
אלעין,0
מא,0
אסכ'ן,0
עיני,0
בפראקך:,0
קרב,1
אל,1
המזבח,1
אקרב:,0
ותאנתי,1
לקצפה,1
ללאנקצאף:,0
