word,is_he
,0
רגום,1
ירגמו:,1
ראהו,1
יראהו,1
יראוהו,1
יראו,1
ירון:,0
יראון,1
ירון:,0
ריח,1
ראיחה:,0
וריחו,1
ראיחתה:,0
ירגזון,1
ירתג'זון:,0
רטב,1
הוא,1
רטב,1
הוא:,1
ירטבו,1
יתרטבון:,0
אשר,1
זרה,1
ברחת,1
ובמזרה:,1
באלראחה,0
ואלמדרא:,0
אלראחה,0
לוח,0
צחיח.,0
ואלמד'רא,0
אסנאן,0
מתפרקה:,0
במתג,1
ודסן,1
ורסן,1
מפני,1
שלחו,1
בכפל,1
רסנו,1
כלהא,0
רסן:,0
סוס,1
ורכבו,1
רמה,1
בים:,1
אלפרס,0
וראכבה,0
רמא,0
פי,0
אלבחר:,0
מרבק,1
תסמי,0
אלערב,0
מראבט,0
אלג'די,0
רבק,0
רמון,1
רמונים,1
רמאן:,0
ומה,1
ירזמון,1
עיניך:,1
יריד,0
בה,0
ירמזון:,1
וכדלך,0
הו,0
בלשון,1
משנה,1
ובאלערבי,0
רמז,0
והו,0
אלאשארה,0
באלמעני:,0
ויקח,1
רמח,1
בידו.,1
רמה,1
קשת,1
ראמי,0
באלקוס:,0
קול,1
רנה,1
רנה:,0
ויקולון,0
רנין,0
אלותר:,0
רעדה,1
רעדה:,1
רועה,1
ראעי:,0
רעה,1
ראעיה:,0
ירעה,1
ירעא:,0
ירעפו,1
ירעפו,1
ומנה,0
אלרעאף:,0
ותרעש,1
וארתעשת:,0
רקמה,1
רקם:,0
די,1
רשים,1
כתבה,1
רסם,0
אלכתאב,0
ותקול,0
רשם,0
ירכב,1
ירכב:,1
רצפת,1
בהט,1
ושש,1
עלי,0
רציף,0
מרצפת:,0
