word,is_he
פאן,0
אעתרץ',0
מעתרץ,0
וקאל:,0
ואלעקל,0
לא,0
יג'יז,0
אן,0
אלארואח,0
תתכלם,0
וקד,0
אנפצלת,0
ען,0
אלאג'סאם,0
וליס,0
להא,0
אלהֿ,0
"כלאם,",0
כאן,0
ג'ואבה,0
אן,0
מן,0
יקול,0
"בד'לך,",0
כד'לך,0
יקול,0
אן,0
אלמלאיכהֿ,0
אלרוחאניין,0
לם,0
יכלמוא,0
"אלאנביא,",0
אד',0
הם,0
מתג'רדון,0
ען,0
אלאג'סאם,0
וליס,0
להם,0
אלהֿ,0
"אלכלאם,",0
בל,0
ינכר,0
כ'טאב,0
אללה,0
לישראל,1
על,1
הר,1
"סיני,",1
לכונה,0
תעאלי,0
מנזהא,0
ען,0
צפאת,0
אלאג'סאם,0
ואלאת,0
"אלכלאם,",0
והד'א,0
מד'הב,0
בעץ',0
אלפלאספהֿ,0
ומן,0
תבע,0
"ראיהם,",0
וגירהם,0
מן,0
אלחכמא,0
יג'יז,0
כלאם,0
אלרוחאניין,0
וקדרתהם,0
עלי,0
אלכלאם,0
בגיר,0
אלהֿ.,0
ופי,0
אלכתאב,0
כת'יר,0
מן,0
כ'טאב,0
אלמלאכים,0
מנהא,0
וירא,1
מלאך,1
יי',1
אליו,1
בלבת,1
אש,1
"וגירה,",0
ופי,0
כלאם,0
אלחכמים,0
בת,1
קול,1
כת'יר.,0
פאלטריק,0
אלתי,0
יכיף,0
בהא,0
כלאם,0
אלמלאיכהֿ,0
"אלרוחאניין,",0
במת'לה,0
יתכיף,0
כלאם,0
אלארואח.,0
