word,is_he
ה,0
מן,0
מג'אז,0
אלמצ'מראת.,0
פסוק,0
כז,0
וקולה,0
כלו,1
כליותי,1
"בחיקי,",1
יומי,0
אלי,0
עיניה,0
לאנהמא,0
אלשאכ'צה.,0
ת'ם,0
קאל,0
להם,0
פאן,0
קלתם,0
אי,0
שי,0
אלד'י,0
יג'ב,0
נטלבה,0
לך,0
יא,0
איוב,0
ואי,0
אצל,0
מן,0
אלאצול,0
פי,0
אכ'בארך,0
חתי,0
נת'בתהא,0
"ללמומנין,",0
הו,0
קולה,0
ושרש,1
דבר,1
נמצא,1
"בי,",1
יעני,0
באלחרף,0
אלנאיב,0
והו,0
ומה,1
שרש,1
דבר.,1
פאן,0
קלתם,0
ד'לך,0
פאחד'רו,0
עקאב,0
אללה,0
ואתקוה,0
פי.,0
וקד,0
יג'יז,0
אלעבראניין,0
אן,0
יכ'אטבון,0
אלמסתקבל,0
פי,0
בעץ',0
אלכלאם,0
"כאלגאיב,",0
כקולה,0
אם,1
תגאל,1
גאל,1
ואם,1
לא,1
"יגאל,",1
וקאל,0
אבאינא,0
ישוב,1
ירחמנו,1
יכבוש,1
עונותינו,1
ותשליך,1
במצולות,1
ים,1
כל,1
"חטאתם,",1
אג'אזו,0
פיה,0
מג'אזין,0
אלאול,0
ישוב,1
"ותשליך,",1
ואלת'אני,0
עונותינו,1
"וחטאתם,",1
כד'אך,0
קאל,0
איוב,0
ההנא,0
מה,1
נרדף,1
לו,1
נמצא,1
בי.,1
וגרצ'ה,0
פי,0
הד'ה,0
אלמקאלה,0
למא,0
ראהם,0
קד,0
כאשפוה,0
וקאלוא,0
לה,0
ג'הרא,0
אן,0
הד'א,0
בכ'טאיאך,0
וכד'לך,0
יסתחק,0
כל,0
"ט'אלם,",0
אכ'ד',0
אן,0
ילטף,0
בהם,0
ויחננהם,0
עלי,0
נפסה,0
וסאלהם,0
אן,0
לא,0
יסתקבלוה,0
בהד'א,0
אלכלאם,0
אלצעב,0
אלד'י,0
יזידה,0
עלי,0
"וג'עה,",0
כקולה,0
עד,1
אנה,1
תוגיון,1
נפשי,1
תכלימוני,1
תהכרו,1
"לי,",1
ת'ם,0
קאל,0
פי,0
אכ'ר,0
אלקצה,0
חנני,1
חנני.,1
ואג'אבה,0
צפר,0
עלי,0
הד'א,0
פקאל,0
לא,0
יחל,0
לנא,0
נחאשיך,0
בל,0
נקאומך,0
ונט'הר,0
כ'טאך,0
כמא,0
סאחכיה,0
ענד,0
אכ'ראג'י,0
קולה,0
מן,0
לגהֿ,0
אלעבראניין,0
אלי,0
לגהֿ,0
אלערב.,0
