word,is_he
תמול,0
תפתה.,0
פסוק,0
כח,0
קולה,0
יגל,1
יבול,1
ביתו,1
פסרתה,0
תדחרג'א,0
מן,0
ויגל,1
את,1
האבן.,1
וקד,0
כאן,0
צפר,0
יעלם,0
אן,0
אהל,0
אלטופאן,0
וגירהם,0
חין,0
אהלכו,0
כאן,0
מאלהם,0
קד,0
תדחרג',0
מעהם,0
והלך,0
פמנהא,0
קאל,0
נגרות,1
ביום,1
אפו,1
כאלמנג'ראת,0
פי,0
יום,0
גצ'בה,0
אלאמואל,0
מע,0
אלט'אלמין.,0
ג'מיע,0
מא,0
וצף,0
צופר,0
פי,0
הד'ה,0
אלמקאלה,0
יעני,0
בה,0
"איוב,",0
ולכן,0
אלמעול,0
עליה,0
מנהא,0
אלד'י,0
הו,0
ג'ואבה,0
הו,0
קולה,0
יגלו,1
שמים,1
"עונו,",1
יקול,0
לה,0
אן,0
אלט'אלם,0
יג'ב,0
אן,0
תכשף,0
לה,0
אלמלאיכה,0
בד'נבה,0
וכד'אך,0
אהל,0
אלארץ',0
"יקאומונה,",0
פלא,0
תסומנא,0
יא,0
איוב,0
אלי,0
מחאשאתך,0
פאנהא,0
לא,0
תחל,0
לנא.,0
