word,is_he
עבארה,0
(מוגודה),0
[וג'ד],0
לאליהוא,1
עליהם,1
כמא,0
וצף.,0
אמא,0
עלי,0
איוב,0
פלמא,0
זכא,0
נפסה,0
והי,0
כ'לה,0
"ואחדה,",0
ואמא,0
עלי,0
אצחאבה,0
"פכ'לתאן,",0
אחדהמא,0
עלי,0
"אנקטאעהם,",0
ואלת'אניה,0
עלי,0
מא,0
תקולו,0
עלי,0
איוב,0
אלמחאל,0
וקאלוא,0
לה,0
הלא,1
רעתך,1
רבה,1
ומא,0
אשבה,0
ד'לך.,0
פאפתתח,0
וקאל,0
ת'לאת'ה,0
מקאלאת,0
אג'אב,0
פיהא,0
איוב,0
עלי,0
מקאלאתה,0
אלת'לאת',0
אלד'י,0
אנקטע,0
ען,0
ג'ואבהן,0
צפר,0
ואליפז,0
"ובלדד,",0
ת'ם,0
קאל,0
בעד,0
אלת'לאת',0
מקאלה,0
ראבעה,0
"אבתדאא,",0
יזעם,0
פיהא,0
אן,0
איוב,0
לא,0
ימכנה,0
אלאעתראץ',0
עליה,0
"פיהא,",0
וכאן,0
ד'לך,0
אן,0
איוב,0
לם,0
יעתרץ',0
עליה,0
בל,0
אסתקר,0
"לה,",0
ומע,0
ד'לך,0
לם,0
תעדם,0
אלארבע,0
אלמקאלאת,0
מן,0
אן,0
יצף,0
פי,0
כל,0
ואחדה,0
אלתעויץ',0
אלד'י,0
הו,0
מד'הבה,0
ומעתמדה,0
כמא,0
קדמנא,0
פי,0
צדר,0
"אלכתאב,",0
וכמא,0
ל,0
וצף,0
פי,0
מוצ'עה.,0
פסוק,0
יט,0
"וכאבות,",1
"אקואף,",0
