word,is_he
קד,0
כנא,0
קדמנא,0
מא,0
וג'ה,0
אלחכמה,0
פי,0
אצראף,0
ג'ואב,0
איוב,0
אלי,0
גיר,0
אלמעני,0
אלד'י,0
הו,0
ג'ואבה,0
עלי,0
אלחקיקה.,0
ת'ם,0
נקול,0
פי,0
הד'ה,0
אלמעאני,0
אלד'י,0
תחרא,0
אללה,0
בהא,0
"איוב,",0
פאול,0
ד'לך,0
אנה,0
לם,0
יקצדה,0
הו,0
וחדה,0
יתחראה,0
"בהא,",0
בל,0
ג'מיע,0
אלכ'לק,0
קצדהם,0
בד'לך.,0
ת'ם,0
אן,0
הד'ה,0
אלאפעאל,0
אלעג'יבה,0
אלתי,0
צרפהא,0
אלי,0
איוב,0
וקאל,0
לה,0
אתטיק,0
אן,0
"תצורהא,",0
פאנמא,0
אלאמר,0
פי,0
ג'מיעהא,0
ראג'ע,0
אלי,0
אלבארי,0
עז,0
"וג'ל,",0
ולד'לך,0
תראה,0
ישיר,0
פי,0
מואצ'ע,0
מנהא,0
אלי,0
נפסה,0
אד',0
קאל,0
בשומי,1
ענן,1
"לבושו,",1
ואיצ'א,0
ואשבר,1
עליו,1
"חקי,",1
ואמר,1
עד,1
פה,1
"תבא,",1
אשר,1
חסכתי,1
לעת,1
"צר,",1
אשר,1
שמתי,1
ערבה,1
"ביתו,",1
והד'ה,0
אלאימאיאת,0
לו,0
לם,0
ינץ,0
עליהא,0
אלכתאב,0
לכאן,0
אלעקל,0
יקצ'י,0
באן,0
פאעל,0
הד'ה,0
אלאשיא,0
הו,0
אלקדים,0
עז,0
"וג'ל,",0
פכיף,0
לם,0
יקנעה,0
ד'לך,0
חתי,0
ג'עלהא,0
נץ,0
מנצוץ.,0
ואד'א,0
חצלת,0
הד'ה,0
אלאפעאל,0
וג'דתהא,0
תדור,0
עלי,0
ת'לאת'ה,0
"אצול,",0
והי,0
אלכ'לק,0
ואלכ'לק,0
ואלרזק.,0
פאמא,0
"אלכ'לק,",0
פהו,0
אלאכ'תראע,0
"ואלאחדאת',",0
קאל,0
פיה,0
איפוא,1
היית,1
ביסדי,1
"ארץ,",1
מי,1
שם,1
"ממדיה,",1
וג'מיע,0
מא,0
ג'רי,0
הד'א,0
אלמג'רי.,0
ואמא,0
אלטבע,0
פאנה,0
פי,0
אלחיואן,0
יסמא,0
"כ'לק,",0
ופי,0
גירה,0
יתרך,0
עלי,0
"עאמיתה,",0
פמנה,0
טבע,0
אלכואכב,0
ואפעאלהא,0
קאל,0
פיה,0
התקשר,1
מעדנות,1
"כימה,",1
יעני,0
בד'לך,0
אן,0
אלכואכב,0
מנהא,0
מא,0
טבעה,0
אלחרארה,0
ומנהא,0
מא,0
טבעה,0
"אלברודה,",0
פאלבארד,0
מנהא,0
ירטב,0
אלת'מאר,0
וידסמהא,0
ופיה,0
יקול,0
"מעדנות,",0
ואלחאר,0
מנהא,0
ינצ'ג',0
אלת'מאר,0
וינמיהא,0
ופיה,0
יקול,0
"מושכות,",0
והד'א,0
מן,0
אפעאל,0
אלכואכב,0
מא,0
לא,0
נאבה,0
"לה,",0
לאנא,0
אנמא,0
נג'בר,0
מא,0
ידעוה,0
אצחאב,0
צנאעהֿ,0
אלנג'ום,0
מן,0
אלאחכאם,0
אלמרסומה,0
ללאתצאל,0
ואלאנצראף,0
ואלמקאבלה,0
ומא,0
נחי,0
הד'א,0
"אלנחו,",0
בל,0
הי,0
עלי,0
אלחקיקה,0
אקואל,0
מוצ'ועה,0
לא,0
דליל,0
עליהא,0
אכת'ר,0
מן,0
אלדעוי.,0
אמא,0
חרהא,0
וברדהא,0
ורטובתהא,0
ויבוסתהא,0
פהד'ה,0
מן,0
אפעאלהא,0
מא,0
לא,0
"ננכרה,",0
מת'ל,0
חר,0
אלשמס,0
וברד,0
אלקמר,0
אלד'ין,0
תקע,0
עליהמא,0
אלחואס,0
ויט'הרהמא,0
אלשאהד.,0
ומן,0
טבאיע,0
אלחיואן,0
אלחמל,0
ואלולאד,0
קאל,0
פיה,0
הידעת,1
עת,1
לדת,1
יעלי,1
סלע.,1
ומן,0
אכ'לאקה,0
קצהֿ,0
אלאיל,0
אלתי,0
אד'א,0
ולדת,0
תכ'אף,0
עלי,0
אולאדהא,0
אן,0
תתרכהא,0
ותהרב,0
פתפצ'ך',0
בעץ',0
אעצ'אהא,0
חתי,0
תלג'ו,0
אלי,0
אלמקאם,0
פי,0
"מוצ'עהא,",0
כקולה,0
תכרענה,1
ילדיהן,1
תפלחנה.,1
ת'ם,0
בעד,0
דלך,0
תשפי,0
מן,0
ד'לך,0
אלתפצ'יך',0
כקולה,0
יחלמו,1
ביניהם.,1
ולפט'הֿ,0
"יחלמו,",0
מענאהא,0
"שפא,",0
כקול,0
חזקיה,0
ותחלימני,1
