word,is_he
",",0
פסרתה,0
למעא.,0
פסוק,0
יט,0
ועברת,0
ידכאום,1
לפני,1
"עש,",1
"ידכון,",0
מת'ל,0
קול,0
ירמיה,1
לא,1
דכאו,1
עד,1
היום,1
"הזה,",1
ואיצ'א,0
לדכא,1
תחת,1
"רגליו,",1
ואת,1
דכא,1
ושפל,1
"רוח,",1
אלד'י,0
ג'מיעה,0
"דכוך,",0
יעני,0
אנכ'פאץ',0
"וצ'עף,",0
וכד'לך,0
ידכה,1
"ישח,",1
ואשבאההא,0
כ'תיר.,0
וג'עלת,0
מעני,0
עש,0
"נג'ומא,",0
כמא,0
אן,0
כסיל,0
ועלי,0
אנה,0
נג'מא,0
ואחדא,0
ישאר,0
בה,0
פי,0
מואצ'ע,0
אכ'ר,0
עלי,0
ג'מלהֿ,0
נג'ום,0
כמא,0
קאל,0
כי,1
כוכבי,1
השמים,1
הם.,0
פסוק,0
כ,0
ויתבין,0
מעני,0
מבלי,1
משים,1
לנצח,1
