word,is_he
העיסה,0
עצמה,0
חייבת,0
"בחלה,",0
יעני,0
אנה,0
אד'א,0
עג'ן,0
מא,0
בקי,0
מן,0
אלדקיק,0
בעד,0
אכ'ראג',0
אלחלה,0
דקיק,0
"בזעמה,",0
ילזם,0
תלך,0
אלעג'נה,0
אלחלה.,0
וד'לך,0
אלדקיק,0
אן,0
כאן,0
פיה,0
חמשת,1
רבעים,1
אלד'י,0
הו,0
שעור,1
חלה,1
כמא,0
יבין,0
ועג'ן,0
ילזמה,0
איצ'א,0
"חלה,",1
ותלך,0
אלחלה,0
אסורה,1
לזרים,1
כחכם,0
כל,0
חלה.,1
וליס,0
נקול,0
לא,0
ילזם,0
להד'ה,0
אלעג'נה,0
חלה,1
אד',0
דקיקהא,0
עלי,0
חלה,1
כאנת,0
אלבניה,0
פיה,0
ולם,0
יצח,0
ד'לך,0
בל,0
אכ'רג'ת,0
אלחלה,0
מן,0
"אלעג'ין,",0
פכאן,0
תלך,0
אלחלה,0
אלאולי,0
ען,0
ג'מלהֿ,0
אלדקיק,0
אכ'רג'ת,0
ען,0
אלד'י,0
עג'ן,0
מנה,0
וען,0
אלד'י,0
אכרג',0
ען,0
חלה.,1
אמרו,1
לו,1
מעשה,1
וקפשה,1
זקן,1
"זר,",1
וקפשה,1
וכבשה,1
"סוי,",0
וכד'א,0
ג'א,0
פי,0
מואצ'ע,0
במעני,0
"ואחד,",0
ואלגרץ',0
אנה,0
אכלהא,0
דליל,0
אן,0
ליס,0
הי,0
מת'ל,0
כל,0
"חלה,",1
ואן,0
הד'א,0
אלדקיק,0
אלד'י,0
אכ'רג',0
ען,0
חלה,1
אינו,1
חייב,1
בחלה,1
חיוב,1
"גמור,",1
לאנה,0
לו,0
כאן,0
חייב,1
כסאיר,0
אלעיסות,0
למא,0
ג'אז,0
לזר,0
אן,0
יתמסך,0
בתלך,0
אלחלה.,0
אמר,1
להם,1
אף,1
הוא,1
קלקל,1
"לעצמו,",1
אלד'י,0
אכל,0
תלך,0
אלחלה,0
לאנה,0
את'ם.,0
ותקן,1
"לאחרים,",1
לאנהם,0
ט'נוא,0
אן,0
לא,0
ילזם,0
ד'לך,0
אלדקיק,0
חלה,1
והו,0
ילזמה.,0
והו,0
קולהם,0
פי,0
אלתלמוד,0
קלקל,1
לעצמו,1
דאכלה,1
"ואענש,",1
ותקן,1
לאחרים,1
דאינון,1
אכלין,1
ותולין,1
ביה.,1
והלכה,1
כר',1
יהושע.,1
