word,is_he
"ענקוקלות,",0
שרחוה,0
פי,0
אלתלמוד,0
אנה,0
אלענב,0
אלד'י,0
לם,0
יכמל,0
נצ'ג'ה,0
ואפסדה,0
אלריח,0
אלמפסד,0
"לאלת'מאר,",0
והו,0
קולהם,0
ענבין,1
דלקין,1
תלתיהון.,1
"וחרצנין,",1
אלעג'ם.,0
"וזוגין,",1
אלקשר,0
אלד'י,0
עלי,0
אלענב.,0
והתמד,1
"שלהן,",1
יעני,0
נקיע,0
ת'גיר,0
"אלענב,",0
וקד,0
בינא,0
ד'לך,0
פי,0
תרומות.,1
וקלפי,1
"רמון,",1
קשרה,0
אלכ'ארג'.,0
והנץ,1
"שלו,",1
נוארה.,0
"וגלענין,",1
וגרענין,0
"סוי,",0
והי,0
אלנוא,0
מן,0
כל,0
מא,0
לה,0
נוא,0
מת'ל,0
אלתמר,0
ואלזיתון,0
ואלכ'וך',0
ומא,0
אשבההא.,0
ואנמא,0
חרמאן,0
הד'ה,0
כלהא,0
באשרה,0
פקד,0
קלנא,0
דליל,0
ד'לך,0
והו,0
קולה,0
ולא,1
ידבק,1
בידך,1
מאומה.,1
וחרמאן,0
איצ'א,0
ענקוקלות,1
וחרצנים,1
וזוגין,1
ונקיעהא,0
עלי,0
אלנזיר,0
פד'לך,0
נץ,0
מחרצנים,1
ועד,1
זג,1
לא,1
"יאכל,",1
וקאל,0
חומץ,1
יין,1
וחומר,1
שכר,1
לא,1
ישתה,1
וכל,1
משרת,1
ענבים.,1
וחרם,1
בערלה,1
קלפי,1
רמון,1
והנץ,1
"שלו,",1
ליס,0
בכונהא,0
"פרי,",1
אלא,0
בכונהא,0
תצלח,0
לאלצבאג,0
ולא,0
יחל,0
אלצבאג,0
"באלערלה,",0
קאלוא,0
פי,0
ספרא,1
לא,1
"יאכל,",1
אין,1
לי,1
אלא,1
שלא,1
"יאכל,",1
מנין,1
שלא,1
יצבע,1
ולא,1
"יהנה,",1
תלמוד,1
לומר,1
וערלתם,1
ערלתו,1
ערלים,1
לרבות,1
את,1
כולם.,1
וחלת,0
כלהא,0
בנטע,1
רבעי,1
לאן,0
נטע,1
רבעי,1
ליס,0
הו,0
אסור,1
"בהנאה,",1
ואנמא,0
הו,0
מת'ל,0
מעשר,1
שני,1
יאכל,1
לבעליו,1
כמא,0
בינא,0
פי,0
מסכת,1
מעשר,1
"שני,",1
פלא,0
יתקדש,1
בו,1
אלא,1
פרי,1
יצלח,0
לאלאכל.,0
ואלד'י,0
יסקט,0
מן,0
אלת'מאר,0
מן,0
אלפג',0
כלה,0
יחרם,0
פי,0
אלג'מיע,0
אעני,0
בערלה,1
וברבעי,1
ובאשרה,1
"ובנזיר,",1
וד'לך,0
בין.,0
