word,is_he
יציאת,1
"מצרים,",1
יכני,0
בהא,0
ען,0
פרשת,1
ציצית,1
אלד'י,0
קאל,0
אללה,0
פיהא,0
אשר,1
הוצאתי,1
אתכם,1
מארץ,1
מצרים.,1
ואלקיאס,0
כאן,0
יעטי,0
אן,0
לא,0
תקרי,0
הד'ה,0
אלפרשה,0
"באלליל,",0
לאן,0
מצות,1
ציצית,1
גיר,0
לאזמה,0
באלליל,0
לקול,0
אללה,0
וראיתם,1
"אותו,",1
וקת,0
אלרויה,0
כמא,0
ג'א,0
"אלנקל,",0
לולא,0
יציאת,1
מצרים,1
אלתי,0
פיהא,0
פתקרי,0
בסבבהא.,0
ואנמא,0
קול,0
ר',1
אלעזר,1
בן,1
עזריה,1
הרי,1
אני,1
כבן,1
שבעים,1
שנה,1
ולם,0
יקל,0
בן,1
שבעים,1
"שנה,",1
לאנה,0
לם,0
יכן,0
אבן,0
"סבעין,",0
בל,0
צגיר,0
"אלסן,",0
לכנה,0
כאן,0
יכת'ר,0
אלדרס,0
ואלעלם,0
ואלקראה,0
לילא,0
"ונהארא,",0
אלי,0
אן,0
צ'עפת,0
קוי,0
"ג'סמה,",0
ושאב,0
וצאר,0
כשיך',0
אבן,0
סבעין,0
"עאמא,",0
וכאן,0
בדאה,0
אלשיב,0
באכ'תיארה,0
כמא,0
תבין,0
פי,0
"אלתלמוד,",0
פקאל,0
"מתעג'בא,",0
אני,0
עלי,0
כת'רהֿ,0
אג'תהאדי,0
ומכ'אלטתי,0
לאהל,0
אלעלם,0
מא,0
זכית,0
לנעלם,0
אלאשארה,0
פי,0
אלנץ,0
אלי,0
לזום,0
קראהֿ,0
פרשת,1
ציצית,1
"באלליל,",0
עד,1
שדרשה,1
בן,1
זומא.,1
