word,is_he
שרח,0
"עין,",1
אלגרץ'.,0
ובינוא,0
ד'לך,0
בהד'א,0
"אלנץ,",0
הביננו,1
ה',1
אלהינו,1
לדעת,1
את,1
"דרכיך,",1
ומול,1
את,1
לבבינו,1
"ליראתך,",1
לסולח,1
היה,1
"לנו,",1
להיות,1
"גאולים,",1
רחקינו,1
"ממכאוב,",1
ודשנינו,1
ושכנינו,1
בנאות,1
"ארצך,",1
ונפוצים,1
מארבע,1
"תקבץ,",1
והתועים,1
בדעתך,1
"ישפטו,",1
ועל,1
הרשעים,1
תניף,1
"ידך,",1
וישמחו,1
צדיקים,1
בבנין,1
"עירך,",1
ובתיקון,1
"היכלך,",1
ובצמיחת,1
קרן,1
לדוד,1
"עבדך,",1
ועריכת,1
נר,1
לבן,1
ישי,1
"משיחך,",1
טרם,1
נקרא,1
ואתה,1
"תענה,",1
טרם,1
נדבר,1
ואתה,1
תשמע,1
כי,1
אתה,1
הוא,1
העונה,1
בכל,1
עת,1
צרה,1
וצוקה,1
פודה,1
ומציל,1
מכל,1
"צוקה,",1
ברוך,1
אתה,1
ה',1
שומע,1
תפלה.,1
ושלש,1
ראשונות,1
ושלש,1
אחרונות,1
לא,0
יזיד,0
פיהא,0
ולא,0
ינקץ,0
מנהא.,0
וקטוע,0
אלהלכה,0
אן,0
לא,0
תצלא,0
הביננו,0
והי,0
הי,0
מעין,1
שמנה,1
עשרה,1
גיר,0
בשעת,1
הדחק.,1
ושרח,0
"שגרה,",1
"אטרדת,",0
יעני,0
לם,0
יתלג'לג',0
לסאנה.,0
והלכה,1
כר',1
עקיבה.,1
