word,is_he
יריד,0
בקולה,0
הנא,0
"קבע,",1
אן,0
יג'על,0
צלאתה,0
כמן,0
יתנאול,0
שגלא,0
כלפה,0
ליסתרח,0
מנה,0
ויזול,0
ענה,0
ת'קלה.,0
וקולה,0
ואומר,1
הושע,1
ה',1
וכו',1
ליס,0
הד'א,0
אלכלאם,0
שיא,0
זאידא,0
עלי,0
תפלה,1
"קצרה,",1
ואנמא,0
הו,0
תביין,0
תפלה,1
קצרה,1
מא,0
הי.,0
וקולה,0
פרשת,1
"העיבור,",1
בינוא,0
פי,0
אלתלמוד,0
אנה,0
מאכ'וד',0
מן,0
"עברה,",0
ומענאה,0
אן,0
ולו,0
וקת,0
אלגצ'ב,0
בין,0
ידיך,0
תרצ'י,0
ענהם,0
ותקצ'י,0
מטאלבהם.,0
ואין,1
הלכה,1
כר',1
יהושע.,1
ואנמא,0
נץ,0
אלצלאה,0
אלתי,0
תצלי,0
וקת,0
אלגרר,0
ואשתגאל,0
אלנפס,0
"הכד'א,",0
צרכי,1
עמך,1
ישראל,1
מרובין,1
ודעתן,1
"קצרה,",1
יהי,1
רצון,1
מלפניך,1
ה',1
אלהינו,1
שתתן,1
לכל,1
אחד,1
ואחד,1
כדי,1
"פרנסתו,",1
ולכל,1
גויה,1
וגויה,1
די,1
"מחסורה,",1
והטוב,1
בעיניך,1
"עשה,",1
ברוך,1
אתה,1
ה',1
שומע,1
תפלה.,1
ויצליהא,0
מאשיא,0
וראכבא,0
וכיף,0
"אתפק,",0
ולא,0
רכוע,0
"פיהא,",0
ואד'א,0
הגיע,1
לישוב,1
ובקי,0
וקת,0
ימכן,0
פיה,0
ג'בר,0
תלך,0
אלצלאה,0
פהו,0
יצליהא,0
כמא,0
ינבגי.,0
