word,is_he
מן,0
שאן,0
אלבצל,0
אד'א,0
לחקתה,0
נדוה,0
בעד,0
קלעה,0
מן,0
אלארץ',0
ינבת,0
ויכ'רג',0
קלובא,0
"כ'צ'רא,",0
ומנה,0
נוע,0
לא,0
יעתריה,0
"ד'לך,",0
והד'א,0
אלנוע,0
הו,0
אלד'י,0
יתסמי,0
בצלים,1
הסריסים,1
תשביהא,0
באלסריס,0
אלד'י,0
לא,0
ינסל.,0
ולא,0
יזרע,0
הד'י,0
אלנוע,0
גיר,0
פי,0
אלארץ',0
"אלסקא,",0
ולד'לך,0
קאל,0
פי,0
נט'יר,0
ד'לך,0
ושלבעל.,1
ושרח,0
שתי,1
"עונות,",1
"וקתין,",0
יעני,0
"סקיתין,",0
לאנהא,0
תסקי,0
ען,0
איאם,0
"מעלומה,",0
ואנמא,0
יקטע,0
אלסקי,0
ענהא,0
ענד,0
מא,0
תכמל,0
ויראד,0
קלעהא,0
מן,0
אלארץ',0
ומעני,0
קולה,0
לשעבר,1
ולהבא,1
"ובשביעית,",1
בין,0
ג'דא,0
ממא,0
תקדם,0
לנא,0
מן,0
אלכלאם,0
פי,0
קולה,0
האורז,1
והדוחן,1
וכו'.,1
והלכה,1
כחכמים.,1
