word,is_he
"מדרגות,",1
דרג'.,0
"וגאיות,",1
"כ'נאדק,",0
פאד'א,0
בני,0
אלדרג',0
עלי,0
תלך,0
אלכ'נאדק,0
וטאהא,0
ואצלחהא.,0
לא,1
יסמוך,1
"בעפר,",1
לא,0
ירד,0
אלתראב,0
לד'לך,0
אלכ'נדק,0
חתי,0
"יסויה,",0
"וחיץ,",1
חאג'ז,0
יעני,0
אן,0
יחג'ז,0
ד'לך,0
אלכ'נדק,0
מן,0
ג'מלהֿ,0
"אלארץ',",0
ואלחג'ארה,0
אלתי,0
תכון,0
קריבה,0
מן,0
פם,0
אלכ'נדק,0
חתי,0
ימכנה,0
אן,0
ימד,0
ידה,0
ויאכ'ד'הא,0
פיג'וז,0
לה,0
"אכ'ד'הא,",0
ומא,0
לא,0
ימכן,0
אכ'ד'הא,0
חתי,0
יהבט,0
פי,0
אלכ'נדק,0
פלא,0
יג'וז,0
"אכ'ד'הא,",0
לאנא,0
אד'א,0
ראינאה,0
תכלף,0
אלהבוט,0
או,0
תדליהֿ,0
נפסה,0
ואכ'ד'הא,0
קלנא,0
אן,0
לצלאח,0
אלארץ',0
יקצד.,0
