word,is_he
סוי,0
כאנת,0
עדשים,1
של,1
תרומה,1
ובצל,1
"חולין,",1
או,0
כאן,0
בצל,1
של,1
תרומה,1
ועדשים,1
חולין.,1
ובשרט,0
אן,0
ירמי,0
הד'א,0
אלבצל,0
אלצחיח,0
פי,0
אלעדס,0
בעד,0
טבכ'הא,0
וכ'רוג',0
"מאהא,",0
לאנהא,0
בעד,0
ד'לך,0
תקבץ',0
ולא,0
תתרך,0
אלבצל,0
ירמי,0
מן,0
קותה,0
שיא,0
"פיהא,",0
ולא,0
יאכ'ד',0
איצ'א,0
מן,0
קוהֿ,0
אלעדס.,0
אמא,0
אן,0
טבך',0
אלבצל,0
פי,0
אלעדס,0
ולו,0
כאן,0
שלם,1
ימתחן,0
בנותן,1
טעם.,1
והד'א,0
אלאמתחאן,0
עלי,0
מא,0
"אצף,",0
וד'לך,0
אנה,0
אן,0
רמי,0
בצל,1
של,1
תרומה,1
לתוך,1
עדשים,1
של,1
חולין,1
יטעם,0
"אלעדס,",0
פאן,0
וג'ד,0
פיה,0
מטעם,0
אלבצל,0
חרם,0
אכל,0
תלך,0
אלעדס,0
אלא,1
לכהן.,1
ואנה,0
אלד'י,0
רמי,0
בצל,1
של,1
חולין,1
לעדשים,1
של,1
תרומה,1
פיטעם,0
"אלבצל,",0
פאן,0
וג'ד,0
פיה,0
מטעם,0
אלעדס,0
חרם,0
אכלה,0
אלא,1
לכהן.,1
"וצחנה,",1
הי,0
"אלנתונה,",0
קאל,0
אלכתאב,0
ותעל,1
צחנתו.,1
ומן,0
שאן,0
אלבצל,0
אד'א,0
טבך',0
מע,0
אלשי,0
אלנתן,0
אזאל,0
זהומתה,0
ואצלח,0
ראיחתה,0
בעץ',0
אלאצלאח.,0
פיקול,0
ר',1
יהודה,1
אנה,0
אד'א,0
טבך',0
בצל,1
של,1
תרומה,1
פי,0
טעאם,0
מנתן,0
פיג'וז,0
אכל,0
ד'לך,0
"אלטעאם,",0
לאן,0
לם,0
ירם,0
פיה,0
אלבצל,0
ליטעם,0
פיה,0
מטעם,0
"אלבצל,",0
ואנמא,0
רמאה,0
פיה,0
ליזיל,0
"זהומתה,",0
ולד'לך,0
לא,0
נמתחנה,0
בנותן,1
טעם.,1
ואין,1
הלכה,1
כר',1
יהודה.,1
