word,is_he
שמן,1
"שריפה,",1
הו,0
שמן,1
תרומה,1
"שנטמא,",1
לאנה,0
לא,0
יחל,0
אכלה,0
כמא,0
בינא,0
"מראת,",0
ואנמא,0
חכמה,0
אן,0
יחרק,0
פקט.,0
וקולה,0
ברשות,1
"כהן,",1
יעני,0
ען,0
אד'נה,0
חתי,0
יביח,0
לנא,0
ד'לך.,0
ור',1
יהודה,1
יג'יז,0
שעילה,0
פי,0
בית,1
המשתה,1
לאן,0
אואניהם,0
נקיה,0
אעני,0
אלאואני,0
אלתי,0
יאכלון,0
פיהא,0
וישרבון,0
פי,0
"אלערס,",0
פלא,0
יצרפונה,0
פי,0
אואניהם,0
ולא,0
יאכלונה.,0
ויחרם,0
שעילה,0
בבית,1
האבל,1
לכון,0
אואניהם,0
קד'רה,0
גיר,0
"נט'יפה,",0
פקד,0
רב,0
מא,0
תצרפו,0
בה,0
פי,0
גיר,0
אלשעיל.,0
ור',1
יוסי,1
יקול,0
בבית,1
האבל,1
לא,0
יתצרפון,0
בה,0
פי,0
טעאם,0
או,0
מא,0
אשבהה,0
לחזן,0
אנפסהם,0
פלא,0
ישתגלון,0
בטעאם,0
ולא,0
"בגירה,",0
ובבית,1
המשתה,1
לפרחהם,0
קד,0
רב,0
מא,0
תצרפו,0
בה,0
פי,0
גיר,0
אלשעיל.,0
ור',1
מאיר,1
יחרם,0
בבית,1
המשתה,1
מן,0
עלהֿ,0
אלפרח,0
כמא,0
קאל,0
ר',1
"יוסי,",1
ויחרם,0
איצ'א,0
בבית,1
האבל,1
מן,0
עלהֿ,0
קד'ארהֿ,0
אלאואני,0
כמא,0
קאל,0
ר',1
יהודה.,1
ור',1
שמעון,1
יחלל,1
בבית,1
המשתה,1
לנקאוהֿ,0
"אואניהם,",0
ובבית,1
האבל,1
לחזן,0
"אנפסהם,",0
פלא,0
ישתגלון,0
בשי,0
ולא,0
יקרבונה.,0
ואנמא,0
אכ'תלפוא,0
כלהם,0
בבית,1
האבל,1
ובבית,1
המשתה,1
לכת'רהֿ,0
אכ'תלאט,0
אלאידי,0
ואשתגאל,0
אלנאס,0
באלג'מוע,0
אלתי,0
תג'תמע,0
הנאך,0
פיחדת',0
אלסהו.,0
או,0
לכון,0
אלוקיד,0
הנאך,0
פיה,0
מצוה,0
מת'ל,0
על,1
גבי,1
החולים.,1
והלכה,1
כר',1
שמעון.,1
