word,is_he
קאל,0
אללה,0
ואיש,1
כי,1
יאכל,1
קדש,1
בשגגה,1
ויסף,1
חמישיתו,1
"עליו,",1
והד'א,0
אלכ'מס,0
הו,0
רבע,0
מא,0
אכל,0
אלד'י,0
הו,0
כ'מס,0
אלג'מיע.,0
מת'אל,0
ד'לך,0
אן,0
אכל,0
מא,0
יסוי,0
"דרהם,",0
פיגרם,0
מא,0
יסוי,0
דרהם,0
ורבע,0
דרהם.,0
וכד'לך,0
ג'מיע,0
אלחומשין,0
אלמד'כורה,0
פי,0
אלתורה,0
הד'א,0
הו,0
"חכמהא,",0
והו,0
מעני,0
קולהם,0
עד,1
שיהא,1
הוא,1
וחומשו,1
חמשה.,1
"וקרן,",1
הו,0
אלאצל,0
אלד'י,0
אכל.,0
וקאל,0
אללה,0
ולא,1
יחללו,1
את,1
קדשי,1
בני,1
"ישראל,",1
וקאלוא,0
להביא,1
את,1
הסך,1
ואת,1
"השותה,",1
מע,0
אן,0
אלאצל,0
ענדנא,0
שתיה,1
בכלל,1
אכילה,1
מן,0
קולה,0
בבקר,1
ובצאן,1
וביין,1
ובשכר,1
וכו',1
וקאל,0
ואכלת.,1
וכד'לך,0
אלתדהן,0
קרן,1
באלוארד,0
לדאכ'ל,0
אלג'סם,0
פי,0
קולה,0
כמים,1
בקרבו,1
וכשמן,1
בעצמותיו.,1
וקולה,0
חומשה,1
וחומש,1
"חומשה,",1
יעני,0
אנה,0
אד'א,0
אכל,0
איצ'א,0
בשגגה,1
ד'לך,0
אלחומש,0
אלד'י,0
הוסיף,1
יזיד,0
איצ'א,0
עליה,0
"כ'מסה,",0
לאן,0
חכמה,0
וחכם,0
אלתרומה,0
"סוי,",0
והד'א,0
אלמעני,0
איצ'א,0
הו,0
אלד'י,0
קאל,0
אללה,0
ענה,0
פי,0
גיר,0
הד'ה,0
אלקצה,0
וחמישיתיו,1
יוסיף,1
"עליו,",1
וקאלוא,0
מלמד,1
שהוא,1
מוסיף,1
חומש,1
על,1
חומש.,1
וקולה,0
ואינו,1
משלם,1
"תרומה,",1
לאן,0
אלתרומה,0
"לאלכהן,",0
ואלשי,0
אלד'י,0
אכל,0
דין,0
"עליה,",0
ולא,0
יגרם,0
דינה,0
מן,0
מאל,0
גירה.,0
וחולין,1
"מתוקנין,",1
הו,0
אן,0
יכון,0
קד,0
אכ'רג',0
מנהא,0
אלתרומה,0
וג'מיע,0
"אלמעשרות,",0
וקד,0
בינא,0
ד'לך,0
פי,0
אכ'ר,0
דמאי.,1
והן,1
נעשין,1
"תרומה,",1
יעני,0
אן,0
תלך,0
אלחולין,0
אלתי,0
יגרם,0
נחסבהא,0
תרומה.,1
והתשלומין,1
"תרומה,",1
יעני,0
אן,0
חכם,0
אלד'י,0
ישלם,1
כאחכאם,0
אלתרומה,0
עלי,0
אלכמאל,0
למעני,0
אלדמוע,0
וגירה.,0
