word,is_he
"חסיות,",1
אסם,0
ואקע,0
עלי,0
אלת'ום,0
ואנואע,0
אלבצל.,0
וקאלוא,0
פי,0
אלתוספתא,0
אלו,1
הן,1
החסיות,1
השום,1
והלוף,1
והבצלים,1
והקפלוטות.,1
וקפלוטות,1
הו,0
אלכראת',0
אלשאמי.,0
"והמנכש,",1
מן,0
ינקי.,0
וקד,0
תקדם,0
לנא,0
אלאצל,0
אין,1
קנין,1
לגוי,1
בארץ,1
ישראל,1
להפקיע,1
את,1
המעשרות.,1
פאד'א,0
כאן,0
ד'לך,0
כד'לך,0
צארת,0
פירותיו,1
טבלים.,1
ואנמא,0
ד'כר,0
הד'א,0
אלפקה,0
הנא,0
למא,0
תקדם,0
לה,0
ד'כר,0
הלוף,1
והשום,1
והבצלים.,1
ושתלי,1
תרומה,1
"שנטמאו,",1
הו,0
אן,0
תנתג'ס,0
קבל,0
"אלזראעה,",0
פלא,0
יחל,0
אכלהא,0
לכונהא,0
תרומה,1
"טמאה,",1
ואנמא,0
חכמהא,0
אן,0
תחרק.,0
פאן,0
זרעהא,0
פאלשי,0
אלד'י,0
ינבת,0
טאהר,0
"הו,",0
וליס,0
נקול,0
גדולי,1
תרומה,1
טמאה,1
תרומה,1
טמאה.,1
לכן,0
תלך,0
אלגדולין,0
אסורין,1
באכילה,1
ואפילו,1
לכהנים.,1
וקד,0
אעתרצ'וא,0
פי,0
אלתלמוד,0
וקאלוא,0
וכי,1
מאחר,1
דטהרו,1
אמאי,1
אסורין,1
"באכילה,",1
וכאן,0
פך,0
הד'א,0
אלאעתראץ',0
באצול,0
ענדנא,0
והי,0
אין,1
זריעה,1
להקדש,1
ואין,1
זריעה,1
לתרומה.,1
ומעני,0
הד'א,0
אלכלאם,0
אן,0
אלהקדש,0
אלד'י,0
יחרם,0
עלי,0
אלנאס,0
אלאסתנפאע,0
בה,0
אד'א,0
זרע,0
פליס,0
נקול,0
גדוליו,1
מותרין.,1
וכד'לך,0
אלתרומה,0
אלתי,0
לא,0
יחל,0
אכלהא,0
אד'א,0
זרעת,0
פליס,0
נקול,0
פי,0
נבאתהא,0
אנה,0
חל,0
"אכלה,",0
בל,0
תבקי,0
חראם,0
"לאלאכל,",0
לכנהא,0
לא,0
תנג'ס,0
כמא,0
תנג'ס,0
אוכלין,1
טמאין.,1
פאן,0
הו,0
אלד'י,0
קטע,0
אלאוכל,0
מן,0
תלך,0
אלשתלים,0
ואנבת,0
שי,0
ת'אן,0
פיחל,0
אכלה.,0
ור',1
יהודה,1
יקול,0
ויחתאג',0
איצ'א,0
אן,0
יקטע,0
מא,0
נבת,0
פי,0
אלמרה,0
"אלת'אניה,",0
וחיניד',0
יחל,0
אכלהא.,0
והד'א,0
אלד'י,0
נקול,0
יחל,0
אכלהא,0
אלאמר,0
פיה,0
ראג'ע,0
למא,0
תקדם,0
מן,0
"אלפקה,",0
וד'לך,0
אנה,0
אן,0
כאנת,0
הד'ה,0
אלשתלים,0
דבר,1
שזרעו,1
כלה,1
פיחל,0
אכלהא,0
לזרים.,0
ואן,0
כאן,0
דבר,1
שאין,1
זרעו,1
כלה,1
פתחרם,0
עלי,0
"אלזרים,",0
ותחל,0
לאלכהנים,0
בעד,0
קטע,0
אלאכל.,0
והלכה,1
כר',1
יהודה.,1
