word,is_he
"משינקדו,",0
מנד',0
תתנקט,0
נקט,0
סודא.,0
"והאגסים,",1
אלאג'אץ.,0
"וקרוסטמלין,",1
אלכמת'רי.,0
"פרישין,",1
אלספרג'ל.,0
"עוזררין,",1
אלעזרור.,0
וקד,0
תקדם,0
לנא,0
שרח,0
הד'ה,0
אלאסמא.,0
"משיקרחו,",1
מנד',0
תציר,0
פיהא,0
למע,0
"ביצ'א,",0
וד'לך,0
אנמא,0
יכון,0
אד'א,0
זאל,0
אלזגב,0
"ענהא,",0
ולד'לך,0
קאל,0
משיקרחו,1
מן,0
קרחת,1
והו,0
זואל,0
אלשער,0
מן,0
אלראס.,0
וקאלוא,0
פי,0
אלתלמוד,0
"משינקדו,",1
משיעשו,1
נקודות,1
נקודות,1
שחורות.,1
"משיקרחו,",1
משיעשו,1
קרחות,1
לבנות.,1
תלתן,1
כדי,1
"שתצמח,",1
קאלוא,0
כדי,1
שתזרע,1
"ותצמח,",1
יעני,0
אן,0
תכון,0
הד'ה,0
אלחלבא,0
אד'א,0
אכ'ד',0
בזרהא,0
וזרע,0
נבת.,0
ויערף,0
ד'לך,0
קאלוא,0
ענדהם,0
באן,0
יאכ'ד',0
מן,0
ד'לך,0
אלבזר,0
וירמי,0
פי,0
"אלמא,",0
פאן,0
גאץ,0
פי,0
אלמא,0
מעט'ם,0
כל,0
חבה,0
מן,0
ד'לך,0
אלבזר,0
פהי,0
תנבת,0
אד'א,0
זרעת,0
וקד,0
באו,1
לעונת,1
המעשרות.,1
וקד,0
בינא,0
פי,0
מסכת,1
שביעית,1
מעני,0
קולה,0
משיכניסו,1
"שליש,",1
עלי,0
מא,0
כ'צץ,0
אלתלמוד.,0
וכאן,0
אלד'י,0
צח,0
מן,0
ד'לך,0
אנה,0
אד'א,0
אכ'רג'ת,0
תסע,0
מא,0
תכ'רג',0
אד'א,0
אנתהי,0
טיבהא,0
וכמל,0
נצ'ג'הא.,0
