word,is_he
"מדינה,",1
תתסמי,0
כל,0
מדינה,1
מן,0
מדן,0
אלשאם,0
גיר,0
ירושלם.,1
ואלגרץ',0
אנה,0
אד'א,0
כאנת,0
אלפירות,0
או,0
אלמעות,0
חוץ,1
לירושלם,1
ימכנה,0
"אלחלול,",0
ואנמא,0
אסמענא,0
אן,0
ליס,0
מן,0
שרוט,0
אלחלול,0
אן,0
תחצ'ר,0
אלפירות,0
ואלמעות,0
פי,0
מוצ'ע,0
ואחד.,0
ואסמענא,0
איצ'א,0
אן,0
חלול,1
מעות,1
מעשר,1
שני,1
ג'איז,0
פי,0
ירושלם.,1
אמא,0
פדית,0
פירות,1
מעשר,1
שני,1
בירושלם,1
פלא,0
תג'וז,0
כמא,0
יבין,0
פי,0
הד'א,0
אלפרק.,0
וסיבין,0
לך,0
אלפרק,0
בין,0
אלפירות,0
ואלמעות,0
פי,0
מא,0
בעד.,0
