word,is_he
קולה,0
"בפנים,",1
לפנים,1
מחומת,1
ירושלם.,1
"ובחוץ,",1
חוץ,1
לחומת,1
ירושלם.,1
וקולה,0
מכנגד,1
החומה,1
ולפנים,1
"כלפנים,",1
למעני,0
אכילת,1
"מעשר,",1
וד'לך,0
אנה,0
אד'א,0
כאן,0
אלאילן,0
עומד,1
בפנים,1
ונופו,1
נוטה,1
לחוץ,1
פלא,0
יג'וז,0
לה,0
אן,0
יאכל,0
אלמעשר,0
תחת,1
הנוף,1
אלא,1
לפנים,1
מן,1
החומה.,1
ולא,0
יג'וז,0
לה,0
איצ'א,0
יפדיה,0
אעני,0
למעשר,1
שני,1
מנד',0
יחצל,0
תחת,1
"הנוף,",1
וכאנה,0
חצל,0
פי,0
ירושלם,1
למעני,0
אנה,0
לא,0
"יפדה,",1
והד'א,0
הו,0
מעני,0
קולה,0
פי,0
אלפרק,0
אלת'אלת',0
מן,0
אלמסכתא,0
אלמתקדמה,0
קבל,0
הד'ה,0
ובירושלם,1
הכל,1
הולך,1
אחר,1
"הנוף,",1
וקד,0
בינא,0
ד'לך,0
הנאך.,0
אמא,0
למעני,0
אכלה,0
פלא,0
יג'וז,0
אכלה,0
חתי,0
יכנס,0
לפנים,1
מן,1
"החומה,",1
והד'א,0
לחומרא,1
מן,0
אלוג'הין,0
ג'מיעא.,0
בתי,1
הבדים,1
שפתחיהם,1
בפנים,1
וחללן,1
"לחוץ,",1
חללן,1
"פצ'אהא,",0
והד'א,0
מת'אלהא.,0
וקול,0
בית,1
שמאי,1
הכל,1
"כלפנים,",1
"לחומרא,",1
וכד'א,0
באן,0
פי,0
אלתוספתא,0
אעני,0
אנה,0
לא,0
יפדה,1
בהן,0
מעשר,1
שני,1
ולא,1
יאכל.,1
ובית,1
הלל,1
יקולון,0
מכנגד,1
החומה,1
ולפנים,1
"כלפנים,",1
יג'וז,0
אן,0
יוכל,0
פיה,0
אלמעשר,0
ואלקדשים,0
ולא,1
יפדה,1
בו,1
מעשר,1
שני.,1
ומכנגד,1
החומה,1
ולחוץ,1
"כלחוץ,",1
אנה,0
יג'זז,0
לה,0
אן,0
יפדי,0
פיה,0
מעשר,1
שני,1
ולא,0
יג'וז,0
אכלה,0
הנאך.,0
וקולה,0
בתי,1
"הבדים,",1
לאן,0
אלביות,0
אלמעלומה,0
אבדא,0
אן,0
תכון,0
עלי,0
הד'ה,0
אלצורה,0
אעני,0
פי,0
סור,0
אלמדינה,0
אנמא,0
הי,0
בתי,1
הבדים.,1
