word,is_he
"חייט,",1
אלכ'יאט.,0
"ומחט,",1
אלאברה.,0
"ולבלר,",1
אלכאתב.,0
"וקולמוס,",1
אלקלם.,0
יפלה,1
את,1
"כליו,",1
יפלי,0
"ת'יאבה,",0
כ'שיתנא,0
אן,0
יצלח,0
אלקנדיל,0
ולו,0
כאן,0
אלקנדיל,0
פי,0
נהאיה,0
מן,0
אלארתפאע.,0
וכד'לך,0
לא,0
יג'וז,0
לה,0
אן,0
יקרי,0
לצ'ו,0
אלסראג',0
אלא,0
אן,0
יכון,0
מעה,0
שכ'ץ,0
אכ'ר,0
יחרסה,0
ללא,0
יצלח,0
אלסראג'.,0
החזן,1
"רואה,",1
הו,0
אן,0
יאכ'ד',0
מעלם,0
אלצביאן,0
אלמצחף,0
פי,0
ידה,0
וינט'ר,0
לאלסראג',0
אול,0
אלפרשה,0
אלד'י,0
יבדי,0
מע,0
אלצביאן,0
וד'לך,0
כלמתין,0
או,0
"ת'לאת',",0
לאן,0
ליס,0
פי,0
הד'א,0
אלמקדאר,0
יגלט,0
ויצלח,0
"אלקנדיל,",0
ת'ם,0
יזיל,0
אלמצחף,0
מן,0
ידה,0
ויעטיה,0
לאלצביאן,0
יקרון,0
פיה,0
לאור,1
הנר,1
לאנה,0
"יחרסהם,",0
ולא,0
יג'וז,0
לה,0
אן,0
יקרא,0
אלמעלם,0
מעהם,0
פי,0
אלכתאב,0
לאור,1
"הנר,",1
והד'א,0
הו,0
מעני,0
קולה,0
אבל,1
הוא,1
לא,1
יקרא.,1
ואלד'י,0
אוג'ב,0
אן,0
נביח,0
לאלצביאן,0
אלקראה,0
לאור,1
הנר,1
אד',0
ואלמעלם,0
יחרסהם,0
ולם,0
נביח,0
ד'לך,0
לאלמעלם,0
ויכון,0
אלתלאמיד,0
"יחרסונה,",0
לאנהם,0
ירתקבונה,0
והו,0
לא,0
ירתקבהם.,0
מפני,1
הרגל,1
"עברה,",1
מן,0
סבב,0
אנדראג',0
אלמעציה,0
יעני,0
איאך,0
יהם,0
בהא,0
וינכחהא,0
והי,0
בכרת,1
נץ,0
"אלתורה,",0
פלד'לך,0
חרמנא,0
אכלה,0
מע,0
זוג'תה,0
אלזבה,0
מע,0
כונה,0
זב,1
והמא,0
ג'מיעא,0
מנג'וסאן.,0
וחנניה,1
בן,1
חזקיה,1
בן,1
גרון,1
רצ'י,0
אללה,0
ענה,0
מן,0
אהל,0
אלעלם,0
אלבארע,0
פי,0
"עצרה,",0
וכאן,0
קד,0
אשכל,0
עלי,0
עלמא,0
ד'לך,0
אלעצר,0
מעאני,0
ספר,1
"יחזקאל,",1
פתג'רד,0
לשרח,0
מעאניה,0
ואנעזל,0
פי,0
עליה,0
"לשרחה,",0
פכאן,0
אלחכמים,0
עליהם,0
אלסלאם,0
יעודונה,0
דאימא,0
והו,0
מנאשב,0
לד'לך,0
"אלתאליף,",0
פפי,0
אחדי,0
תלך,0
אלעודאת,0
אג'תמע,0
ת'ם,0
חפל,0
עט'ים,0
מן,0
תלמידי,1
שמאי,1
"והלל,",1
ולם,0
יבק,0
פי,0
ד'לך,0
אלעצר,0
מן,0
יצלח,0
להוראה,1
אלא,0
ואג'תמע,0
"הנאך,",0
פאעתדוא,0
פכאנוא,0
בית,1
שמאי,1
אכת'ר,0
ואללה,0
יקול,0
אחרי,1
רבים,1
להטות,1
כמא,0
אצלנא,0
פי,0
אבתדי,0
תאליפנא,0
"הד'א,",0
וכאנוא,0
בית,1
שמאי,1
בג'מלתהם,0
קד,0
אג'מעו,0
עלי,0
הד'ה,0
אלגזירות,0
אלת'מאן,0
עשרה,0
הו,0
"אלנהאר,",0
פכאן,0
ד'לך,0
וגזרו,1
שמונה,1
עשר,1
דבר.,1
ואתפק,0
איצ'א,0
בית,1
שמאי,1
ובית,1
הלל,1
הו,0
אלנהאר,0
פי,0
ת'מאן,0
עשרה,0
הלכה,1
ולם,0
יקע,0
בינהם,0
פי,0
ואחדה,0
מנהא,0
שי,0
מן,0
אלאכ'תלאף.,0
ואכ'תלפוא,0
פי,0
ת'מאן,0
עשרה,0
הלכה,1
ולם,0
יקע,0
פיהא,0
עדד,0
חתי,0
יעלם,0
אלאכת'ר,0
אין,0
"וקע,",0
וכאן,0
בית,1
הלל,1
אכת'ר,0
לאן,0
קד,0
יכון,0
אלשכ'ץ,0
מתלמידי,1
שמאי,1
יעתקד,0
מד'הב,0
בית,1
"הלל,",1
או,1
מתלמידי,1
בית,1
הלל,1
ויעתקד,0
מד'הב,0
בית,1
שמאי.,1
פקולה,0
אלו,1
מהלכות,1
"שאמרו,",1
יריד,0
בה,0
אנהא,0
מן,0
אלהלכות,0
אלמתפק,0
עליהא,0
אלתי,0
לם,0
יקע,0
פיהא,0
"אכ'תלאף,",0
והד'א,0
